cell,method,consensus_4,GOOD_5,STABLE_H9,ALL_H16
epr_triviaqa_mistral24b,lsml,0.6708,0.7073,0.6789,0.6678
epr_triviaqa_mistral24b,upcr,0.7097,0.7282,0.7275,0.6766
lapeigvals_gsm8k_llama8b,lsml,0.7634,0.8152,0.8048,0.7945
lapeigvals_gsm8k_llama8b,upcr,0.7916,0.8119,0.7826,0.738
losnet_hotpotqa_mistral7b,lsml,0.5788,0.5754,0.5229,0.5434
losnet_hotpotqa_mistral7b,upcr,0.58,0.5777,0.5697,0.4933
se_squad_v2_llama8b,lsml,0.764,0.7982,0.749,0.7659
se_squad_v2_llama8b,upcr,0.7406,0.7923,0.6822,0.6995
seiclr_triviaqa_opt30b,lsml,0.6304,0.5948,0.5329,0.5308
seiclr_triviaqa_opt30b,upcr,0.6197,0.5895,0.5543,0.514
semenergy_triviaqa_qwen3_8b,lsml,0.7443,0.8006,0.7377,0.7145
semenergy_triviaqa_qwen3_8b,upcr,0.2457,0.7954,0.7314,0.7961
spilled_triviaqa_llama8b,lsml,0.962,0.934,0.8967,0.9067
spilled_triviaqa_llama8b,upcr,0.9287,0.914,0.7053,0.764
lapeigvals_gsm8k_phi35,lsml,0.3167,0.8032,0.7264,0.7357
lapeigvals_gsm8k_phi35,upcr,0.2569,0.8026,0.7963,0.6787
sciq_llama8b,lsml,0.6999,0.7381,0.7081,0.7215
sciq_llama8b,upcr,0.7122,0.7436,0.7211,0.7168
truthfulqa_llama8b,lsml,0.6579,0.6596,0.6025,0.6555
truthfulqa_llama8b,upcr,0.6754,0.6734,0.6369,0.6704
internalstates_gsm8k_qwen25_7b,lsml,0.6908,0.6282,0.6615,0.6797
internalstates_gsm8k_qwen25_7b,upcr,0.3502,0.6908,0.6732,0.6368
ars_gsm8k_r1distill8b,lsml,0.7349,0.75,0.644,0.3643
ars_gsm8k_r1distill8b,upcr,0.737,0.6913,0.6145,0.4636
lapeigvals_gsm8k_llama3b,lsml,0.3596,0.6845,0.6613,0.6483
lapeigvals_gsm8k_llama3b,upcr,0.3409,0.7019,0.6719,0.5986
lapeigvals_gsm8k_mistral24b,lsml,0.2198,0.8006,0.8047,0.8079
lapeigvals_gsm8k_mistral24b,upcr,0.3145,0.8352,0.7743,0.8166
lapeigvals_gsm8k_nemo,lsml,0.7778,0.782,0.7228,0.7389
lapeigvals_gsm8k_nemo,upcr,0.7733,0.786,0.74,0.6397
noise_gsm8k_mistral7b,lsml,0.7808,0.7851,0.7051,0.7201
noise_gsm8k_mistral7b,upcr,0.7804,0.7889,0.7787,0.5781
noise_gsm8k_phi3mini,lsml,0.6469,0.6643,0.6313,0.5988
noise_gsm8k_phi3mini,upcr,0.6378,0.6661,0.6254,0.5733
se_nq_open_llama8b,lsml,0.6784,0.718,0.6679,0.6731
se_nq_open_llama8b,upcr,0.7263,0.7318,0.7433,0.6951
inside_coqa_llama7b,lsml,0.4794,0.6841,0.4754,0.4961
inside_coqa_llama7b,upcr,0.3604,0.6078,0.5537,0.5044
inside_coqa_llama7b_n30_pilot,lsml,0.4729,0.5333,0.524,0.5477
inside_coqa_llama7b_n30_pilot,upcr,0.4499,0.4705,0.563,0.5697
