cell,view,base_GOOD5,augmented,lift
lapeigvals_gsm8k_llama8b,GOOD_5+logprob,0.8152,0.8112,-0.0040000000000000036
lapeigvals_gsm8k_mistral24b,GOOD_6,0.8006,0.8087,0.008099999999999996
lapeigvals_gsm8k_mistral24b,GOOD_5+spilled,0.8006,0.816,0.01539999999999997
lapeigvals_gsm8k_mistral24b,GOOD_5+energy,0.8006,0.8006,0.0
lapeigvals_gsm8k_mistral24b,GOOD_5+logprob,0.8006,0.8243,0.023700000000000054
lapeigvals_gsm8k_nemo,GOOD_6,0.782,0.8013,0.019299999999999984
lapeigvals_gsm8k_nemo,GOOD_5+spilled,0.782,0.785,0.0030000000000000027
lapeigvals_gsm8k_nemo,GOOD_5+energy,0.782,0.782,0.0
lapeigvals_gsm8k_nemo,GOOD_5+logprob,0.782,0.8001,0.018100000000000005
lapeigvals_gsm8k_phi35,GOOD_6,0.8032,0.8125,0.009299999999999975
lapeigvals_gsm8k_phi35,GOOD_5+spilled,0.8032,0.7997,-0.0035000000000000586
lapeigvals_gsm8k_phi35,GOOD_5+energy,0.8032,0.8032,0.0
lapeigvals_gsm8k_phi35,GOOD_5+logprob,0.8032,0.8079,0.0046999999999999265
losnet_hotpotqa_mistral7b,GOOD_6,0.5754,0.581,0.005599999999999938
losnet_hotpotqa_mistral7b,GOOD_5+spilled,0.5754,0.5805,0.005099999999999993
losnet_hotpotqa_mistral7b,GOOD_5+energy,0.5754,0.5754,0.0
losnet_hotpotqa_mistral7b,GOOD_5+logprob,0.5754,0.5746,-0.0008000000000000229
noise_gsm8k_mistral7b,GOOD_6,0.7851,0.7902,0.005099999999999993
noise_gsm8k_mistral7b,GOOD_5+spilled,0.7851,0.7705,-0.014600000000000057
noise_gsm8k_mistral7b,GOOD_5+energy,0.7851,0.7851,0.0
noise_gsm8k_mistral7b,GOOD_5+logprob,0.7851,0.7854,0.00029999999999996696
noise_gsm8k_phi3mini,GOOD_6,0.6643,0.6801,0.015800000000000036
noise_gsm8k_phi3mini,GOOD_5+spilled,0.6643,0.6639,-0.00039999999999995595
noise_gsm8k_phi3mini,GOOD_5+energy,0.6643,0.6643,0.0
noise_gsm8k_phi3mini,GOOD_5+logprob,0.6643,0.6835,0.019199999999999995
sciq_llama8b,GOOD_6,0.7381,0.7477,0.009600000000000053
sciq_llama8b,GOOD_5+spilled,0.7381,0.7256,-0.012499999999999956
sciq_llama8b,GOOD_5+energy,0.7381,0.7381,0.0
sciq_llama8b,GOOD_5+logprob,0.7381,0.7426,0.0045000000000000595
se_nq_open_llama8b,GOOD_6,0.718,0.7303,0.012299999999999978
se_nq_open_llama8b,GOOD_5+spilled,0.718,0.7226,0.0046000000000000485
se_nq_open_llama8b,GOOD_5+energy,0.718,0.7083,-0.009699999999999931
se_nq_open_llama8b,GOOD_5+logprob,0.718,0.7411,0.02310000000000001
se_squad_v2_llama8b,GOOD_6,0.7982,0.811,0.012800000000000034
se_squad_v2_llama8b,GOOD_5+spilled,0.7982,0.7961,-0.0020999999999999908
se_squad_v2_llama8b,GOOD_5+energy,0.7982,0.8297,0.03149999999999997
se_squad_v2_llama8b,GOOD_5+logprob,0.7982,0.7997,0.0014999999999999458
seiclr_triviaqa_opt30b,GOOD_6,0.5948,0.5884,-0.006399999999999961
seiclr_triviaqa_opt30b,GOOD_5+spilled,0.5948,0.5867,-0.008099999999999996
seiclr_triviaqa_opt30b,GOOD_5+energy,0.5948,0.5885,-0.006299999999999972
seiclr_triviaqa_opt30b,GOOD_5+logprob,0.5948,0.5873,-0.007499999999999951
semenergy_triviaqa_qwen3_8b,GOOD_6,0.8006,0.816,0.01539999999999997
semenergy_triviaqa_qwen3_8b,GOOD_5+spilled,0.8006,0.7877,-0.012900000000000023
semenergy_triviaqa_qwen3_8b,GOOD_5+energy,0.8006,0.706,-0.09460000000000002
semenergy_triviaqa_qwen3_8b,GOOD_5+logprob,0.8006,0.7705,-0.030100000000000016
spilled_triviaqa_llama8b,GOOD_6,0.934,0.942,0.007999999999999896
spilled_triviaqa_llama8b,GOOD_5+spilled,0.934,0.9513,0.017299999999999982
spilled_triviaqa_llama8b,GOOD_5+energy,0.934,0.926,-0.008000000000000007
spilled_triviaqa_llama8b,GOOD_5+logprob,0.934,0.938,0.0039999999999998925
truthfulqa_llama8b,GOOD_6,0.6596,0.6572,-0.0023999999999999577
truthfulqa_llama8b,GOOD_5+spilled,0.6596,0.6602,0.0006000000000000449
truthfulqa_llama8b,GOOD_5+energy,0.6596,0.6683,0.008700000000000041
truthfulqa_llama8b,GOOD_5+logprob,0.6596,0.6452,-0.014399999999999968
