cell,dataset,temp,n_rows,acc,entropy_source,edis_auroc,edis_lo,edis_hi,meanh_auroc,meanh_lo,meanh_hi,lsml_good5_auroc,rho_edis_meanh,rho_edis_lsml,n_overlap
gsm8k_T0.2,gsm8k,0.2,240,0.3292,full,0.6369,0.5692,0.7059,0.3312,0.2698,0.3933,0.2761,0.2246,-0.2817,240
gsm8k_T0.6,gsm8k,0.6,240,0.2333,full,0.7072,0.6255,0.7887,0.4885,0.4228,0.5706,0.3083,0.3985,-0.37,239
gsm8k_T1.0,gsm8k,1.0,240,0.1125,full,0.7614,0.6543,0.8434,0.7124,0.5807,0.8121,0.7806,0.5027,0.8827,239
math500_T0.2,math500,0.2,240,0.2833,full,0.6098,0.5346,0.6937,0.3529,0.2787,0.4277,0.2562,0.3312,-0.3743,240
math500_T0.6,math500,0.6,240,0.2292,full,0.6249,0.5391,0.7002,0.4431,0.3726,0.5265,0.2792,0.3768,-0.502,240
math500_T1.0,math500,1.0,240,0.1667,full,0.5747,0.4945,0.6669,0.538,0.4552,0.6385,0.6319,0.6235,0.8701,239
amc23_T0.2,amc23,0.2,240,0.1542,full,0.6408,0.5435,0.7339,0.3747,0.3011,0.4636,0.3026,0.2171,-0.3764,240
amc23_T0.6,amc23,0.6,240,0.1375,full,0.5881,0.4829,0.6924,0.4857,0.389,0.59,0.4084,0.3108,-0.5224,240
amc23_T1.0,amc23,1.0,240,0.05,full,0.5519,0.2921,0.7478,0.511,0.2695,0.7118,0.344,0.5954,-0.4736,239
