variant,n,edis_auroc,edis_lo,edis_hi,meanh_auroc,meanh_lo,meanh_hi,lsml_good5_auroc,lsml_lo,lsml_hi,paper_edis_auc,paper_meanh_auc
pooled_full,2160,0.693,0.6687,0.72,0.545,0.5216,0.5708,0.3574,0.3212,0.3827,0.804,0.673
paper_faithful,2160,0.693,0.6687,0.72,0.545,0.5216,0.5708,0.3574,0.3212,0.3827,0.804,0.673
