contrast,lhs,rhs,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell_delta,wilcoxon_p_raw,protocol,wilcoxon_p_holm
upcr_minus_trilens,upcr,trilens_supervised_lr,auroc,0.015710415745393225,0.004502308311655009,0.02642336840242206,7,0,6,-0.0384702409111868,0.2734375,paired within identical grouped-CV test folds,1.0
upcr_minus_trilens,upcr,trilens_supervised_lr,auprc,0.01134767679987355,-0.0012616387772650904,0.0252579314108946,7,0,6,-0.08205019570549885,0.339599609375,paired within identical grouped-CV test folds,1.0
upcr_minus_best_single_layer,upcr,best_single_layer,auroc,0.0004258301373778814,-0.006351275578887229,0.006832796195156343,5,0,8,-0.04753826329597388,1.0,paired problem-group bootstrap,1.0
upcr_minus_best_single_layer,upcr,best_single_layer,auprc,-0.0006372017447669636,-0.00937980465744468,0.0086547782739646,7,1,5,-0.05809256925690098,0.83935546875,paired problem-group bootstrap,1.0
upcr_minus_equal_mean,upcr,equal_mean,auroc,0.004756303545525501,0.0030801449142102578,0.006424249690593567,7,1,5,-0.012820869371749533,0.414306640625,paired problem-group bootstrap,1.0
upcr_minus_equal_mean,upcr,equal_mean,auprc,0.0037921970030371744,0.0008655509443332995,0.006725541577906242,7,1,5,-0.03437327760234582,0.339599609375,paired problem-group bootstrap,1.0
upcr_minus_iu,upcr,iu_pcr,auroc,0.0009669826042820484,0.0003407062176534549,0.0015722252870257272,5,5,3,-0.0036132070818859496,0.3125,paired problem-group bootstrap,1.0
upcr_minus_iu,upcr,iu_pcr,auprc,0.00023185837126973223,-0.0005967338450533478,0.0010542937262944228,4,6,3,-0.007036861397212213,0.7421875,paired problem-group bootstrap,1.0
upcr_minus_dufs,upcr,dufs_liu_pcr,auroc,0.0006477443988577303,8.802406524999239e-05,0.0012200083207536336,4,6,3,-0.0035666869907065024,0.85009765625,paired problem-group bootstrap,1.0
upcr_minus_dufs,upcr,dufs_liu_pcr,auprc,-0.00010154419292691418,-0.0009359601656717289,0.0007054740350166574,3,6,4,-0.005856732377020002,0.67724609375,paired problem-group bootstrap,1.0
