method,display_name,pb_all8,pb_q4,pb_q8,prm_within,prm_pooled,prmscore_q08,coverage
entropy,Token Entropy,0.35444376642134146,0.3639529013997512,0.3449346314429317,0.7301113611124386,0.7026639408146143,0.625425539209566,1.0
rank_equal,Direct Probability Fusion - Equal Weights,0.34821488824338054,0.3560186186302395,0.3404111578565216,0.7333043389546261,0.7013308901177252,0.6194640403356572,1.0
rank_iu,Direct Probability Fusion - IU-PCR,0.34751344661062716,0.35480047842290974,0.34022641479834453,0.7327298687988483,0.7032438654268682,0.6201777096869663,1.0
rank_joint_lw,Direct Probability Fusion - Joint Shrinkage,0.34712197790504007,0.35523665567174856,0.3390073001383316,0.7323596009698841,0.7046448068373827,0.6214642517710183,1.0
mindgap_paper_locator_common_gate,Mind the Gap Locator - Common Gate,0.26543163606846276,0.27365010312279164,0.2572131690141339,,,,1.0
