cell,domain,n_answers,historical_iu_pcr,entropy,varentropy,rank_equal,rank_iu,rank_joint_lw
ars_gsm8k_r1distill8b,math,500,0.7589689722042663,0.7307086296056884,0.7335568842921784,0.7455357142857143,0.7259817388493859,0.7023270846800258
epr_triviaqa_mistral24b,QA,621,0.7425934238581529,0.7183396925148693,0.7148327909325553,0.7284535966782628,0.7367579396251823,0.7341347772416115
internalstates_gsm8k_qwen25_7b,math,500,0.7131294444123258,0.7147289510705132,0.6932994160837139,0.7181784895261221,0.7067699601086894,0.6714266443121157
lapeigvals_gsm8k_llama3b,math,1319,0.6947338043771702,0.6980245948185178,0.6941054356224574,0.6995024250379348,0.6802720138520401,0.654857988661435
lapeigvals_gsm8k_llama8b,math,500,0.8180598927055809,0.8089919128833374,0.8175594523180398,0.8124349427496197,0.8020057650732645,0.7765033229241732
lapeigvals_gsm8k_mistral24b,math,1319,0.8466525134581848,0.8586473576465237,0.8613162483888088,0.8619228144666009,0.7934339222079005,0.7546288573811509
lapeigvals_gsm8k_nemo,math,1319,0.7974812106439163,0.8021897217144018,0.8010318911232988,0.8097948405443836,0.8046110095470241,0.7780824700385943
lapeigvals_gsm8k_phi35,math,1319,0.809703717548216,0.8025347324201889,0.8047285931701066,0.8075588070381545,0.7986899135805765,0.7361448571097998
losnet_hotpotqa_mistral7b,QA,500,0.5721589588659075,0.570103148072007,0.5810257602030784,0.5766281127656911,0.5765029764564973,0.566921110495361
math500_dsmath7b,math,300,0.7882463360046207,0.8015305754097177,0.7808100498158977,0.7963323947729406,0.800808605876832,0.7894014872572378
math500_qwenmath7b,math,300,0.9307809330628803,0.9537905679513184,0.9143002028397565,0.962474645030426,0.9434584178498986,0.9120816430020284
math500_r1distill8b,math,300,0.8384046946316018,0.8142251684416432,0.8213975222777657,0.8462290806346446,0.8153662247337535,0.8198761138882852
math500_r1distill8b_mn4096,math,300,0.8320956517677829,0.8237354630797253,0.8226145439260193,0.8195320162533277,0.8260240063518752,0.8291065340245668
noise_gsm8k_mistral7b,math,1319,0.7856016259788752,0.7922255585853616,0.7860338714943279,0.7978861354951741,0.7775062192772303,0.7617821390634987
noise_gsm8k_phi3mini,math,1319,0.6727700787753008,0.6746920399009172,0.6729681328245297,0.6790659659458615,0.6736682957309589,0.664044542634621
sciq_llama8b,QA,198,0.7369260567392047,0.7387490030762219,0.7453571835479094,0.7396604762447305,0.7379514640537769,0.7352170445482511
se_nq_open_llama8b,QA,8460,0.739502916412037,0.728770631989495,0.7269995007628399,0.7386528427850442,0.741436264755115,0.7417337933214094
se_squad_v2_llama8b,QA,2933,0.812104509828818,0.7988353167961401,0.8103407477520114,0.7839749287223113,0.784257730887768,0.6218121270185726
seiclr_triviaqa_opt30b,QA,5000,0.8266982889919704,0.8054587825999707,0.7427987896493083,0.8214579168692708,0.8034552527856461,0.7510040964627247
semenergy_triviaqa_qwen3_8b,QA,4392,0.8072191008667475,0.7967236989433941,0.8065254201361094,0.8126744072957424,0.8288404102067909,0.7500804237395917
spilled_triviaqa_llama8b,QA,256,0.9373333333333334,0.9366666666666666,0.9533333333333334,0.934,0.8186666666666667,0.654
trace_gsm8k_llama8b_k10,math,5000,0.8148908926218709,0.799077013339921,0.8042768033596838,0.8019005270092227,0.7930305088932806,0.7894896656785244
trace_math500_qwenmath15b_k10,math,3000,0.686874358819394,0.6795737932416791,0.6927711165971393,0.6883057072628502,0.6785012381814302,0.6768419144113302
truthfulqa_llama8b,QA,7633,0.6631464677130233,0.6734051055172104,0.6724421694970272,0.6699681702186857,0.6667205253906449,0.6664578735416482
