aurc_x1000,cell,coverage@0.05,coverage@0.1,coverage@0.5,method,n_cal_incorrect_mean,n_cal_incorrect_min,n_scored,sel_acc@0.05,sel_acc@0.1,sel_acc@0.5,sel_acc_sd@0.05,sel_acc_sd@0.1,sel_acc_sd@0.5,valid_rate
61.48537326493857,evdrop_math_qwen3_8b,0.34193333333333326,0.47869333333333336,0.8666666666666667,ref_lsml_GOOD_5,153.885,136,1500,96.9729416441622,95.63661683052662,88.10242500046735,1.0358235113544731,1.0685370911534073,1.2505788434780247,1.0
64.8026949148736,evdrop_math_qwen3_8b,0.31266,0.41847333333333336,0.8688466666666668,ref_lsml_H16,153.885,136,1500,96.61698284407763,94.99993238952088,87.98534272520189,1.323163032406864,1.1277218622732599,1.2616592111603666,1.0
68.42397959732139,evdrop_math_qwen3_8b,0.30257333333333336,0.4243133333333333,0.8368466666666666,shannon_drop,153.885,136,1500,96.58783183501146,95.02528915655058,87.69896016520295,1.3026456750928517,1.2984977766061698,1.1383630808012948,1.0
68.99814364014611,evdrop_math_qwen3_8b,0.2602466666666667,0.4312533333333333,0.8486866666666666,ln_s_drop,153.885,136,1500,95.96550096409922,95.23331105441633,87.88678138604372,1.3082191673802013,1.1538713943523176,1.2263803740564043,1.0
70.38667702742713,evdrop_math_qwen3_8b,0.29107333333333335,0.4243933333333334,0.8408133333333333,ref_lsml_GOOD_6,153.885,136,1500,96.43957228867555,94.99727817500315,87.80504550030761,1.273211124720015,1.1890378872042375,1.2800623461224099,1.0
74.32692662738546,evdrop_math_qwen3_8b,0.2639666666666667,0.41495333333333334,0.8316533333333334,ours_UPCR_fullpool,153.885,136,1500,96.05601691257957,94.8852616282871,87.7230337497771,1.2872610744509614,1.116812861284163,1.2693003535346497,1.0
82.41452928911416,evdrop_math_qwen3_8b,0.22870666666666664,0.35057333333333335,0.7940999999999999,logtoku_oriented_avg,153.885,136,1500,95.35843820129568,94.05453682236286,87.03927437867902,1.5594632535270463,1.2676887696858226,1.1604495610384922,1.0
135.33425018909625,evdrop_math_qwen3_8b,0.08856,0.20281333333333337,0.7179666666666666,shannon_avg,153.885,136,1500,87.66937896259985,89.6597884254878,85.71819472175615,2.364723004119969,1.8172785382265788,1.3582494229206554,1.0
136.21776313130164,evdrop_math_qwen3_8b,0.11854666666666666,0.21031333333333332,0.6902666666666667,logtoku_drop,153.885,136,1500,91.5390129287235,90.32656810978318,85.0071216222133,2.6133424876632647,2.0986338608257884,1.2081917906523285,1.0
137.71028018132134,evdrop_math_qwen3_8b,0.08329999999999999,0.20073333333333335,0.7143666666666667,ln_s_avg,153.885,136,1500,87.25139920937926,89.54523854367204,85.68326393406295,2.1793853085327304,1.839871505289663,1.3585049999414067,1.0
268.37996972265967,evdrop_math_qwen3_8b,0.03766,0.07552666666666667,0.34687333333333326,logtoku_oriented_drop,153.885,136,1500,72.73016423823985,73.0709219610017,70.4640210746202,5.703918325426695,5.083376328586847,2.02325900054824,1.0
381.61515535946245,evdrop_math_qwen3_8b,0.01536,0.03150666666666666,0.20343333333333333,logtoku_avg,153.885,136,1500,29.08101869400403,32.970414872670574,49.226498737550834,12.127584893960504,7.281034892829857,2.7204325965536214,1.0
