contrast_id,left_variant_id,right_variant_id,metric_id,delta,ci_low,ci_high,p_adjusted,wins,ties,losses,worst_unit_delta,worst_unit_id,family_wins,family_ties,family_losses,worst_family_delta,worst_family_id,multiplicity_family_size,analysis_tier,inference
pb::P2R_A_MAX_K1::P2R_A_TOPK5_REFERENCE::macro_f1,P2R_A_MAX_K1,P2R_A_TOPK5_REFERENCE,macro_f1,-0.049878127211192225,-0.07073726237373683,-0.029301011604417344,,0,0,8,-0.08682706890611058,processbench_gsm8k_qwen3_8b,0,0,4,-0.07217595815927216,gsm8k,11,PREREGISTERED_DEVELOPMENT,Bonferroni simultaneous percentile interval across 11 preregistered reducer primary contrasts
pb::P2R_A_MAX_K1::P2R_A_TOPK5_REFERENCE::first_error_exact,P2R_A_MAX_K1,P2R_A_TOPK5_REFERENCE,first_error_exact,-0.05419328178405336,-0.07044855897949436,-0.038169638241617065,,0,0,8,-0.11594202898550726,processbench_gsm8k_qwen3_8b,0,0,4,-0.09661835748792272,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_MAX_K1::P2R_A_TOPK5_REFERENCE::first_error_within_one,P2R_A_MAX_K1,P2R_A_TOPK5_REFERENCE,first_error_within_one,-0.01687542120762542,-0.03334840352950604,-0.00043504154587673113,,1,0,7,-0.03630862329803325,processbench_olympiadbench_qwen3_4b,1,0,3,-0.03101361573373676,olympiadbench,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_MAX_K1::P2R_A_TOPK5_REFERENCE::clean_abstention_accuracy,P2R_A_MAX_K1,P2R_A_TOPK5_REFERENCE,clean_abstention_accuracy,-0.00610838377851286,-0.015591295279493328,0.00312137003672684,,2,2,4,-0.02904564315352698,processbench_omnimath_qwen3_4b,0,0,4,-0.008298755186722018,omnimath,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_MAX_K1::P2R_A_TOPK5_REFERENCE::overall_decision_accuracy,P2R_A_MAX_K1,P2R_A_TOPK5_REFERENCE,overall_decision_accuracy,-0.03443750000000001,-0.044625000000000026,-0.02424999999999994,,0,0,8,-0.06000000000000005,processbench_gsm8k_qwen3_8b,0,0,4,-0.05375000000000005,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_MEAN_ALL::P2R_A_TOPK5_REFERENCE::macro_f1,P2R_A_MEAN_ALL,P2R_A_TOPK5_REFERENCE,macro_f1,-0.07207047896041885,-0.09745458880299519,-0.04687906077972799,,0,0,8,-0.09884542817835773,processbench_gsm8k_qwen3_8b,0,0,4,-0.0869622178885095,math,11,PREREGISTERED_DEVELOPMENT,Bonferroni simultaneous percentile interval across 11 preregistered reducer primary contrasts
pb::P2R_A_MEAN_ALL::P2R_A_TOPK5_REFERENCE::first_error_exact,P2R_A_MEAN_ALL,P2R_A_TOPK5_REFERENCE,first_error_exact,-0.07514858953719705,-0.09384727489580041,-0.05636562172427741,,0,0,8,-0.12560386473429952,processbench_gsm8k_qwen3_8b,0,0,4,-0.10869565217391305,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_MEAN_ALL::P2R_A_TOPK5_REFERENCE::first_error_within_one,P2R_A_MEAN_ALL,P2R_A_TOPK5_REFERENCE,first_error_within_one,-0.05010252938293458,-0.07057214573277983,-0.03001802090982172,,0,0,8,-0.09595959595959597,processbench_math_qwen3_8b,0,0,4,-0.08417508417508418,math,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_MEAN_ALL::P2R_A_TOPK5_REFERENCE::clean_abstention_accuracy,P2R_A_MEAN_ALL,P2R_A_TOPK5_REFERENCE,clean_abstention_accuracy,0.0006039548990113275,-0.010528173321108353,0.011722121859102305,,3,2,3,-0.020725388601036288,processbench_gsm8k_qwen3_4b,2,0,2,-0.018134715025906745,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
pb::P2R_A_MEAN_ALL::P2R_A_TOPK5_REFERENCE::overall_decision_accuracy,P2R_A_MEAN_ALL,P2R_A_TOPK5_REFERENCE,overall_decision_accuracy,-0.04612499999999997,-0.05806249999999996,-0.034062499999999996,,0,0,8,-0.07250000000000001,processbench_gsm8k_qwen3_8b,0,0,4,-0.065,gsm8k,1,PREREGISTERED_DEVELOPMENT,unadjusted paired diagnostic percentile interval
