method,pb_all8,pb_q4,pb_q8,worst_cell,clean_accuracy,error_exact_accuracy,detector_auc_mean
entropy_native__token_mean,0.36610695028475204,0.3742053299325472,0.3580085706369569,0.33271964878361154,0.5004240882103478,0.2766771724448447,0.7423008149413358
entropy_native__token_top10,0.30237664586007684,0.294705701688607,0.3100475900315467,0.1675325294313903,0.5568278201865988,0.2685727149932463,0.792620149001767
entropy_native__mean_step_top10,0.3453423789108154,0.3358002476382978,0.35488451018333295,0.30808374527478916,0.5373197625106022,0.27082395317424585,0.7571595911910523
q15_H0lim__token_mean,0.3602513140546259,0.3772048394495457,0.34329778865970617,0.3389878328337154,0.5097540288379983,0.2764520486267447,0.755515079131464
q15_H0lim__token_top10,0.31112750607397255,0.30711780595315646,0.3151372061947887,0.19936034115138593,0.5640373197625106,0.2703737055380459,0.7969551767305798
q15_H0lim__mean_step_top10,0.356891748897024,0.350248701521988,0.36353479627206,0.32504378283712787,0.5347752332485157,0.27239981990094553,0.7599542273835695
q15_VE0__token_mean,0.3500926595827123,0.37662562684221057,0.3235596923232139,0.28222169475433184,0.5042408821034775,0.2719495722647456,0.7555868694068758
q15_VE0__token_top10,0.31748113382992516,0.31328136104048365,0.32168090661936677,0.20698289052719432,0.5729431721798134,0.27127420081044573,0.8011722301588283
q15_VE0__mean_step_top10,0.3623425942511746,0.36105642872042293,0.3636287597819263,0.3203979178103938,0.5521628498727735,0.27239981990094553,0.772635754002164
q15_VE0.75__token_mean,0.36329297902756263,0.37268239098296213,0.3539035670721631,0.3385431885267897,0.5055131467345207,0.27735254389914454,0.7541471105450375
q15_VE0.75__token_top10,0.335721283196476,0.3324799923155893,0.33896257407736274,0.27884260965720603,0.5716709075487701,0.2726249437190455,0.7920769597054143
q15_VE0.75__mean_step_top10,0.35826077816017493,0.35288048280165274,0.36364107351869707,0.32791934852500465,0.5402883799830365,0.27217469608284556,0.761055812701241
q15_VE1__token_mean,0.36484471894353354,0.3733826531237622,0.35630678476330496,0.33990498812351544,0.5025445292620865,0.2771274200810446,0.7502851821100158
q15_VE1__token_top10,0.32182890221909455,0.3092471569482803,0.33441064748990873,0.22901729228173767,0.5589482612383376,0.26924808644754616,0.7874068568914909
q15_VE1__mean_step_top10,0.35073579412261596,0.3403629156560904,0.3611086725891415,0.313046046317033,0.5373197625106022,0.27239981990094553,0.7619695882310533
q15_H1__token_mean,0.36610695028475204,0.3742053299325472,0.3580085706369569,0.33271964878361154,0.5004240882103478,0.2766771724448447,0.7423008149413358
q15_H1__token_top10,0.30237664586007684,0.294705701688607,0.3100475900315467,0.1675325294313903,0.5568278201865988,0.2685727149932463,0.792620149001767
q15_H1__mean_step_top10,0.3453423789108154,0.3358002476382978,0.35488451018333295,0.30808374527478916,0.5373197625106022,0.27082395317424585,0.7571595911910523
q15_Hinf__token_mean,0.36374256286444023,0.373288427737456,0.3541966979914245,0.3302067038069858,0.4957591178965225,0.2753264295362449,0.7369881511022613
q15_Hinf__token_top10,0.3045398894931758,0.2956839734106192,0.31339580557573243,0.19113632587176868,0.549618320610687,0.2685727149932463,0.7780467097553627
q15_Hinf__mean_step_top10,0.3459773301501606,0.3400852844711125,0.3518693758292086,0.311518653435498,0.5313825275657337,0.2726249437190455,0.7485368485062729
raw_neglogp1__token_mean,0.36359415534756023,0.3729501182730942,0.35423819242202614,0.33167536537647724,0.4957591178965225,0.275101305718145,0.7381634410787281
raw_neglogp1__token_top10,0.3039149006203313,0.29542066834755654,0.312409132893106,0.19113632587176868,0.5491942324003393,0.26812246735704637,0.7799210657601484
raw_neglogp1__mean_step_top10,0.3459262600813512,0.340241177114128,0.35161134304857444,0.312290211094259,0.5326547921967769,0.2726249437190455,0.7503211857879682
tail15_mass__token_mean,0.3688182789229951,0.3601804675774421,0.37745609026854815,0.33765823498883046,0.5793044953350297,0.2796037820801441,0.7921721845324179
tail15_mass__token_top10,0.3270553899566108,0.31680708694106124,0.33730369297216034,0.20698289052719432,0.5771840542832909,0.2705988293561459,0.7995708964235309
tail15_mass__mean_step_top10,0.353034049153202,0.34187565784811824,0.3641924404582859,0.28745837957824644,0.5788804071246819,0.2764520486267447,0.7969905953445635
tail50_mass__token_mean,0.3681756742345488,0.36837431733755477,0.3679770311315428,0.3321329505085405,0.5602205258693809,0.2766771724448447,0.7909790049064179
tail50_mass__token_top10,0.345839583637832,0.3436061461735017,0.3480730211021623,0.28698808136929826,0.5835453774385072,0.2726249437190455,0.7982574139601735
tail50_mass__mean_step_top10,0.36126478103414295,0.3557897288302967,0.3667398332379892,0.3329568856706305,0.5784563189143341,0.27622692480864475,0.795836155794087
q15_raw4_mean__token_mean,0.3557597859700922,0.3793512032186606,0.33216836872152383,0.3083710407239819,0.5106022052586938,0.2742008104457452,0.7564663072085623
q15_raw4_mean__token_top10,0.31888006925290474,0.31152653595406027,0.3262336025517492,0.1991388589881593,0.5742154368108566,0.27127420081044573,0.7986990876381254
q15_raw4_mean__mean_step_top10,0.3597517765592382,0.3538694924421561,0.36563406067632026,0.3247417341998291,0.546225614927905,0.2726249437190455,0.766672109945952
