level,stratum,cell_id,macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,n_error,metric_id,value,n_cells
cell,short,processbench_gsm8k_qwen3_4b,0.29011938328633996,0.22627737226277372,0.4233576642335766,0.40414507772020725,137,,,
cell,short,processbench_math_qwen3_4b,0.2369867022141301,0.15677966101694915,0.423728813559322,0.4852216748768473,236,,,
cell,short,processbench_olympiadbench_qwen3_4b,0.267704280155642,0.18181818181818182,0.3689839572192513,0.5073746312684366,187,,,
cell,short,processbench_omnimath_qwen3_4b,0.28982630272952853,0.19047619047619047,0.3439153439153439,0.6058091286307054,189,,,
cell,short,processbench_gsm8k_qwen3_8b,0.3077093119646311,0.23357664233576642,0.40875912408759124,0.45077720207253885,137,,,
cell,short,processbench_math_qwen3_8b,0.26368087140415425,0.17372881355932204,0.3940677966101695,0.5467980295566502,236,,,
cell,short,processbench_olympiadbench_qwen3_8b,0.27104722792607805,0.17647058823529413,0.3582887700534759,0.584070796460177,187,,,
cell,short,processbench_omnimath_qwen3_8b,0.28528103517994335,0.17989417989417988,0.30687830687830686,0.6887966804979253,189,,,
aggregate,short,aggregate,,,,,1498,macro_f1,0.27654438935755593,8
aggregate,short,aggregate,,,,,1498,first_error_exact,0.1898777036998322,8
aggregate,short,aggregate,,,,,1498,first_error_within_one,0.3784974720696297,8
aggregate,short,aggregate,,,,,1498,clean_abstention_accuracy,0.534124152635436,8
cell,medium,processbench_gsm8k_qwen3_4b,0.22464513474593706,0.15555555555555556,0.4,0.40414507772020725,45,,,
cell,medium,processbench_math_qwen3_4b,0.27048054919908465,0.1875,0.40625,0.4852216748768473,192,,,
cell,medium,processbench_olympiadbench_qwen3_4b,0.3200661635480203,0.23376623376623376,0.4805194805194805,0.5073746312684366,231,,,
cell,medium,processbench_omnimath_qwen3_4b,0.25987055016181226,0.16541353383458646,0.36466165413533835,0.6058091286307054,266,,,
cell,medium,processbench_gsm8k_qwen3_8b,0.17827868852459014,0.1111111111111111,0.4222222222222222,0.45077720207253885,45,,,
cell,medium,processbench_math_qwen3_8b,0.2554660529344074,0.16666666666666666,0.3697916666666667,0.5467980295566502,192,,,
cell,medium,processbench_olympiadbench_qwen3_8b,0.31584992343032164,0.21645021645021645,0.4805194805194805,0.584070796460177,231,,,
cell,medium,processbench_omnimath_qwen3_8b,0.24177014284380544,0.14661654135338345,0.3609022556390977,0.6887966804979253,266,,,
aggregate,medium,aggregate,,,,,1468,macro_f1,0.2583034006734974,8
aggregate,medium,aggregate,,,,,1468,first_error_exact,0.17288498234221916,8
aggregate,medium,aggregate,,,,,1468,first_error_within_one,0.41060834496278575,8
aggregate,medium,aggregate,,,,,1468,clean_abstention_accuracy,0.534124152635436,8
cell,long,processbench_gsm8k_qwen3_4b,0.3571837435603893,0.32,0.72,0.40414507772020725,25,,,
cell,long,processbench_math_qwen3_4b,0.28203904555314535,0.19879518072289157,0.45180722891566266,0.4852216748768473,166,,,
cell,long,processbench_olympiadbench_qwen3_4b,0.23907238743187392,0.15637860082304528,0.48148148148148145,0.5073746312684366,243,,,
cell,long,processbench_omnimath_qwen3_4b,0.20723917672107878,0.125,0.3519736842105263,0.6058091286307054,304,,,
cell,long,processbench_gsm8k_qwen3_8b,0.4003067484662577,0.36,0.84,0.45077720207253885,25,,,
cell,long,processbench_math_qwen3_8b,0.2980101073910297,0.20481927710843373,0.43373493975903615,0.5467980295566502,166,,,
cell,long,processbench_olympiadbench_qwen3_8b,0.2812100553898594,0.18518518518518517,0.5102880658436214,0.584070796460177,243,,,
cell,long,processbench_omnimath_qwen3_8b,0.1826182618261826,0.10526315789473684,0.34210526315789475,0.6887966804979253,304,,,
aggregate,long,aggregate,,,,,1476,macro_f1,0.2809599407924771,8
aggregate,long,aggregate,,,,,1476,first_error_exact,0.20693017521678658,8
aggregate,long,aggregate,,,,,1476,first_error_within_one,0.5164238329210278,8
aggregate,long,aggregate,,,,,1476,clean_abstention_accuracy,0.534124152635436,8
