outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4809,1991,81.85298398835516,72.0,156.0
error,4442,3717,725,85.36965294592413,76.0,160.0
clean,2358,1092,1266,69.88278388278388,59.5,135.0
