held_family,selected_key,beta,eta,k,lambda,readout,topology,trust_factor,held_delta_pp,held_nrm_delta_pp,held_recovery_fraction,same_graph_u2_delta_pp,same_graph_cs_t1_delta_pp,dufs_same_readout_delta_pp,best_key,best_mean,best_se,one_se_threshold,eligible_count,tail_safe_count,chosen_training_mean,chosen_training_worst,held_auprc_delta_pp
gsm8k,cs__gunion__e0100__b0000__k07__l0010__t0100,0.0,1.0,7,0.1,cs,union,1.0,-0.13117035034732272,0.30659474384678864,-0.4278297426157804,-0.008941455905542295,-0.13117035034732272,-0.02980035482505472,cs__gunion__e0100__b0000__k07__l0300__t0200,0.004502368097181159,0.0038303256208771373,0.0006720424763040213,119,97,0.0013300242117533065,-0.0009508394301528389,-0.07090354599382787
hotpotqa,u2__gunion__e0100__b0000__k07__l0003,0.0,1.0,7,0.03,u2,union,,-0.0017876615599154988,-0.30032714206545963,0.005952380952387774,-0.0017876615599154988,-0.0017876615599154988,0.008938307799577494,cs__gunion__e0100__b0000__k05__l0300__t0100,0.0027962120403419205,0.002949230630580831,-0.0001530185902389107,869,825,1.959589004590817e-05,-3.221919562811371e-05,0.0003015443124199102
math500,u2__gunion__e0100__b0000__k07__l0003,0.0,1.0,7,0.03,u2,union,,0.012875222262376251,0.5237611296941425,0.02458224089652265,0.012875222262376251,0.08020154079203534,0.01732360595007032,cs__gunion__e0100__b0000__k07__l1000__t0100,0.0026200208598481656,0.0029809681977604383,-0.00036094733791227273,944,868,-1.351086843080046e-06,-3.221919562811371e-05,0.01221274988537413
nq_open,cs__gunion__e0100__b0000__k07__l0010__t0100,0.0,1.0,7,0.1,cs,union,1.0,-0.04019068901719436,-0.09895803471164921,0.4061387146006363,-0.010118991848595549,-0.04019068901719436,0.32951330669802603,cs__gunion__e0100__b0000__k05__l0300__t0100,0.003498073796025573,0.002737064289164422,0.0007610095068611511,51,32,0.0012000532669959802,-0.001311703503473227,0.054851601167926756
sciq,cs__gunion__e0100__b0000__k07__l0003__t0100,0.0,1.0,7,0.03,cs,union,1.0,0.13672097527629434,0.6266378033496611,0.21818181818182558,0.0,0.13672097527629434,0.04557365842543515,cs__gunion__e0100__b0000__k05__l0300__t0050,0.0018094285698811489,0.0015748858529509265,0.00023454271693022235,101,83,0.0002834351838070168,-0.0003333314936050491,0.03314673975589599
squad_v2,u2__gunion__e0100__b0000__k07__l0003,0.0,1.0,7,0.03,u2,union,,0.0005771472764593,0.8739164059884841,0.0006604147404767971,0.0005771472764593,0.027125921992787738,-0.06365934459153788,cs__gunion__e0100__b0000__k07__l0100__t0200,0.001988199912769404,0.0036095828949954945,-0.0016213829822260906,1149,1044,1.6217591708229886e-05,-3.221919562811371e-05,0.0009346240916974224
triviaqa,u2__gunion__e0100__b0000__k07__l0003,0.0,1.0,7,0.03,u2,union,,-0.000449527221387432,-0.05386558203425521,0.00834535160321038,-0.000449527221387432,-0.02801624702986431,0.0066160974410552536,cs__gunion__e0100__b0000__k07__l0300__t0200,0.003793843231199688,0.004271623866460778,-0.0004777806352610895,1022,929,1.7684269562296647e-05,-3.221919562811371e-05,-0.004539795276081726
truthfulqa,cs__gunion__e0100__b0000__k07__l0003__t0100,0.0,1.0,7,0.03,cs,union,1.0,0.16909344899193046,0.33911070793549714,0.49863789327494207,0.006665922788329226,0.16909344899193046,-0.06026501390424821,cs__gunion__e0100__b0000__k05__l0300__t0050,0.0015317763284581627,0.0014167436320003828,0.00011503269645777984,376,359,0.0002371887927846795,-0.0003333314936050491,0.07670875682732892
