contrast,lhs,rhs,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell_delta,p_raw,p_holm
target_commitment__iu_pcr_minus_target_commitment__best_layer_oracle,target_commitment__iu_pcr,target_commitment__best_layer_oracle,auroc,-0.23551125941871637,-0.252204982796232,-0.21847169923257867,0,0,13,-0.5927757352941176,0.000244140625,0.0107421875
target_commitment__iu_pcr_minus_target_commitment__best_layer_oracle,target_commitment__iu_pcr,target_commitment__best_layer_oracle,auprc,-0.19205266224511408,-0.20661915151753985,-0.1742522038058429,0,0,13,-0.3809332922309007,0.000244140625,0.0107421875
target_commitment__iu_pcr_minus_target_commitment__equal_mean,target_commitment__iu_pcr,target_commitment__equal_mean,auroc,-0.030891476002883986,-0.044149484169018156,-0.017425578633459827,1,0,12,-0.19126984126984126,0.00048828125,0.01806640625
target_commitment__iu_pcr_minus_target_commitment__equal_mean,target_commitment__iu_pcr,target_commitment__equal_mean,auprc,-0.02142248179145751,-0.029255684012500338,-0.0136874150274439,1,0,12,-0.11494252838740487,0.000732421875,0.0263671875
target_commitment__dufs_liu_pcr_minus_target_commitment__best_layer_oracle,target_commitment__dufs_liu_pcr,target_commitment__best_layer_oracle,auroc,-0.23527189508838153,-0.25190021608618396,-0.21814828254017563,0,0,13,-0.5934926470588235,0.000244140625,0.0107421875
target_commitment__dufs_liu_pcr_minus_target_commitment__best_layer_oracle,target_commitment__dufs_liu_pcr,target_commitment__best_layer_oracle,auprc,-0.1911466966811551,-0.20536922984827097,-0.17338938973989576,0,0,13,-0.3816265666851155,0.000244140625,0.0107421875
target_commitment__dufs_liu_pcr_minus_target_commitment__equal_mean,target_commitment__dufs_liu_pcr,target_commitment__equal_mean,auroc,-0.03065211167254913,-0.044088763498167684,-0.01707299444319711,1,0,12,-0.19204314204314205,0.001220703125,0.042724609375
target_commitment__dufs_liu_pcr_minus_target_commitment__equal_mean,target_commitment__dufs_liu_pcr,target_commitment__equal_mean,auprc,-0.020516516227498543,-0.028481571187212198,-0.012803031291829319,2,0,11,-0.11526838854658783,0.00244140625,0.07568359375
module_conflict__iu_pcr_minus_module_conflict__best_layer_oracle,module_conflict__iu_pcr,module_conflict__best_layer_oracle,auroc,-0.08243195615599772,-0.09818319588252045,-0.06648956079862921,3,0,10,-0.24380046537067424,0.026611328125,0.7451171875
module_conflict__iu_pcr_minus_module_conflict__best_layer_oracle,module_conflict__iu_pcr,module_conflict__best_layer_oracle,auprc,-0.0646675254241699,-0.08117169239474846,-0.04954420265751436,5,0,8,-0.21374512776083981,0.03271484375,0.8505859375
module_conflict__iu_pcr_minus_module_conflict__equal_mean,module_conflict__iu_pcr,module_conflict__equal_mean,auroc,0.007458453451938851,-0.003999565998266005,0.018451752228763506,9,0,4,-0.11839138882284939,0.21630859375,1.0
module_conflict__iu_pcr_minus_module_conflict__equal_mean,module_conflict__iu_pcr,module_conflict__equal_mean,auprc,0.004160570874897697,-0.0032677746194181814,0.010918376704550715,7,2,4,-0.07240161220258493,0.541748046875,1.0
module_conflict__dufs_liu_pcr_minus_module_conflict__best_layer_oracle,module_conflict__dufs_liu_pcr,module_conflict__best_layer_oracle,auroc,-0.08413586598264876,-0.0997989043164928,-0.0683070342613022,3,0,10,-0.25781720759054794,0.026611328125,0.7451171875
module_conflict__dufs_liu_pcr_minus_module_conflict__best_layer_oracle,module_conflict__dufs_liu_pcr,module_conflict__best_layer_oracle,auprc,-0.06527833663954498,-0.08182812795153939,-0.05011831901232809,5,0,8,-0.2172837111364725,0.03271484375,0.8505859375
