contract,fusion,macro_auroc,best_layer_macro_auroc,trilens_probe_macro_auroc,delta_vs_best_layer,delta_vs_trilens_probe,paired_ci_low_vs_best_layer,paired_ci_high_vs_best_layer,discovery_success,independent_confirmation_complete
target_commitment,iu_pcr,0.49540881639064754,0.730920075809364,0.7689325299729851,-0.23551125941871648,-0.27352371358233757,-0.252204982796232,-0.21847169923257867,False,False
target_commitment,dufs_liu_pcr,0.4956481807209825,0.730920075809364,0.7689325299729851,-0.23527189508838153,-0.2732843492520026,-0.25190021608618396,-0.21814828254017563,False,False
module_conflict,iu_pcr,0.5907052445774098,0.6731372007334075,0.7689325299729851,-0.08243195615599774,-0.1782272853955753,-0.09818319588252045,-0.06648956079862921,False,False
module_conflict,dufs_liu_pcr,0.5890013347507587,0.6731372007334075,0.7689325299729851,-0.08413586598264888,-0.17993119522222645,-0.0997989043164928,-0.0683070342613022,False,False
module_conflict,hierarchical_iu_pcr,0.5998077766462296,0.6731372007334075,0.7689325299729851,-0.07332942408717791,-0.16912475332675547,-0.08782308655948202,-0.058505693029655775,False,False
prediction_revision,iu_pcr,0.7217968645687838,0.727800617721259,0.7689325299729851,-0.006003753152475255,-0.04713566540420133,-0.016498959962571915,0.004726369350006551,False,False
prediction_revision,dufs_liu_pcr,0.722917617763999,0.727800617721259,0.7689325299729851,-0.004882999957260048,-0.046014912208986125,-0.015361564293115769,0.005855801924277346,False,False
prediction_revision,hierarchical_iu_pcr,0.6782911082968899,0.727800617721259,0.7689325299729851,-0.04950950942436916,-0.09064142167609524,-0.06264439591150947,-0.036668258724266704,False,False
ghost_geometry,iu_pcr,0.5201363434101909,0.6759154678183305,0.7689325299729851,-0.15577912440813957,-0.24879618656279423,-0.17165968220966746,-0.1403488089371808,False,False
ghost_geometry,dufs_liu_pcr,0.5199906359533387,0.6759154678183305,0.7689325299729851,-0.15592483186499173,-0.2489418940196464,-0.17180841065413954,-0.14036717301704332,False,False
ghost_geometry,hierarchical_iu_pcr,0.5622651017963466,0.6759154678183305,0.7689325299729851,-0.11365036602198386,-0.20666742817663852,-0.12683427185875898,-0.10143853287123597,False,False
