lane,cell,graph,feature,rayleigh,smoothness_perm_mean,smoothness_perm_sd,smoothness_effect,smoothness_z,p_smoother
global24,ars_gsm8k_r1distill8b,dufs,epr,0.05098230690307659,1.0072928798164846,0.017881927872641663,0.9493868090158992,53.479165094749604,0.0196078431372549
global24,ars_gsm8k_r1distill8b,dufs,trace_length,0.4396845363405587,1.002882334187338,0.021101453998406364,0.5615791390952692,26.68999955592224,0.0196078431372549
global24,ars_gsm8k_r1distill8b,dufs,spectral_entropy,0.5814099058918193,1.0031054994551925,0.01720585883892524,0.42039007242249676,24.508837222897633,0.0196078431372549
global24,ars_gsm8k_r1distill8b,dufs,low_band_power,0.5848654034605347,1.0041581291921091,0.019489228871896847,0.41755647197609647,21.514074696725828,0.0196078431372549
global24,ars_gsm8k_r1distill8b,dufs,high_band_power,0.8467814400549029,1.0048871841506506,0.01583164916989878,0.1573368101309618,9.986688209107061,0.0196078431372549
global24,ars_gsm8k_r1distill8b,dufs,hl_ratio,0.6620294423367596,0.9962946744382635,0.02213511847575438,0.33550839995202336,15.101126857199343,0.0196078431372549
global24,ars_gsm8k_r1distill8b,dufs,dominant_freq,0.2000957945268106,0.9980937370959984,0.018823926204585846,0.7995220417783615,42.39274707604735,0.0196078431372549
global24,ars_gsm8k_r1distill8b,dufs,spectral_centroid,0.48836844716730515,1.0049598207311135,0.021013974059016293,0.5140418182967609,24.5832307641095,0.0196078431372549
global24,ars_gsm8k_r1distill8b,dufs,stft_max_high_power,0.9362402992840921,0.9978920418225934,0.020111991266761005,0.06178197636078732,3.065422101708686,0.0196078431372549
global24,ars_gsm8k_r1distill8b,dufs,sw_var_peak,0.3566205367672613,1.0019607246260798,0.02090600097140637,0.644077329577616,30.86865769983774,0.0196078431372549
global24,ars_gsm8k_r1distill8b,dufs,hurst_exponent,0.6219763277217376,0.9976548475633344,0.02099497817795354,0.3765616142287601,17.89373233243416,0.0196078431372549
global24,ars_gsm8k_r1distill8b,dufs,cusum_max,0.1013605667876547,0.9967561194170355,0.021070539255328324,0.8983095615736609,42.495141760690956,0.0196078431372549
global24,ars_gsm8k_r1distill8b,dufs,epr_spilled,0.06108404604642751,1.004032667541213,0.023296894234678532,0.9391612962195574,40.4752930582121,0.0196078431372549
global24,ars_gsm8k_r1distill8b,dufs,sw_var_peak_spilled,0.5252595138057804,1.0055638489456924,0.021216987333450763,0.4776467806032393,22.637725497562172,0.0196078431372549
global24,ars_gsm8k_r1distill8b,dufs,cusum_max_spilled,0.11017396417130138,1.0044314980312021,0.02222998392828213,0.8903121174642028,40.22753847888213,0.0196078431372549
global24,ars_gsm8k_r1distill8b,dufs,min_spilled,0.8429113120060528,1.0025866020753802,0.022533845971331002,0.15926333918565774,7.086020303523706,0.0196078431372549
global24,ars_gsm8k_r1distill8b,dufs,epr_energy,0.126271994848697,1.003803012820406,0.01915310299750362,0.8742063998254916,45.81665007941976,0.0196078431372549
global24,ars_gsm8k_r1distill8b,dufs,min_energy,0.7918422485432153,1.0048714919797264,0.019604534262174452,0.21199650416673282,10.866325136197487,0.0196078431372549
global24,ars_gsm8k_r1distill8b,dufs,sw_var_peak_energy,0.9685290031491031,1.0012925295688995,0.020224660814454922,0.03272123325827923,1.619979030569439,0.0392156862745098
