lane,validation_cells,decision,fraction_target_smooth_z_gt_1p96,fraction_target_smoother_than_length,median_target_smoothness_z,median_length_smoothness_z,median_target_smoothness_effect,median_length_smoothness_effect,median_liu_delta_auroc,spearman_target_smoothness_vs_liu_delta
global24,21,TARGET_ALIGNED_BUT_NUISANCE_DOMINATED,0.9523809523809523,0.0,13.93044115089427,45.39710711726077,0.18222324624147587,0.8099166713479443,0.00012905063234824876,-0.11298701298701298
processbench,4,TARGET_ALIGNED_BUT_NUISANCE_DOMINATED,1.0,0.0,17.749409890454956,42.20365487255587,0.26229340485939023,0.6300643089986563,0.0022479501987673345,-0.19999999999999998
ragtruth,1,TARGET_ALIGNED_BUT_NUISANCE_DOMINATED,1.0,0.0,29.945193032494824,81.56561059447797,0.314217172733642,0.9394281108403031,0.00235945612623234,nan
