candidate,baseline,cell_mean_delta_pp,family_mean_delta_pp,family_ci_low_pp,family_ci_high_pp,wins,ties,losses,worst_delta_pp,wilcoxon_p
cm_direct_selected,iu_pcr,-2.3062810485880094,-3.6401456496240545,-9.001021412901325,-0.06659569869728571,0,19,5,-21.44350305310908,0.025650523981259256
cm_direct_selected,dufs_liu,-2.3537033227446256,-3.709900490689581,-9.057988265233853,-0.12976594859365004,4,0,20,-21.360682418939657,0.00433504581451416
cm_iu_selected,iu_pcr,-2.205150116853921,-3.4570896225538923,-8.512914192867742,-0.06180478596949451,0,19,5,-20.223298281255396,0.025650523981259256
cm_iu_selected,dufs_liu,-2.2525723910105375,-3.52684446361942,-8.573707224497113,-0.12697662421600614,4,0,20,-20.140477647085973,0.00433504581451416
cm_dufs_selected,iu_pcr,-2.1638099233352683,-3.381772124350317,-8.486017683530187,0.08556035334347095,15,0,9,-20.20759987533618,0.7257407903671265
cm_dufs_selected,dufs_liu,-2.2112321974918845,-3.4515269654158436,-8.482721775707533,-0.06239682437496855,0,19,5,-20.124779241166756,0.025650523981259256
