method_key,method,cell_macro_auroc,cell_ci_low,cell_ci_high,family_macro_auroc,family_ci_low,family_ci_high,qa_macro_auroc,math_macro_auroc,cell_macro_auprc
deployed_upcr_mixed_v2,Deployed-style U-PCR (mixed-v2),0.7739543038656608,0.7416713298489395,0.8045760474241179,0.7418034257709265,0.6797594878920474,0.7923096329446526,0.7588435305410343,0.7830207678604367,0.7100375269221392
iu_pcr,IU-PCR,0.7760865493175492,0.7431605318618618,0.8080283547482818,0.7423474445564211,0.6803338802090756,0.7937989308150852,0.759742561845466,0.7858929418007993,0.7102158113452894
su_pcr,SU-PCR reproduction,0.7713811066096041,0.7368689834948398,0.804743338612624,0.7392744183532038,0.6813956641856,0.7877496965496098,0.7488819606843452,0.7848805941647595,0.7080730101085008
sdsf,SDSF,0.7325822269339158,0.6988608063831873,0.7650597073665687,0.716580374011779,0.6668286021925844,0.7591410799080942,0.7146238903696545,0.7433572288724727,0.6635450436563816
dufs_liu,DUFS-LIU,0.7765607720591153,0.7432891498442104,0.8089395196663179,0.7430449929670763,0.6823259188549551,0.7943526233757905,0.7604235239009687,0.7862431209540034,0.7126610149080671
cm_direct_selected,CM-LFF direct factor,0.7530237388316691,0.7158872803005024,0.7900131324483962,0.7059459880601805,0.6481529184434244,0.7595500719199146,0.7041613515451002,0.7823411712036107,0.6792910203670665
cm_iu_selected,CM-deflated IU-PCR,0.7540350481490101,0.718061485021732,0.7906306949264579,0.707776548330882,0.651137146108876,0.7596055110298627,0.7064323174822055,0.7825966865490929,0.6801406849179387
cm_dufs_selected,CM-deflated DUFS-LIU,0.7544484500841966,0.7181769693826787,0.7909028687433677,0.7085297233129177,0.6517928279907168,0.761089459382243,0.7070037163567378,0.7829152903206719,0.6826551253426351
pca_iu_selected,Second-order deflation control,0.7751091568410068,0.7421710278211191,0.807441362729529,0.7418729825863298,0.6795134772473597,0.7923425058136553,0.7568194062347561,0.7860830072047572,0.7073488273657623
permuted_cm_iu_selected,Permuted-moment control,0.7725746874446906,0.7388142944796535,0.8057427234060159,0.741691734284095,0.6808870223723413,0.7938943763748258,0.7607448471514746,0.7796725916206203,0.7059065538574646
