cell,family,domain,n,positive_rate,method_key,method,auroc,auprc,score_variance
losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.338,cm_direct_k4,cm_direct_k4,0.5326158851606213,0.37530357119388347,10.062145765131797
losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.338,cm_iu_k0,cm_iu_k0,0.5721589588659075,0.40912631594466287,0.24412422378229115
losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.338,cm_iu_k1,cm_iu_k1,0.5776828330860402,0.425642297154204,0.22285873041419638
losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.338,cm_iu_k2,cm_iu_k2,0.566778097570568,0.409469330648589,0.23314488361475436
losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.338,cm_iu_k3,cm_iu_k3,0.5334560860937807,0.3751816219418421,0.23313301320470828
losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.338,cm_iu_k4,cm_iu_k4,0.530828223600708,0.36969570202646096,0.24659470134082642
sciq_llama8b,sciq,QA,198,0.6616161616161617,deployed_upcr_mixed_v2,Deployed-style U-PCR (mixed-v2),0.7401162128289849,0.8441127188113602,0.29410606278157764
sciq_llama8b,sciq,QA,198,0.6616161616161617,iu_pcr,IU-PCR,0.7369260567392047,0.8409799221341958,0.25358806229152603
sciq_llama8b,sciq,QA,198,0.6616161616161617,su_pcr,SU-PCR reproduction,0.737951464053777,0.8414021947470472,0.2542451597139006
sciq_llama8b,sciq,QA,198,0.6616161616161617,sdsf,SDSF,0.7188105275150961,0.8265313179475415,0.2694999022442975
sciq_llama8b,sciq,QA,198,0.6616161616161617,dufs_liu,DUFS-LIU,0.7393186738065399,0.842071770904173,0.23113079793058808
sciq_llama8b,sciq,QA,198,0.6616161616161617,cm_direct_selected,CM-LFF direct factor,0.7369260567392047,0.8409799221341958,0.25358806229152603
sciq_llama8b,sciq,QA,198,0.6616161616161617,cm_iu_selected,CM-deflated IU-PCR,0.7369260567392047,0.8409799221341958,0.25358806229152603
sciq_llama8b,sciq,QA,198,0.6616161616161617,cm_dufs_selected,CM-deflated DUFS-LIU,0.7393186738065399,0.842071770904173,0.23113079793058808
sciq_llama8b,sciq,QA,198,0.6616161616161617,pca_iu_selected,Second-order deflation control,0.7369260567392047,0.8409799221341958,0.2535880622915258
sciq_llama8b,sciq,QA,198,0.6616161616161617,permuted_cm_iu_selected,Permuted-moment control,0.7369260567392047,0.8409799221341958,0.25358806229152603
sciq_llama8b,sciq,QA,198,0.6616161616161617,cm_direct_k0,cm_direct_k0,0.7410276859974934,0.8435490150638215,11.327620936351455
sciq_llama8b,sciq,QA,198,0.6616161616161617,cm_direct_k1,cm_direct_k1,0.6803007861456078,0.8074631205867009,9.972197384488032
sciq_llama8b,sciq,QA,198,0.6616161616161617,cm_direct_k2,cm_direct_k2,0.6365500740571949,0.789138361214912,9.809119874263107
sciq_llama8b,sciq,QA,198,0.6616161616161617,cm_direct_k3,cm_direct_k3,0.5879001936880482,0.7611922816352763,7.992316553773931
sciq_llama8b,sciq,QA,198,0.6616161616161617,cm_direct_k4,cm_direct_k4,0.5548592913296115,0.7417213225450647,8.883920236386347
sciq_llama8b,sciq,QA,198,0.6616161616161617,cm_iu_k0,cm_iu_k0,0.7369260567392047,0.8409799221341958,0.25358806229152603
sciq_llama8b,sciq,QA,198,0.6616161616161617,cm_iu_k1,cm_iu_k1,0.6912384641677111,0.8054791705136795,0.23619602574353638
sciq_llama8b,sciq,QA,198,0.6616161616161617,cm_iu_k2,cm_iu_k2,0.6416771106300558,0.7914226890746405,0.2400709647269599
sciq_llama8b,sciq,QA,198,0.6616161616161617,cm_iu_k3,cm_iu_k3,0.5926854278227185,0.7639466641025929,0.2602220630442289
sciq_llama8b,sciq,QA,198,0.6616161616161617,cm_iu_k4,cm_iu_k4,0.5539478181611028,0.7414502668085377,0.26523329842343146
se_nq_open_llama8b,nq_open,QA,8460,0.4852245862884161,deployed_upcr_mixed_v2,Deployed-style U-PCR (mixed-v2),0.7468965488308481,0.7320822580268198,0.264819595692939
se_nq_open_llama8b,nq_open,QA,8460,0.4852245862884161,iu_pcr,IU-PCR,0.739502916412037,0.7241195530782198,0.2505362812015226
se_nq_open_llama8b,nq_open,QA,8460,0.4852245862884161,su_pcr,SU-PCR reproduction,0.7405544748850147,0.7249015749731487,0.2505862987687501
se_nq_open_llama8b,nq_open,QA,8460,0.4852245862884161,sdsf,SDSF,0.7407502541634561,0.7171366106177419,0.2617914848095164
se_nq_open_llama8b,nq_open,QA,8460,0.4852245862884161,dufs_liu,DUFS-LIU,0.7433446092874894,0.7279719081736837,0.2238235688730996
se_nq_open_llama8b,nq_open,QA,8460,0.4852245862884161,cm_direct_selected,CM-LFF direct factor,0.739502916412037,0.7241195530782198,0.2505362812015226
se_nq_open_llama8b,nq_open,QA,8460,0.4852245862884161,cm_iu_selected,CM-deflated IU-PCR,0.739502916412037,0.7241195530782198,0.2505362812015226
se_nq_open_llama8b,nq_open,QA,8460,0.4852245862884161,cm_dufs_selected,CM-deflated DUFS-LIU,0.7433446092874894,0.7279719081736837,0.2238235688730996
se_nq_open_llama8b,nq_open,QA,8460,0.4852245862884161,pca_iu_selected,Second-order deflation control,0.739502916412037,0.7241195530782198,0.2505362812015228
se_nq_open_llama8b,nq_open,QA,8460,0.4852245862884161,permuted_cm_iu_selected,Permuted-moment control,0.739502916412037,0.7241195530782198,0.2505362812015226
se_nq_open_llama8b,nq_open,QA,8460,0.4852245862884161,cm_direct_k0,cm_direct_k0,0.7479433526642063,0.733597381446604,10.694611607153133
se_nq_open_llama8b,nq_open,QA,8460,0.4852245862884161,cm_direct_k1,cm_direct_k1,0.7163256145022102,0.6584760248298567,8.613897152579115
se_nq_open_llama8b,nq_open,QA,8460,0.4852245862884161,cm_direct_k2,cm_direct_k2,0.7208562826269664,0.6653273409173368,8.809642642488646
se_nq_open_llama8b,nq_open,QA,8460,0.4852245862884161,cm_direct_k3,cm_direct_k3,0.7183021461604187,0.6650985438922326,8.780978567963725
se_nq_open_llama8b,nq_open,QA,8460,0.4852245862884161,cm_direct_k4,cm_direct_k4,0.6183475949214856,0.6043088056025978,39401.43933562546
se_nq_open_llama8b,nq_open,QA,8460,0.4852245862884161,cm_iu_k0,cm_iu_k0,0.739502916412037,0.7241195530782198,0.2505362812015226
se_nq_open_llama8b,nq_open,QA,8460,0.4852245862884161,cm_iu_k1,cm_iu_k1,0.7170663873548961,0.6596524573921927,0.206199326005992
se_nq_open_llama8b,nq_open,QA,8460,0.4852245862884161,cm_iu_k2,cm_iu_k2,0.7185094484478199,0.6632144719329288,0.2304577894628217
se_nq_open_llama8b,nq_open,QA,8460,0.4852245862884161,cm_iu_k3,cm_iu_k3,0.7187672058521223,0.6659702427297258,0.22915047513431458
se_nq_open_llama8b,nq_open,QA,8460,0.4852245862884161,cm_iu_k4,cm_iu_k4,0.6126252462973244,0.5970589113993738,0.2765362563107386
se_squad_v2_llama8b,squad_v2,QA,2933,0.27957722468462326,deployed_upcr_mixed_v2,Deployed-style U-PCR (mixed-v2),0.8102507127768863,0.6869915730847796,0.25930299004220386
se_squad_v2_llama8b,squad_v2,QA,2933,0.27957722468462326,iu_pcr,IU-PCR,0.812104509828818,0.6899415705399772,0.24821675695291048
se_squad_v2_llama8b,squad_v2,QA,2933,0.27957722468462326,su_pcr,SU-PCR reproduction,0.8121027783869887,0.6899398150994559,0.2493168789794899
se_squad_v2_llama8b,squad_v2,QA,2933,0.27957722468462326,sdsf,SDSF,0.7962156453083699,0.6096773224548819,0.25801041758562127
se_squad_v2_llama8b,squad_v2,QA,2933,0.27957722468462326,dufs_liu,DUFS-LIU,0.8112763034871238,0.6875089138794698,0.21830228332189477
se_squad_v2_llama8b,squad_v2,QA,2933,0.27957722468462326,cm_direct_selected,CM-LFF direct factor,0.5976694792977272,0.3660981497623935,8.007943590757224
se_squad_v2_llama8b,squad_v2,QA,2933,0.27957722468462326,cm_iu_selected,CM-deflated IU-PCR,0.609871527016264,0.3723623223888404,0.2625600265981385
se_squad_v2_llama8b,squad_v2,QA,2933,0.27957722468462326,cm_dufs_selected,CM-deflated DUFS-LIU,0.6100285110754562,0.37241791335018326,0.23137020389465168
se_squad_v2_llama8b,squad_v2,QA,2933,0.27957722468462326,pca_iu_selected,Second-order deflation control,0.8154329181720591,0.6943093379316244,0.27713505059782795
se_squad_v2_llama8b,squad_v2,QA,2933,0.27957722468462326,permuted_cm_iu_selected,Permuted-moment control,0.8145441113663385,0.6969761974374123,0.2507610730704879
se_squad_v2_llama8b,squad_v2,QA,2933,0.27957722468462326,cm_direct_k0,cm_direct_k0,0.8095916105871896,0.6793151984639275,10.519458284498244
se_squad_v2_llama8b,squad_v2,QA,2933,0.27957722468462326,cm_direct_k1,cm_direct_k1,0.7426309835743885,0.4796206542232841,8.060396301854778
se_squad_v2_llama8b,squad_v2,QA,2933,0.27957722468462326,cm_direct_k2,cm_direct_k2,0.5976694792977272,0.3660981497623935,8.007943590757224
se_squad_v2_llama8b,squad_v2,QA,2933,0.27957722468462326,cm_direct_k3,cm_direct_k3,0.7367521614165503,0.4832470101004792,10.149214065266865
se_squad_v2_llama8b,squad_v2,QA,2933,0.27957722468462326,cm_direct_k4,cm_direct_k4,0.5957394988053052,0.3584498608249008,7.805215154750122
se_squad_v2_llama8b,squad_v2,QA,2933,0.27957722468462326,cm_iu_k0,cm_iu_k0,0.812104509828818,0.6899415705399772,0.24821675695291048
se_squad_v2_llama8b,squad_v2,QA,2933,0.27957722468462326,cm_iu_k1,cm_iu_k1,0.7467275749425738,0.4887057236342961,0.262345687086386
se_squad_v2_llama8b,squad_v2,QA,2933,0.27957722468462326,cm_iu_k2,cm_iu_k2,0.609871527016264,0.3723623223888404,0.2625600265981385
se_squad_v2_llama8b,squad_v2,QA,2933,0.27957722468462326,cm_iu_k3,cm_iu_k3,0.742108088141932,0.4889863592350414,0.2907349997085614
se_squad_v2_llama8b,squad_v2,QA,2933,0.27957722468462326,cm_iu_k4,cm_iu_k4,0.5987002643334526,0.36246401932225825,0.2808872787377331
seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.4648,deployed_upcr_mixed_v2,Deployed-style U-PCR (mixed-v2),0.8120554768722551,0.7950424422892931,0.25987359089561085
