method,rank,nuisance_k,mean_auroc,ci_low,ci_high
cm_direct,1,0,0.7719810785369746,0.7397222004960943,0.803257858870264
cm_direct,2,1,0.7168839911421667,0.6862325995435604,0.7486909806739652
cm_direct,3,2,0.668848244065186,0.6385426761250939,0.6994735381690127
cm_direct,4,3,0.6418839908215143,0.6166044484057023,0.66679737695472
cm_direct,5,4,0.5912385037390316,0.5652552702695437,0.6185662876194129
cm_iu,1,0,0.7760865493175492,0.742736551904877,0.808991681539832
cm_iu,2,1,0.7174893167076313,0.6856654995179189,0.7492021526877137
cm_iu,3,2,0.673217764740946,0.642600870213127,0.7031831257334892
cm_iu,4,3,0.6283537630582678,0.5988901379674764,0.6585409977248493
cm_iu,5,4,0.5734212249400704,0.5374677799133528,0.6090034392862143
