scope,channel,set,n_locators,stratum,n_erroneous,union_sla_exact,union_sla_tolerance_one,shuffled_union_sla_exact
within_channel,q15_H1,top5,1,all,4442,0.2978388113462404,0.5475011256190905,0.2465105808194507
within_channel,q15_H1,top5,1,steps_2_to_5,1312,0.4214939024390244,0.7675304878048781,0.3696646341463415
within_channel,q15_H1,top5,1,steps_6_to_10,2308,0.2729636048526863,0.5090987868284229,0.22270363951473138
within_channel,q15_H1,top5,1,steps_11_plus,822,0.170316301703163,0.30413625304136255,0.11678832116788321
within_channel,q15_H1,top5+top10,2,all,4442,0.3455650607834309,0.5932012606933813,0.3030166591625394
within_channel,q15_H1,top5+top10,2,steps_2_to_5,1312,0.4649390243902439,0.7980182926829268,0.4344512195121951
within_channel,q15_H1,top5+top10,2,steps_6_to_10,2308,0.3223570190641248,0.5632582322357019,0.28292894280762565
within_channel,q15_H1,top5+top10,2,steps_11_plus,822,0.22019464720194648,0.35036496350364965,0.14963503649635038
within_channel,q15_H1,top5+max,2,all,4442,0.3628995947771274,0.640252138676272,0.31764970733903647
within_channel,q15_H1,top5+max,2,steps_2_to_5,1312,0.4969512195121951,0.8292682926829268,0.4535060975609756
within_channel,q15_H1,top5+max,2,steps_6_to_10,2308,0.33838821490467935,0.6152512998266898,0.29462738301559793
within_channel,q15_H1,top5+max,2,steps_11_plus,822,0.21776155717761558,0.40875912408759124,0.1654501216545012
within_channel,q15_H1,top5+mean,2,all,4442,0.3689779378658262,0.6519585772174696,0.3194506978838361
within_channel,q15_H1,top5+mean,2,steps_2_to_5,1312,0.4969512195121951,0.8361280487804879,0.4725609756097561
within_channel,q15_H1,top5+mean,2,steps_6_to_10,2308,0.34575389948006935,0.6373483535528596,0.2885615251299827
within_channel,q15_H1,top5+mean,2,steps_11_plus,822,0.22992700729927007,0.39902676399026765,0.16180048661800486
within_channel,q15_H1,top5+log_top5,2,all,4442,0.40567312021611884,0.6728950923007654,0.35862224223322825
within_channel,q15_H1,top5+log_top5,2,steps_2_to_5,1312,0.541920731707317,0.8582317073170732,0.5190548780487805
within_channel,q15_H1,top5+log_top5,2,steps_6_to_10,2308,0.3817157712305026,0.6499133448873483,0.3305892547660312
within_channel,q15_H1,top5+log_top5,2,steps_11_plus,822,0.25547445255474455,0.4416058394160584,0.18126520681265207
within_channel,q15_H1,top5+cusum_top5,2,all,4442,0.43403872129671317,0.7156686177397569,0.38473660513282304
within_channel,q15_H1,top5+cusum_top5,2,steps_2_to_5,1312,0.604420731707317,0.899390243902439,0.5571646341463414
within_channel,q15_H1,top5+cusum_top5,2,steps_6_to_10,2308,0.40294627383015597,0.6975736568457539,0.34748700173310226
within_channel,q15_H1,top5+cusum_top5,2,steps_11_plus,822,0.24939172749391728,0.4732360097323601,0.2141119221411192
within_channel,q15_H1,top5+onset80,2,all,4442,0.3930661864025214,0.6641152633948672,0.3291310220621342
within_channel,q15_H1,top5+onset80,2,steps_2_to_5,1312,0.4969512195121951,0.8147865853658537,0.4382621951219512
within_channel,q15_H1,top5+onset80,2,steps_6_to_10,2308,0.37261698440207974,0.6503466204506065,0.31672443674176776
