locator,tied_argmax_rate,degenerate,sla_exact,sla_tolerance_one,early,late,shuffled_sla_exact
ct7,0.0013507429085997298,False,0.3824853669518235,0.6130121566861774,0.2739756866276452,0.3435389464205313,
token_lsml,0.0,False,0.3313822602431337,0.5715893741557857,0.22534894191805493,0.44326879783881135,
top5__all__soft__equal,0.0009004952723998199,False,0.3009905447996398,0.5362449347140927,0.32462854570013505,0.3743809095002251,
top5__all__pmf__equal,0.0009004952723998199,False,0.3009905447996398,0.5362449347140927,0.32462854570013505,0.3743809095002251,
q15_H1__top5,0.0,False,0.2978388113462404,0.5475011256190905,0.2611436289959478,0.4410175596578118,0.2465105808194507
q15_H1__top10,0.0,False,0.31539846915803693,0.5585321927059883,0.2530391715443494,0.43156235929761366,0.26046825754164793
q15_H1__max,0.0,False,0.23638000900495273,0.5207113912651958,0.264970733903647,0.4986492570914003,0.1945069788383611
q15_H1__mean,0.0,False,0.21386762719495722,0.4921206663665016,0.2807294011706439,0.505402971634399,0.13822602431337236
q15_H1__log_top5,0.0,False,0.28162989644304365,0.5515533543448897,0.29333633498424133,0.425033768572715,0.22512381809995496
q15_H1__cusum_top5,0.0,False,0.22669968482665467,0.5520036019810896,0.3009905447996398,0.47230977037370553,0.23525438991445294
q15_H1__onset80,0.0,False,0.30009004952724,0.5675371454299865,0.4412426834759118,0.2586672669968483,0.24470959027465106
q15_H1__top30,0.0,False,0.33228275551553355,0.565060783430887,0.25911751463304816,0.4085997298514183,0.2861323728050428
q15_H1__std,0.0,False,0.21116614137775777,0.4936965330932013,0.26587122917604683,0.5229626294461954,0.14115263394867178
q15_H1__iqr,0.0,False,0.21904547501125618,0.49684826654660064,0.2825303917154435,0.4984241332733003,0.15060783430886987
q15_H1__frac_above_z,0.00585321927059883,False,0.2055380459252589,0.4844664565511031,0.2915353444394417,0.5029266096352994,0.1395767672219721
q15_H1__slope,0.0,False,0.17469608284556506,0.425033768572715,0.46915803692030617,0.3561458802341288,0.10783430886987844
q15_H1__jump,0.0,False,0.18235029266096353,0.4394416929311121,0.5373705538045925,0.28027915353444394,0.12494371904547501
q15_H1__q90,0.0,False,0.2165691130121567,0.49662314272850067,0.27487618190004504,0.5085547050877983,0.1454299864925709
q15_H1__first_token,0.0,False,0.14970733903647007,0.45339936965330935,0.19743358847366052,0.6528590724898694,0.15893741557856822
q15_H1__boxcar8_max,0.0,False,0.2579918955425484,0.5240882485366952,0.2915353444394417,0.4504727600180099,0.20778928410625844
q15_H1__page_wmax,0.0,False,0.23863124718595227,0.5189104007203962,0.2573165240882485,0.5040522287257991,0.2035119315623593
q15_VE1__top5,0.0,False,0.3059432687978388,0.5576316974335884,0.2654209815398469,0.42863574966231427,0.24065736154885187
q15_VE1__top10,0.0,False,0.32620441242683473,0.5646105357946871,0.2521386762719496,0.4216569113012157,0.26069338135974784
q15_VE1__max,0.0,False,0.25641602881584874,0.5144079243583971,0.2910850968032418,0.4524988743809095,0.19720846465556055
q15_VE1__mean,0.0,False,0.23142728500675372,0.505402971634399,0.28005402971634397,0.4885186852769023,0.13327330031517334
q15_VE1__log_top5,0.0,False,0.2832057631697434,0.5468257541647906,0.29693831607384064,0.41985592075641603,0.22264745610085548
q15_VE1__cusum_top5,0.0,False,0.2206213417379559,0.5544799639801891,0.3041422782530392,0.475236380009005,0.22827555155335436
q15_VE1__onset80,0.0,False,0.31112111661413777,0.5695632597928861,0.4439441692931112,0.24493471409275103,0.25078793336334987
q15_VE1__top30,0.0,False,0.3433138226024313,0.5679873930661864,0.23840612336785233,0.41828005402971635,0.28005402971634397
q15_VE1__std,0.0,False,0.239981990094552,0.5157586672669968,0.2874831157136425,0.4725348941918055,0.13732552904097253
q15_VE1__iqr,0.0,False,0.25033768572714993,0.5175596578117965,0.2784781629896443,0.4711841512832058,0.13980189104007204
q15_VE1__frac_above_z,0.004277352543899144,False,0.2194957226474561,0.4954975236380009,0.28523187753264295,0.49527239981990095,0.13124718595227375
q15_VE1__slope,0.0,False,0.18977937865826205,0.4389914452949122,0.46780729401170645,0.3424133273300315,0.11031067086897794
q15_VE1__jump,0.0,False,0.20711391265195858,0.45767672219720845,0.49279603782080145,0.30009004952724,0.11841512832057632
q15_VE1__q90,0.0,False,0.24718595227375056,0.5155335434488969,0.2784781629896443,0.47433588473660515,0.14813147230977036
