series,population,stratum,bin,centre,mean,n
ct7,gate_closed,all,0,0.05,0.6632580810718266,2472
ct7,gate_closed,all,1,0.15,0.38463082537102683,1000
ct7,gate_closed,all,2,0.25,0.30424024698933927,1550
ct7,gate_closed,all,3,0.35,0.12885579862080068,1208
ct7,gate_closed,all,4,0.45,-0.07736642377210891,988
ct7,gate_closed,all,5,0.55,-0.10547987958150414,1571
ct7,gate_closed,all,6,0.65,-0.18522625645366805,1587
ct7,gate_closed,all,7,0.75,-0.2516097908160015,1171
ct7,gate_closed,all,8,0.85,-0.22936728956311114,1379
ct7,gate_closed,all,9,0.95,-0.5913527694550157,2544
ct7,gate_closed,steps_2_to_5,0,0.05,0.5094864896000583,947
ct7,gate_closed,steps_2_to_5,1,0.15,nan,0
ct7,gate_closed,steps_2_to_5,2,0.25,0.5592352363241822,400
ct7,gate_closed,steps_2_to_5,3,0.35,0.37207642245066064,395
ct7,gate_closed,steps_2_to_5,4,0.45,nan,0
ct7,gate_closed,steps_2_to_5,5,0.55,-0.10067526728403796,524
ct7,gate_closed,steps_2_to_5,6,0.65,-0.17013620487822487,395
ct7,gate_closed,steps_2_to_5,7,0.75,-0.19381812845892232,400
ct7,gate_closed,steps_2_to_5,8,0.85,nan,0
ct7,gate_closed,steps_2_to_5,9,0.95,-0.6923580725254848,947
ct7,gate_closed,steps_6_to_10,0,0.05,0.726572269060543,1009
ct7,gate_closed,steps_6_to_10,1,0.15,0.4577527071485335,655
ct7,gate_closed,steps_6_to_10,2,0.25,0.2805480039265569,779
ct7,gate_closed,steps_6_to_10,3,0.35,0.08112826640561757,459
ct7,gate_closed,steps_6_to_10,4,0.45,-0.013389415312085312,639
ct7,gate_closed,steps_6_to_10,5,0.55,-0.06041215359779532,655
ct7,gate_closed,steps_6_to_10,6,0.65,-0.12912445405868894,813
ct7,gate_closed,steps_6_to_10,7,0.75,-0.3469999845401206,425
ct7,gate_closed,steps_6_to_10,8,0.85,-0.25707691452127546,1009
ct7,gate_closed,steps_6_to_10,9,0.95,-0.7222543445799137,1009
ct7,gate_closed,steps_11_plus,0,0.05,0.8216644404577788,516
ct7,gate_closed,steps_11_plus,1,0.15,0.24580522373547012,345
ct7,gate_closed,steps_11_plus,2,0.25,0.07906035915098364,371
ct7,gate_closed,steps_11_plus,3,0.35,-0.08065044184819843,354
ct7,gate_closed,steps_11_plus,4,0.45,-0.194504843273413,349
ct7,gate_closed,steps_11_plus,5,0.55,-0.18720686265089517,392
ct7,gate_closed,steps_11_plus,6,0.65,-0.3212983823624239,379
ct7,gate_closed,steps_11_plus,7,0.75,-0.2012509255272171,346
ct7,gate_closed,steps_11_plus,8,0.85,-0.15380239339341437,370
ct7,gate_closed,steps_11_plus,9,0.95,-0.2040539406986269,588
ct7,label_clean,all,0,0.05,0.6595080357019527,2594
ct7,label_clean,all,1,0.15,0.4159911714206135,1028
ct7,label_clean,all,2,0.25,0.32403385573585813,1676
ct7,label_clean,all,3,0.35,0.1121182158149927,1206
ct7,label_clean,all,4,0.45,-0.033389071935772334,1098
ct7,label_clean,all,5,0.55,-0.06784286027408269,1626
ct7,label_clean,all,6,0.65,-0.19065672879873963,1670
ct7,label_clean,all,7,0.75,-0.26606828948991884,1212
ct7,label_clean,all,8,0.85,-0.2672935592033212,1492
ct7,label_clean,all,9,0.95,-0.6109636031631438,2668
ct7,label_clean,steps_2_to_5,0,0.05,0.5570500191016327,950
