family,members,n_locators,reference,stratum,miss_type,n_reference_misses,union_hit_given_miss,shuffled_union_hit_given_miss,real_minus_shuffled,real_minus_shuffled_ci95,any_channel_top5_hit_given_miss,shuffled_any_channel_top5_hit_given_miss
peak,max q90 top10 top30 log_top5 boxcar8_max,56,top5__all__soft__equal,all,any,3105,0.9294685990338164,0.9610305958132045,-0.03156199677938809,"[-0.04417615468005297, -0.01935213916351254]",0.6106280193236715,0.6843800322061192
peak,max q90 top10 top30 log_top5 boxcar8_max,56,top5__all__soft__equal,all,late,1663,0.9350571256764882,0.9645219482862297,-0.02946482260974148,"[-0.045482102258910063, -0.014826899158408242]",0.6211665664461816,0.7227901383042694
peak,max q90 top10 top30 log_top5 boxcar8_max,56,top5__all__soft__equal,steps_2_to_5,any,760,0.9828947368421053,0.9960526315789474,-0.013157894736842146,"[-0.024096385542168676, -0.002751031636863824]",0.7907894736842105,0.8697368421052631
peak,max q90 top10 top30 log_top5 boxcar8_max,56,top5__all__soft__equal,steps_2_to_5,late,421,0.9881235154394299,0.997624703087886,-0.009501187648456089,"[-0.022167735976481806, 0.0]",0.8028503562945368,0.9026128266033254
peak,max q90 top10 top30 log_top5 boxcar8_max,56,top5__all__soft__equal,steps_6_to_10,any,1642,0.9433617539585871,0.9725943970767357,-0.02923264311814855,"[-0.044352641547475306, -0.013911174207989633]",0.6138855054811205,0.669305724725944
peak,max q90 top10 top30 log_top5 boxcar8_max,56,top5__all__soft__equal,steps_6_to_10,late,895,0.9463687150837988,0.9698324022346368,-0.02346368715083802,"[-0.042874431633072224, -0.004359381888210878]",0.6145251396648045,0.7094972067039106
peak,max q90 top10 top30 log_top5 boxcar8_max,56,top5__all__soft__equal,steps_11_plus,any,703,0.8392603129445235,0.8961593172119487,-0.056899004267425224,"[-0.09613075071073542, -0.018290601058514388]",0.40825035561877665,0.519203413940256
peak,max q90 top10 top30 log_top5 boxcar8_max,56,top5__all__soft__equal,steps_11_plus,late,347,0.8414985590778098,0.9106628242074928,-0.06916426512968299,"[-0.125009110787172, -0.02066823524062836]",0.41786743515850144,0.5389048991354467
peak,max q90 top10 top30 log_top5 boxcar8_max,56,ct7,all,any,2743,0.9205249726576741,0.959533357637623,-0.03900838497994896,"[-0.0523071022681467, -0.02542880235566046]",0.6029894276339774,0.6853809697411594
peak,max q90 top10 top30 log_top5 boxcar8_max,56,ct7,all,late,1526,0.9154652686762779,0.9560943643512451,-0.0406290956749672,"[-0.059964220382948734, -0.022541251444738175]",0.601572739187418,0.7038007863695938
