series,stratum,n_erroneous,sla,early,late,mean_relative_target,late_n,late_mean_relative_pred,late_mean_relative_target,late_mean_signed_relative_delta,late_null_at_pred_minus_target,late_null_at_pred_minus_target_ci95,early_n,early_mean_relative_pred,early_mean_relative_target,early_mean_signed_relative_delta,early_null_at_pred_minus_target,early_null_at_pred_minus_target_ci95
ct7,all,4442,0.3824853669518235,0.2739756866276452,0.3435389464205313,0.40799052832262717,1526,0.6702547130203065,0.2682981530232507,0.4019565599970557,-0.4630204458183097,"[-0.48361012203117426, -0.44276297075585136]",1217,0.1923260734489591,0.5826843337418195,-0.3903582602928604,0.48067189887784406,"[0.45937933263585085, 0.5018060615627464]"
ct7,steps_2_to_5,1312,0.4763719512195122,0.24466463414634146,0.27896341463414637,0.39761178861788615,366,0.7158469945355191,0.23041894353369766,0.48542805100182146,,,321,0.14719626168224298,0.592159916926272,-0.44496365524402903,,
ct7,steps_6_to_10,2308,0.3587521663778163,0.28812824956672445,0.3531195840554593,0.416381942725097,815,0.6593227188625961,0.2799649430324277,0.37935777583016844,-0.4470939215849922,"[-0.4758411697317166, -0.4197019810701344]",665,0.20411146914906314,0.5745309702828499,-0.37041950113378685,0.4778381464401505,"[0.4495599760495993, 0.5071131109422063]"
ct7,steps_11_plus,822,0.29927007299270075,0.28102189781021897,0.4197080291970803,0.4009948130570796,345,0.64771210491586,0.2809223756774455,0.36678972923841446,-0.32514133839208975,"[-0.3753821824205232, -0.2754075868526558]",231,0.22111127447297088,0.5929887687981203,-0.37187749432514955,0.4589376545369088,"[0.38717509467436184, 0.5317451686767931]"
token_lsml,all,4442,0.3313822602431337,0.22534894191805493,0.44326879783881135,0.40799052832262717,1969,0.7169145908617416,0.28934887651663604,0.42756571434510554,-0.3342693534367703,"[-0.3471890935732693, -0.3216207502493043]",1001,0.22298472193641958,0.5957634418201257,-0.3727787198837062,0.285885057149881,"[0.2697703570437038, 0.3022426913324374]"
token_lsml,steps_2_to_5,1312,0.4321646341463415,0.20503048780487804,0.3628048780487805,0.39761178861788615,476,0.7636554621848739,0.2598039215686274,0.5038515406162465,,,269,0.16945477075588597,0.604089219330855,-0.434634448574969,,
token_lsml,steps_6_to_10,2308,0.31802426343154244,0.22616984402079723,0.4558058925476603,0.416381942725097,1052,0.7015250618625144,0.3019015178948639,0.3996235439676505,-0.32395177417283905,"[-0.3437610122948899, -0.3054690689556734]",522,0.237667244420118,0.5890515720975491,-0.35138432767743116,0.29756049735397627,"[0.27513911312658396, 0.3200631242251782]"
token_lsml,steps_11_plus,822,0.20802919708029197,0.25547445255474455,0.5364963503649635,0.4009948130570796,441,0.7031756560712107,0.2912944997033851,0.4118811563678256,-0.23244887912758733,"[-0.264972868934075, -0.20144538922571667]",210,0.25505748446533844,0.6017823077477392,-0.3467248232824009,0.2661288589011958,"[0.2176082702331977, 0.3204755503162028]"
top5__all__soft__equal,all,4442,0.3009905447996398,0.32462854570013505,0.3743809095002251,0.40799052832262717,1663,0.7468634618007304,0.31300804180157166,0.4338554199991587,-0.4015386715902911,"[-0.4288540227501055, -0.3753074179789756]",1442,0.11189949347422362,0.5266584202151116,-0.41475892674088793,0.8124899508460088,"[0.779601375061967, 0.8439256231199218]"
top5__all__soft__equal,steps_2_to_5,1312,0.42073170731707316,0.2583841463414634,0.3208841463414634,0.39761178861788615,421,0.7618764845605701,0.26920031670625494,0.4926761678543152,,,339,0.10816125860373647,0.5735004916420845,-0.46533923303834807,,
top5__all__soft__equal,steps_6_to_10,2308,0.2885615251299827,0.32365684575389947,0.38778162911611785,0.416381942725097,895,0.7450066507049747,0.33243726168307175,0.412569389021903,-0.3547869201991986,"[-0.3927665357760866, -0.32048238053664413]",747,0.10913389005758485,0.5202874992031619,-0.411153609145577,0.9328572239960461,"[0.8806324173452639, 0.9827017214623571]"
top5__all__soft__equal,steps_11_plus,822,0.14476885644768855,0.43309002433090027,0.4221411192214112,0.4009948130570796,347,0.7334379959471529,0.3160452189519627,0.41739277699519034,-0.29473997251729184,"[-0.37136424161055914, -0.22277009262924025]",356,0.1212623231745728,0.49542138589539975,-0.37415906272082694,0.9688829315371883,"[0.8796009951658678, 1.060019161438092]"
top5__all__pmf__equal,all,4442,0.3009905447996398,0.32462854570013505,0.3743809095002251,0.40799052832262717,1663,0.7468634618007304,0.31300804180157166,0.4338554199991587,-0.40153867159029105,"[-0.42885402275010526, -0.37530741797897554]",1442,0.11189949347422362,0.5266584202151116,-0.41475892674088793,0.8124899508460086,"[0.7796013750619668, 0.8439256231199216]"
top5__all__pmf__equal,steps_2_to_5,1312,0.42073170731707316,0.2583841463414634,0.3208841463414634,0.39761178861788615,421,0.7618764845605701,0.26920031670625494,0.4926761678543152,,,339,0.10816125860373647,0.5735004916420845,-0.46533923303834807,,
top5__all__pmf__equal,steps_6_to_10,2308,0.2885615251299827,0.32365684575389947,0.38778162911611785,0.416381942725097,895,0.7450066507049747,0.33243726168307175,0.412569389021903,-0.35478692019919855,"[-0.3927665357760865, -0.32048238053664413]",747,0.10913389005758485,0.5202874992031619,-0.411153609145577,0.9328572239960461,"[0.8806324173452639, 0.982701721462357]"
top5__all__pmf__equal,steps_11_plus,822,0.14476885644768855,0.43309002433090027,0.4221411192214112,0.4009948130570796,347,0.7334379959471529,0.3160452189519627,0.41739277699519034,-0.29473997251729184,"[-0.37136424161055925, -0.2227700926292403]",356,0.1212623231745728,0.49542138589539975,-0.37415906272082694,0.968882931537189,"[0.879600995165868, 1.0600191614380923]"
