series,stratum,n_answers,argmax_in_last_fifth,uniform_expectation_last_fifth,argmax_at_first_step,uniform_expectation_first_step,mean_relative_argmax
ct7,all,2244,0.1394830659536542,0.26093554959027787,0.32397504456327986,0.17670549943712113,0.33426738386537136
ct7,steps_2_to_5,947,0.12249208025343189,0.24718409010911654,0.40021119324181625,0.24718409010911654,0.32250967969024985
ct7,steps_6_to_10,1009,0.14073339940535184,0.2791133764374597,0.28642220019821607,0.13955668821872985,0.33708685324146176
ct7,steps_11_plus,288,0.1909722222222222,0.2424675108397682,0.2048611111111111,0.07510801732940292,0.3630510687728884
token_lsml,all,2244,0.17647058823529413,0.26093554959027787,0.26024955436720143,0.17670549943712113,0.39913333421954145
token_lsml,steps_2_to_5,947,0.1700105596620908,0.24718409010911654,0.3136219640971489,0.24718409010911654,0.3971312917986624
token_lsml,steps_6_to_10,1009,0.17244796828543113,0.2791133764374597,0.2309217046580773,0.13955668821872985,0.397246212657511
token_lsml,steps_11_plus,288,0.21180555555555555,0.2424675108397682,0.1875,0.07510801732940292,0.41232791695794846
top5__all__soft__equal,all,2244,0.1394830659536542,0.26093554959027787,0.46390374331550804,0.17670549943712113,0.2914517457278546
top5__all__soft__equal,steps_2_to_5,947,0.13938753959873285,0.24718409010911654,0.45406546990496305,0.24718409010911654,0.3130939809926082
top5__all__soft__equal,steps_6_to_10,1009,0.14271555996035679,0.2791133764374597,0.4568880079286422,0.13955668821872985,0.2867336825711454
top5__all__soft__equal,steps_11_plus,288,0.1284722222222222,0.2424675108397682,0.5208333333333334,0.07510801732940292,0.23681747117715257
top5__all__pmf__equal,all,2244,0.1394830659536542,0.26093554959027787,0.46390374331550804,0.17670549943712113,0.2914517457278546
top5__all__pmf__equal,steps_2_to_5,947,0.13938753959873285,0.24718409010911654,0.45406546990496305,0.24718409010911654,0.3130939809926082
top5__all__pmf__equal,steps_6_to_10,1009,0.14271555996035679,0.2791133764374597,0.4568880079286422,0.13955668821872985,0.2867336825711454
top5__all__pmf__equal,steps_11_plus,288,0.1284722222222222,0.2424675108397682,0.5208333333333334,0.07510801732940292,0.23681747117715257
q15_H1__top5,all,2244,0.13413547237076648,0.26093554959027787,0.3413547237076649,0.17670549943712113,0.32004397553660197
q15_H1__top5,steps_2_to_5,947,0.12565997888067582,0.24718409010911654,0.3928194297782471,0.24718409010911654,0.32136571629707855
q15_H1__top5,steps_6_to_10,1009,0.1337958374628345,0.2791133764374597,0.3151635282457879,0.13955668821872985,0.31212696839555115
q15_H1__top5,steps_11_plus,288,0.16319444444444445,0.2424675108397682,0.2638888888888889,0.07510801732940292,0.34343484951281383
q15_H1__top10,all,2244,0.11363636363636363,0.26093554959027787,0.3787878787878788,0.17670549943712113,0.2968547860755379
