series,population,step_index,mean,n
ct7,gate_closed,0,0.6682257729849962,2244
ct7,gate_closed,1,0.4283404058093875,2244
ct7,gate_closed,2,0.015077613330297057,2216
ct7,gate_closed,3,-0.19242208608551084,2092
ct7,gate_closed,4,-0.27383379741835334,1697
ct7,gate_closed,5,-0.3541540038078182,1297
ct7,gate_closed,6,-0.3911129817901734,943
ct7,gate_closed,7,-0.39782737373977733,713
ct7,gate_closed,8,-0.3885952019333393,517
ct7,gate_closed,9,-0.2826557534615976,377
ct7,gate_closed,10,-0.25692640818746465,288
ct7,gate_closed,11,-0.2087882610231721,220
ct7,gate_closed,12,-0.053343965442104575,146
ct7,gate_closed,13,-0.13877278632705012,116
ct7,gate_closed,14,-0.12151573797457504,91
ct7,gate_closed,15,-0.6878293120340239,77
ct7,gate_closed,16,-0.09576193467571381,53
ct7,gate_closed,17,0.10280585282059042,41
ct7,gate_closed,18,0.0317527655663755,27
ct7,gate_closed,19,0.1356887104263696,19
ct7,gate_closed,20+,-0.04481905017605184,52
ct7,label_clean,0,0.670918764409589,2358
ct7,label_clean,1,0.39977796555445727,2358
ct7,label_clean,2,0.044914898570199695,2328
ct7,label_clean,3,-0.18009890660833353,2202
ct7,label_clean,4,-0.2308636457468734,1814
ct7,label_clean,5,-0.3638735846281753,1408
ct7,label_clean,6,-0.40578287331113494,970
ct7,label_clean,7,-0.41558490505891876,732
ct7,label_clean,8,-0.3574790759033778,508
ct7,label_clean,9,-0.2889117965201646,366
ct7,label_clean,10,-0.35363027189240637,284
ct7,label_clean,11,-0.3041250458434365,216
ct7,label_clean,12,-0.09043712066957033,160
ct7,label_clean,13,-0.2318448552570163,122
ct7,label_clean,14,-0.3868723359720838,96
ct7,label_clean,15,-0.5088333284922117,76
ct7,label_clean,16,-0.23484578625087948,54
ct7,label_clean,17,-0.19765383136214468,48
ct7,label_clean,18,-0.2190142782175695,36
ct7,label_clean,19,-0.32104119875858833,28
ct7,label_clean,20+,0.06908608865352539,106
ct7,pre_error,0,0.10375796110822869,3898
ct7,pre_error,1,0.19407790460507848,2844
ct7,pre_error,2,-0.02528495452629296,1860
ct7,pre_error,3,-0.037765284013789084,1214
ct7,pre_error,4,-0.120187389518517,818
ct7,pre_error,5,-0.0733518124037185,520
ct7,pre_error,6,-0.11545913541965369,356
ct7,pre_error,7,-0.11853500034146638,238
ct7,pre_error,8,-0.28988927893815614,174
ct7,pre_error,9,-0.3680830052833101,128
ct7,pre_error,10,-0.22134706690676834,84
ct7,pre_error,11,-0.1004158318582963,60
ct7,pre_error,12,-0.47103279082701294,52
