locator,channel,readout,reference,stratum,miss_type,n_reference_misses,hit_given_miss,hit_given_miss_tolerance_one,shuffled_hit_given_miss,real_minus_shuffled,degenerate,real_minus_shuffled_ci95
q15_H1__top5,q15_H1,top5,same_channel_top5,all,any,3119,0.0,0.3555626803462648,0.20070535428021802,-0.20070535428021802,False,"[-0.21620028395924165, -0.18639698587149445]"
q15_H1__top5,q15_H1,top5,same_channel_top5,all,late,1959,0.0,0.34047983665135273,0.20520673813169985,-0.20520673813169985,False,"[-0.22469249512670567, -0.18681085514585266]"
q15_H1__top5,q15_H1,top5,same_channel_top5,all,early,1160,0.0,0.3810344827586207,0.19310344827586207,-0.19310344827586207,False,
q15_H1__top5,q15_H1,top5,same_channel_top5,steps_2_to_5,any,759,0.0,0.5981554677206851,0.31620553359683795,-0.31620553359683795,False,
q15_H1__top5,q15_H1,top5,same_channel_top5,steps_2_to_5,late,488,0.0,0.6188524590163934,0.319672131147541,-0.319672131147541,False,
q15_H1__top5,q15_H1,top5,same_channel_top5,steps_2_to_5,early,271,0.0,0.5608856088560885,0.30996309963099633,-0.30996309963099633,False,
q15_H1__top5,q15_H1,top5,same_channel_top5,steps_6_to_10,any,1678,0.0,0.32479141835518477,0.19189511323003575,-0.19189511323003575,False,
q15_H1__top5,q15_H1,top5,same_channel_top5,steps_6_to_10,late,1033,0.0,0.2942884801548887,0.20135527589545016,-0.20135527589545016,False,
q15_H1__top5,q15_H1,top5,same_channel_top5,steps_6_to_10,early,645,0.0,0.3736434108527132,0.17674418604651163,-0.17674418604651163,False,
q15_H1__top5,q15_H1,top5,same_channel_top5,steps_11_plus,any,682,0.0,0.16129032258064516,0.093841642228739,-0.093841642228739,False,"[-0.11912804407477276, -0.07081750455825209]"
q15_H1__top5,q15_H1,top5,same_channel_top5,steps_11_plus,late,438,0.0,0.13926940639269406,0.0867579908675799,-0.0867579908675799,False,"[-0.11658082287165414, -0.06018055555555558]"
q15_H1__top5,q15_H1,top5,same_channel_top5,steps_11_plus,early,244,0.0,0.20081967213114754,0.10655737704918032,-0.10655737704918032,False,
q15_H1__top5,q15_H1,top5,fused_top5_soft_equal,all,any,3105,0.12367149758454106,0.42318840579710143,0.18389694041867954,-0.060225442834138485,False,"[-0.07964178216933313, -0.04091554589876878]"
q15_H1__top5,q15_H1,top5,fused_top5_soft_equal,all,late,1663,0.08899579073962718,0.3890559230306675,0.20144317498496692,-0.11244738424533973,False,"[-0.13660638117582452, -0.085970073777761]"
q15_H1__top5,q15_H1,top5,fused_top5_soft_equal,all,early,1442,0.1636615811373093,0.46255201109570043,0.1636615811373093,0.0,False,
q15_H1__top5,q15_H1,top5,fused_top5_soft_equal,steps_2_to_5,any,760,0.15657894736842104,0.6552631578947369,0.2868421052631579,-0.13026315789473686,False,
q15_H1__top5,q15_H1,top5,fused_top5_soft_equal,steps_2_to_5,late,421,0.0855106888361045,0.6365795724465558,0.29691211401425177,-0.21140142517814725,False,
q15_H1__top5,q15_H1,top5,fused_top5_soft_equal,steps_2_to_5,early,339,0.2448377581120944,0.6784660766961652,0.2743362831858407,-0.029498525073746285,False,
q15_H1__top5,q15_H1,top5,fused_top5_soft_equal,steps_6_to_10,any,1642,0.12545676004872108,0.40012180267965897,0.1784409257003654,-0.05298416565164432,False,
q15_H1__top5,q15_H1,top5,fused_top5_soft_equal,steps_6_to_10,late,895,0.09832402234636871,0.34413407821229053,0.20446927374301677,-0.10614525139664806,False,
q15_H1__top5,q15_H1,top5,fused_top5_soft_equal,steps_6_to_10,early,747,0.15796519410977242,0.46720214190093706,0.14725568942436412,0.010709504685408294,False,
q15_H1__top5,q15_H1,top5,fused_top5_soft_equal,steps_11_plus,any,703,0.08392603129445235,0.22617354196301565,0.08534850640113797,-0.001422475106685625,False,"[-0.03286437609212826, 0.03030603655603654]"
q15_H1__top5,q15_H1,top5,fused_top5_soft_equal,steps_11_plus,late,347,0.069164265129683,0.20461095100864554,0.07780979827089338,-0.008645533141210374,False,"[-0.051638375211744775, 0.03488372093023256]"
q15_H1__top5,q15_H1,top5,fused_top5_soft_equal,steps_11_plus,early,356,0.09831460674157304,0.24719101123595505,0.09269662921348315,0.0056179775280898875,False,
q15_H1__top5,q15_H1,top5,ct7,all,any,2743,0.13014947138169888,0.41779074006562156,0.17681370761939483,-0.046664236237695944,False,"[-0.06751010419306887, -0.0258558289000832]"
q15_H1__top5,q15_H1,top5,ct7,all,late,1526,0.08650065530799476,0.3597640891218873,0.16972477064220184,-0.08322411533420708,False,"[-0.10831237584323583, -0.05985444560366315]"
q15_H1__top5,q15_H1,top5,ct7,all,early,1217,0.1848808545603944,0.4905505341002465,0.18570254724732949,-0.0008216926869350771,False,
q15_H1__top5,q15_H1,top5,ct7,steps_2_to_5,any,687,0.1819505094614265,0.6302765647743813,0.2838427947598253,-0.10189228529839883,False,
q15_H1__top5,q15_H1,top5,ct7,steps_2_to_5,late,366,0.10655737704918032,0.6065573770491803,0.2923497267759563,-0.18579234972677594,False,
q15_H1__top5,q15_H1,top5,ct7,steps_2_to_5,early,321,0.26791277258566976,0.6573208722741433,0.27414330218068533,-0.006230529595015577,False,
q15_H1__top5,q15_H1,top5,ct7,steps_6_to_10,any,1480,0.12837837837837837,0.4,0.16689189189189188,-0.03851351351351351,False,
q15_H1__top5,q15_H1,top5,ct7,steps_6_to_10,late,815,0.08711656441717791,0.32515337423312884,0.15828220858895706,-0.07116564417177915,False,
q15_H1__top5,q15_H1,top5,ct7,steps_6_to_10,early,665,0.17894736842105263,0.4917293233082707,0.1774436090225564,0.0015037593984962294,False,
q15_H1__top5,q15_H1,top5,ct7,steps_11_plus,any,576,0.07291666666666667,0.21006944444444445,0.07465277777777778,-0.001736111111111105,False,"[-0.033870286808966525, 0.0313104441335362]"
q15_H1__top5,q15_H1,top5,ct7,steps_11_plus,late,345,0.06376811594202898,0.17971014492753623,0.06666666666666667,-0.002898550724637683,False,"[-0.03725195962190825, 0.03460007402051904]"
q15_H1__top5,q15_H1,top5,ct7,steps_11_plus,early,231,0.08658008658008658,0.2554112554112554,0.08658008658008658,0.0,False,
q15_H1__top10,q15_H1,top10,same_channel_top5,all,any,3119,0.06797050336646361,0.38794485411991025,0.2042321256813081,-0.1362616223148445,False,"[-0.15424524637577233, -0.11875104493636755]"
q15_H1__top10,q15_H1,top10,same_channel_top5,all,late,1959,0.0515569167942828,0.3660030627871363,0.21235324144971923,-0.16079632465543642,False,"[-0.1822020254071015, -0.13798282552339278]"
q15_H1__top10,q15_H1,top10,same_channel_top5,all,early,1160,0.09568965517241379,0.425,0.19051724137931034,-0.09482758620689655,False,
q15_H1__top10,q15_H1,top10,same_channel_top5,steps_2_to_5,any,759,0.07509881422924901,0.621870882740448,0.30566534914361,-0.23056653491436097,False,
q15_H1__top10,q15_H1,top10,same_channel_top5,steps_2_to_5,late,488,0.06557377049180328,0.6352459016393442,0.319672131147541,-0.2540983606557377,False,
q15_H1__top10,q15_H1,top10,same_channel_top5,steps_2_to_5,early,271,0.09225092250922509,0.5977859778597786,0.28044280442804426,-0.18819188191881916,False,
q15_H1__top10,q15_H1,top10,same_channel_top5,steps_6_to_10,any,1678,0.06793802145411204,0.36471990464839094,0.20560190703218117,-0.13766388557806913,False,
