cell,group,weak,feature,auc_raw,auc_oriented,oracle_sign,nonmono_gain_cv,auc_dev_from_own_median,nonmono_dev_from_own_median,n_cells_for_feature
epr_triviaqa_mistral24b,QA,False,epr,0.7375,0.7375,1,-0.0182,-0.0056,0.0041,25
epr_triviaqa_mistral24b,QA,False,trace_length,0.3973,0.6027,-1,-0.0068,-0.0892,0.0108,20
epr_triviaqa_mistral24b,QA,False,spectral_entropy,0.5761,0.5761,1,-0.066,-0.0647,-0.0497,25
epr_triviaqa_mistral24b,QA,False,low_band_power,0.5442,0.5442,1,-0.0164,-0.0826,0.0,25
epr_triviaqa_mistral24b,QA,False,high_band_power,0.4344,0.5656,-1,0.0016,-0.0262,0.0145,25
epr_triviaqa_mistral24b,QA,False,hl_ratio,0.4373,0.5627,-1,-0.0363,-0.063,-0.0194,25
epr_triviaqa_mistral24b,QA,False,dominant_freq,0.428,0.572,-1,-0.0591,-0.0341,-0.0545,23
epr_triviaqa_mistral24b,QA,False,spectral_centroid,0.411,0.589,-1,-0.0467,-0.0502,-0.0285,25
epr_triviaqa_mistral24b,QA,False,rpdi,0.5072,0.5072,1,0.0049,-0.0855,0.0,25
epr_triviaqa_mistral24b,QA,False,sw_var_peak,0.7159,0.7159,1,-0.0324,-0.0151,-0.0152,25
epr_triviaqa_mistral24b,QA,False,pe_mean,0.4889,0.5111,-1,0.0171,-0.0105,0.0136,25
epr_triviaqa_mistral24b,QA,False,hurst_exponent,0.4469,0.5531,-1,-0.0522,-0.0382,-0.0417,25
epr_triviaqa_mistral24b,QA,False,cusum_max,0.6746,0.6746,1,-0.0365,-0.0449,-0.0111,25
epr_triviaqa_mistral24b,QA,False,cusum_shift_idx,0.4238,0.5762,-1,-0.0169,0.0127,-0.0115,25
epr_triviaqa_mistral24b,QA,False,epr_spilled,0.2798,0.7202,-1,-0.0374,0.0,-0.0163,25
epr_triviaqa_mistral24b,QA,False,sw_var_peak_spilled,0.309,0.691,-1,-0.0469,0.0344,-0.0275,25
epr_triviaqa_mistral24b,QA,False,cusum_max_spilled,0.3245,0.6755,-1,-0.0239,-0.0341,-0.0056,25
