cell,group,weak,n,pos_rate,p_pool,anchor_auc,best_single,best_single_name,median_single,r1_best_single_in_subset,r2_avg_oracle_signs,r3_avg_no_signs,r4_lsml_oracle_global,r5_lsml_anchor_DEPLOYED,r6_oracle5_ceiling,d_fuse_vs_best,d_signs,d_lsml_vs_avg,d_global_sign,d_headroom,dufs_auroc,dufs_size,upcr_auroc,upcr_size,good6_auroc,upcr_minus_best,dufs_minus_best,good6_minus_best,K,residual,residual_gap_rel,degenerate,K_eigengap,auc_eigengap,d_eigengap,upcr_abstained,upcr_simple_avg,upcr_ncomp,upcr_lambda2_frac,upcr_g2_at_ceiling,jac_dufs_oracle,jac_upcr_oracle,jac_dufs_good6,n_strong_excluded_upcr,n_strong_dropped_dufs,strong_excluded_upcr,strong_dropped_dufs,nonmono_mean,nonmono_p90,dufs_chosen,upcr_kept
ars_gsm8k_r1distill8b,math,True,500,0.728,30,0.6906,0.7198,topk_tail_mass,0.65,0.7198,0.7353,0.7104,0.7142,0.7142,0.7979,1.55,-2.5,0.39,0.0,8.37,0.7142,12,0.7385,17,0.7623,1.86,-0.56,4.25,3,45.408,0.00148,False,2,0.7452,3.1,False,False,2,0.2148,False,0.214,0.158,0.2,0,0,,,-0.0266,-0.0015,epr|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|trace_length|low_band_power|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
internalstates_gsm8k_qwen25_7b,math,True,500,0.294,29,0.6311,0.7461,epr_energy,0.6311,0.698,0.6876,0.6412,0.6911,0.6911,0.7725,-1.04,-4.64,4.98,0.0,8.14,0.6911,15,0.7082,21,0.7036,-3.8,-5.51,-4.26,3,63.494,0.00275,False,2,0.6815,-0.96,False,False,2,0.1462,True,0.111,0.182,0.312,1,3,spectral_entropy,epr_energy|spectral_entropy|trace_length,-0.0337,0.0073,epr|low_band_power|hl_ratio|dominant_freq|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|trace_length|low_band_power|high_band_power|hl_ratio|spectral_centroid|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
lapeigvals_gsm8k_llama3b,math,True,1319,0.445,30,0.7077,0.7107,varentropy,0.6277,0.7107,0.7057,0.6881,0.7087,0.7087,0.7251,-0.5,-1.76,2.06,0.0,1.64,0.7087,17,0.6992,22,0.7025,-1.15,-0.19,-0.82,4,103.148,0.00667,False,2,0.6956,-1.31,False,False,2,0.1187,True,0.222,0.174,0.278,0,0,,,-0.0162,-0.0009,epr|low_band_power|hl_ratio|dominant_freq|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|trace_length|low_band_power|high_band_power|hl_ratio|spectral_centroid|rpdi|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
lapeigvals_gsm8k_llama8b,math,False,500,0.724,29,0.7844,0.8043,epr_energy,0.7606,0.8043,0.8155,0.6961,0.8149,0.8149,0.8378,1.12,-11.94,11.87,0.0,2.29,0.8149,19,0.8108,22,0.8186,0.66,1.06,1.44,5,135.128,0.00554,False,2,0.8131,-0.18,False,False,2,0.1085,True,0.143,0.174,0.25,0,0,,,-0.032,-0.0149,epr|trace_length|low_band_power|high_band_power|hl_ratio|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|trace_length|low_band_power|high_band_power|hl_ratio|spectral_centroid|rpdi|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
lapeigvals_gsm8k_mistral24b,math,False,1319,0.9174,30,0.8473,0.8548,varentropy,0.7889,0.8548,0.8399,0.6752,0.8413,0.8413,0.8717,-1.49,-16.47,16.61,0.0,3.04,0.8413,19,0.8486,21,0.8087,-0.62,-1.35,-4.61,4,123.145,0.00407,False,2,0.8294,-1.19,False,False,2,0.1021,True,0.2,0.182,0.25,0,0,,,-0.0234,-0.0008,epr|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|low_band_power|high_band_power|hl_ratio|spectral_centroid|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|min_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
lapeigvals_gsm8k_nemo,math,False,1319,0.8294,29,0.7656,0.7889,topk_tail_mass,0.682,0.7889,0.7885,0.737,0.79,0.79,0.8239,-0.04,-5.15,5.31,0.0,3.39,0.79,14,0.7973,20,0.8013,0.83,0.11,1.24,4,54.617,0.01919,False,2,0.7798,-1.02,False,False,2,0.1584,True,0.188,0.19,0.25,0,0,,,-0.0233,-0.0153,epr|hl_ratio|dominant_freq|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|epr_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|trace_length|low_band_power|high_band_power|hl_ratio|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
lapeigvals_gsm8k_phi35,math,False,1319,0.8476,29,0.7702,0.7904,topk_tail_mass,0.6713,0.7904,0.8047,0.7512,0.8064,0.8064,0.8284,1.42,-5.35,5.52,0.0,2.2,0.8064,15,0.8088,18,0.8125,1.84,1.6,2.2,3,62.346,0.00149,False,2,0.7981,-0.83,False,False,2,0.1586,True,0.176,0.211,0.312,0,0,,,-0.0106,0.0332,epr|low_band_power|hl_ratio|dominant_freq|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|trace_length|low_band_power|high_band_power|hl_ratio|spectral_centroid|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
noise_gsm8k_mistral7b,math,False,1319,0.4989,29,0.7431,0.7684,trace_length,0.7094,0.7656,0.7726,0.737,0.7732,0.7732,0.8216,0.7,-3.56,3.63,0.0,4.84,0.7732,17,0.7831,23,0.7902,1.47,0.48,2.18,5,74.903,0.00662,False,2,0.7622,-1.11,False,False,2,0.1764,True,0.1,0.217,0.278,0,2,,spectral_entropy|trace_length,-0.0153,-0.0036,epr|low_band_power|hl_ratio|dominant_freq|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|spectral_centroid|rpdi|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
noise_gsm8k_phi3mini,math,True,1319,0.7096,29,0.6683,0.6765,topk_tail_mass,0.5882,0.6765,0.6803,0.6644,0.6764,0.6764,0.6976,0.38,-1.59,1.21,0.0,2.12,0.6764,10,0.6831,20,0.6801,0.66,-0.01,0.36,3,37.931,0.00235,False,2,0.6791,0.27,False,False,2,0.198,False,0.25,0.25,0.231,0,0,,,-0.0115,0.0088,epr|spectral_centroid|sw_var_peak|epr_spilled|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|spectral_centroid|sw_var_peak|cusum_max|cusum_shift_idx|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
math500_dsmath7b,math,False,300,0.19,30,0.7706,0.7803,topk_tail_mass,0.6635,0.7803,0.7906,0.7293,0.7924,0.7924,0.8244,1.03,-6.14,6.31,0.0,3.2,0.7924,16,0.7865,24,0.7868,0.62,1.21,0.65,5,59.104,0.00635,False,2,0.7726,-1.98,False,False,2,0.1889,True,0.235,0.16,0.222,0,0,,,-0.0496,-0.0224,epr|trace_length|low_band_power|hl_ratio|spectral_centroid|stft_spectral_entropy|cusum_max|epr_spilled|cusum_max_spilled|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|trace_length|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_spectral_entropy|rpdi|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
math500_qwenmath7b,math,False,300,0.2267,28,0.9306,0.936,logprob_margin,0.9037,0.936,0.9094,0.6608,0.9178,0.9178,0.9575,-2.66,-24.86,25.71,0.0,3.97,0.9178,23,0.9155,8,0.8901,-2.05,-1.81,-4.59,5,219.484,0.00159,False,2,0.9247,0.68,False,False,1,0.0942,False,0.167,0.083,0.208,5,0,epr|epr_spilled|logprob_margin|mean_logprob_entropy|topk_tail_mass,,0.0024,0.035,epr|spectral_entropy|low_band_power|high_band_power|hl_ratio|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|hurst_exponent|cusum_max|cusum_shift_idx|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,spectral_entropy|rpdi|cusum_max|cusum_shift_idx|sw_var_peak_spilled|cusum_max_spilled|cusum_max_energy|varentropy
math500_r1distill8b,math,False,300,0.2867,28,0.8218,0.8543,cusum_max_energy,0.7903,0.8543,0.8287,0.8114,0.8323,0.8323,0.8806,-2.56,-1.73,2.09,0.0,4.83,0.8323,20,0.8386,22,0.8357,-1.58,-2.21,-1.86,5,139.149,0.00258,False,2,0.8226,-0.96,False,False,2,0.1589,True,0.136,0.174,0.3,0,0,,,-0.0301,0.0033,epr|spectral_entropy|low_band_power|high_band_power|hl_ratio|spectral_centroid|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|spectral_entropy|low_band_power|high_band_power|hl_ratio|spectral_centroid|stft_max_high_power|rpdi|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
math500_r1distill8b_mn4096,math,False,300,0.39,29,0.819,0.8272,cusum_max_energy,0.7995,0.8272,0.8175,0.8098,0.8194,0.8194,0.8759,-0.97,-0.77,0.96,0.0,5.65,0.8194,20,0.8358,26,0.8329,0.86,-0.78,0.57,4,173.871,7e-05,False,2,0.794,-2.54,False,False,2,0.1139,True,0.136,0.192,0.3,0,0,,,-0.0182,0.022,epr|spectral_entropy|low_band_power|high_band_power|hl_ratio|spectral_centroid|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
trace_gsm8k_llama8b_k10,math,False,5000,0.736,29,0.7865,0.8044,epr_energy,0.7343,0.8044,0.8084,0.6729,0.8115,0.8115,0.8261,0.4,-13.55,13.86,0.0,1.46,0.8115,21,0.8113,22,0.8093,0.69,0.71,0.49,6,140.807,0.00411,False,2,0.8012,-1.03,False,False,2,0.1146,True,0.182,0.227,0.227,0,0,,,-0.008,-0.0047,epr|trace_length|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|trace_length|low_band_power|high_band_power|hl_ratio|spectral_centroid|rpdi|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
trace_math500_qwenmath15b_k10,math,True,3000,0.1763,30,0.6724,0.7102,epr_energy,0.6594,0.7102,0.6896,0.5147,0.6901,0.6901,0.7292,-2.06,-17.49,17.53,0.0,3.91,0.6901,20,0.6861,23,0.676,-2.41,-2.02,-3.42,4,143.758,0.00467,False,2,0.6913,0.12,False,False,2,0.1029,True,0.087,0.077,0.238,0,0,,,-0.0131,-0.0074,epr|trace_length|low_band_power|high_band_power|hl_ratio|spectral_centroid|stft_spectral_entropy|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|spectral_centroid|stft_spectral_entropy|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
