contrast_id,left_variant_id,right_variant_id,metric_id,delta,ci_low,ci_high,statistical_status,wins,ties,losses,worst_unit_delta,worst_unit_id,multiplicity_family_size
pb::P3S2_DYNAMICS_STG_SU::P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL::first_error_exact,P3S2_DYNAMICS_STG_SU,P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL,first_error_exact,-0.0005519993063570205,-0.0027655385706451137,0.001520841253115675,INCONCLUSIVE,2,3,3,-0.005050505050505083,processbench_math_qwen3_8b,1
pb::P3S2_DYNAMICS_STG_SU::P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL::first_error_within_one,P3S2_DYNAMICS_STG_SU,P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL,first_error_within_one,0.00019522551259704146,-0.002271442246952131,0.0025723459997916533,PROMISING_UNCONFIRMED,3,4,1,-0.004830917874396157,processbench_gsm8k_qwen3_4b,1
pb::P3S2_DYNAMICS_STG_SU::P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL::clean_abstention_accuracy,P3S2_DYNAMICS_STG_SU,P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL,clean_abstention_accuracy,0.0,0.0,0.0,INCONCLUSIVE,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3S2_DYNAMICS_STG_SU::P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL::overall_decision_accuracy,P3S2_DYNAMICS_STG_SU,P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL,overall_decision_accuracy,-0.0001875000000000071,-0.0015624999999999667,0.0011249999999999871,INCONCLUSIVE,2,3,3,-0.0030000000000000027,processbench_math_qwen3_8b,1
pb::P3S3_DYNAMICS_STG_PERMUTED_SUPPORT::P3S0_DYNAMICS_IU_PARENT::official_macro_f1,P3S3_DYNAMICS_STG_PERMUTED_SUPPORT,P3S0_DYNAMICS_IU_PARENT,macro_f1,-0.0009986877652703452,-0.0023888998948348324,0.00011097419587427765,INCONCLUSIVE,1,4,3,-0.006142700918762289,processbench_gsm8k_qwen3_8b,1
pb::P3S3_DYNAMICS_STG_PERMUTED_SUPPORT::P3S0_DYNAMICS_IU_PARENT::first_error_exact,P3S3_DYNAMICS_STG_PERMUTED_SUPPORT,P3S0_DYNAMICS_IU_PARENT,first_error_exact,-0.0013724198506807062,-0.0033888616711474583,0.0001103771729490263,INCONCLUSIVE,1,4,3,-0.009661835748792258,processbench_gsm8k_qwen3_8b,1
pb::P3S3_DYNAMICS_STG_PERMUTED_SUPPORT::P3S0_DYNAMICS_IU_PARENT::first_error_within_one,P3S3_DYNAMICS_STG_PERMUTED_SUPPORT,P3S0_DYNAMICS_IU_PARENT,first_error_within_one,-0.0009150019345375848,-0.002676342621970229,0.0005377671980248349,INCONCLUSIVE,1,2,5,-0.004830917874396046,processbench_gsm8k_qwen3_8b,1
pb::P3S3_DYNAMICS_STG_PERMUTED_SUPPORT::P3S0_DYNAMICS_IU_PARENT::clean_abstention_accuracy,P3S3_DYNAMICS_STG_PERMUTED_SUPPORT,P3S0_DYNAMICS_IU_PARENT,clean_abstention_accuracy,0.0,0.0,0.0,INCONCLUSIVE,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3S3_DYNAMICS_STG_PERMUTED_SUPPORT::P3S0_DYNAMICS_IU_PARENT::overall_decision_accuracy,P3S3_DYNAMICS_STG_PERMUTED_SUPPORT,P3S0_DYNAMICS_IU_PARENT,overall_decision_accuracy,-0.0007500000000000284,-0.0018124999999999947,6.250000000002087e-05,INCONCLUSIVE,1,4,3,-0.0050000000000000044,processbench_gsm8k_qwen3_8b,1
pb::P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL::P3S0_DYNAMICS_IU_PARENT::official_macro_f1,P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL,P3S0_DYNAMICS_IU_PARENT,macro_f1,0.00017388772719950651,-0.0009609717692102574,0.001320038499516605,PROMISING_UNCONFIRMED,1,7,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL::P3S0_DYNAMICS_IU_PARENT::first_error_exact,P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL,P3S0_DYNAMICS_IU_PARENT,first_error_exact,0.00021043771043771642,-0.0016019448122224125,0.0019866488135800234,PROMISING_UNCONFIRMED,1,7,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL::P3S0_DYNAMICS_IU_PARENT::first_error_within_one,P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL,P3S0_DYNAMICS_IU_PARENT,first_error_within_one,0.00042087542087543284,-0.0013227513227513366,0.002277962033252066,PROMISING_UNCONFIRMED,2,5,1,-0.004830917874396157,processbench_gsm8k_qwen3_4b,1
pb::P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL::P3S0_DYNAMICS_IU_PARENT::clean_abstention_accuracy,P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL,P3S0_DYNAMICS_IU_PARENT,clean_abstention_accuracy,0.0,0.0,0.0,INCONCLUSIVE,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL::P3S0_DYNAMICS_IU_PARENT::overall_decision_accuracy,P3S4_DYNAMICS_RANDOM_SUPPORT_CONTROL,P3S0_DYNAMICS_IU_PARENT,overall_decision_accuracy,0.00012499999999998623,-0.0008124999999999938,0.0010624999999999662,PROMISING_UNCONFIRMED,1,7,0,0.0,processbench_gsm8k_qwen3_4b,1
