contrast_id,primary,endpoint,paired_N,delta,ci95_lo,ci95_hi,ci_adj_lo,ci_adj_hi,family_K,B,invalid_draw_rate,units
R_TEMP - BASE,True,pb_sla_macro8,100000,-0.015392986299221922,-0.02332940349189359,-0.007559513860152746,-0.02556316833651703,-0.005438746272504987,4.0,100000,0.0,fraction (x100 = pp)
R_TEMP - BASE,True,prm_within_auc,100000,-0.009241510666295416,-0.010908160389179158,-0.007599526461270713,-0.011363623164737746,-0.007123913731059552,4.0,100000,0.0,AUC
R_TEMP - R_ZERO,True,pb_sla_macro8,100000,-0.012990040398282221,-0.021847918062224598,-0.004115650788157979,-0.024291491155974624,-0.0016541221045986688,4.0,100000,0.0,fraction (x100 = pp)
R_TEMP - R_ZERO,True,prm_within_auc,100000,-0.00954935368206511,-0.011398289073170245,-0.007705480785843738,-0.011916774939469927,-0.007196503257652162,4.0,100000,0.0,AUC
R_ZERO - BASE,False,pb_sla_macro8,100000,-0.0024029459009397014,-0.008582010269142354,0.0036684621152655097,,,,100000,0.0,fraction (x100 = pp)
R_ZERO - BASE,False,prm_within_auc,100000,0.0003078430157696932,-0.0011911541242929423,0.0018011739934502221,,,,100000,0.0,AUC
R_NORESET - BASE,False,pb_sla_macro8,100000,-0.02367044283524583,-0.032256113975348666,-0.015205402097800153,,,,100000,0.0,fraction (x100 = pp)
R_NORESET - BASE,False,prm_within_auc,100000,-0.012343153923184635,-0.013871437657037753,-0.010823040800788254,,,,100000,0.0,AUC
R_TEMP - R_NORESET,False,pb_sla_macro8,100000,0.008277456536023908,0.0016235762933372601,0.014853183677613858,,,,100000,0.0,fraction (x100 = pp)
R_TEMP - R_NORESET,False,prm_within_auc,100000,0.0031016432568892194,0.0014083795120329895,0.004800193954954134,,,,100000,0.0,AUC
R_ABS - BASE,False,pb_sla_macro8,100000,-0.01664034499659045,-0.025014329246994014,-0.008418418921070423,,,,100000,0.0,fraction (x100 = pp)
R_ABS - BASE,False,prm_within_auc,100000,-0.009273747504298102,-0.01092817405481282,-0.0076389739972935215,,,,100000,0.0,AUC
R_ONLY - BASE,False,pb_sla_macro8,100000,-0.13257841521177705,-0.1551876437790895,-0.11019095941991926,,,,100000,0.0,fraction (x100 = pp)
R_ONLY - BASE,False,prm_within_auc,100000,-0.11331799479552906,-0.12088880838447347,-0.10576070481377732,,,,100000,0.0,AUC
R_ABS - R_TEMP,False,pb_sla_macro8,100000,-0.001247358697368528,-0.005210472208905889,0.0025972786808467034,,,,100000,0.0,fraction (x100 = pp)
R_ABS - R_TEMP,False,prm_within_auc,100000,-3.2236838002686063e-05,-0.0011242759073289727,0.0010588587148268643,,,,100000,0.0,AUC
BASE - ct7,False,pb_sla_macro8,100000,-0.07396715959170735,-0.0908188455434515,-0.05718715551317212,,,,100000,0.0,fraction (x100 = pp)
BASE - ct7,False,prm_within_auc,100000,-0.016083682089297446,-0.02015324413907055,-0.011993961184243403,,,,100000,0.0,AUC
BASE - token_lsml,False,pb_sla_macro8,100000,-0.03434202801104075,-0.04937707921202963,-0.01950411288081577,,,,100000,0.0,fraction (x100 = pp)
BASE - token_lsml,False,prm_within_auc,100000,0.003149117102667409,-0.0010294411489346622,0.007309523127491757,,,,100000,0.0,AUC
BASE - token_equal,False,pb_sla_macro8,100000,-0.0010313565615150955,-0.017823884138088022,0.01571593030436732,,,,100000,0.0,fraction (x100 = pp)
BASE - token_equal,False,prm_within_auc,100000,0.025208407701973967,0.02093323085501352,0.029498925923241787,,,,100000,0.0,AUC
