task,tokens,channel,n_tokens,mse_ridge,mse_zero,mse_noreset,corr_pred_z,corr_resid_z,var_resid,var_z,resid_var_after_regressing_on_z_posthoc
pb_q4,t<16,q15_H1,54400,44885456.941773646,1138015.9521037133,1010009.8877579147,0.12101922240838613,0.03736330554940884,44885425.107093655,1137511.4429508622,44822764.30847524
pb_q4,t<16,q15_VE1,54400,454599.45804300095,6038.705406697007,4436.18217841122,0.2861193466034062,-0.17861449849277153,454598.5927727809,6031.576631963101,440095.4706456953
pb_q4,t<16,chosen_surprisal,54400,479252773799.0732,223349578672.20026,281188176771.90765,-0.10191370038070571,0.7503541555467228,479224702723.35596,223312818031.6693,209406167204.26407
pb_q4,t<16,logprob_margin,54400,73.4682346780171,0.7416072243496682,0.5962870482326018,0.01644497264810815,0.0840298400720452,73.4674843618323,0.7408423548089292,72.94872942455315
pb_q4,t<16,true_tail50,54400,4642180213.920719,107260818.73103298,126303139.9951968,0.004357518651781227,0.14768756752397874,4642092093.810656,107247145.9777858,4540840556.191137
pb_q4,t<16,energy_level,54400,83.6154195268433,1.3268680281398066,0.9048096817611215,0.02140293700825828,0.09383111971745467,83.61502333752145,1.1085896049557773,82.87885334117273
pb_q4,t<16,energy_innovation,54400,89.03725549048474,1.0400507505573244,0.9013750630093729,0.01788122119946279,0.08578434060570998,89.03673248846115,0.9556737283660028,88.38151535051065
pb_q4,t<16,top15_turnover,54400,121.44380488560614,3.6098535176778896,4.9338989731573255,0.09632270849791359,0.06758716803544056,121.44217007499675,3.271830651601317,120.8874191716656
pb_q4,t<16,top50_js,54400,21266207501047.652,67266853798.48077,98051183478.7868,0.0272224564777018,0.028927280865488483,21266116742578.426,67044550086.92565,21248321520250.18
pb_q4,t<16,dominant_freq16,54400,6.276563771579667,0.9419900852843496,0.0932774203849885,0.28201273399529037,0.054023031076120914,6.275374727029789,0.7579542668076689,6.257060121904753
pb_q4,t<16,bocpd_p0,54400,152007.09491698054,28.003023457209768,26.97194494181107,0.015902115492387355,-0.002833317035780203,151995.90530744646,25.96764797792671,151994.68513213273
pb_q4,t>=16,q15_H1,2138892,1771752.5075150335,350558.17389539344,341690.52963290317,0.08492041274005142,0.36541501339504534,1771752.071615675,350456.0067445441,1535173.3271000113
