test_set_code,size,measurements_code,auroc_unit,misfit_unit,K_unit,auroc_eigen,misfit_eigen,K_eigen,auroc_complete,misfit_complete,K_complete
ars_gsm8k_r1distill8b,3,"cusum_shift_idx,cusum_max_spilled,cusum_max_energy",0.40457336780866193,0.48912519227728934,2,0.6271412411118293,0.23506978187748098,2,0.39673561732385254,8.081719905377504e-25,2
ars_gsm8k_r1distill8b,3,"epr,trace_length,spectral_entropy",0.4671541693600517,0.5510238710718852,2,0.4140877504848093,0.4406163264968792,2,0.41261312217194573,1.5838691631203539e-24,2
ars_gsm8k_r1distill8b,3,"cusum_shift_idx,cusum_max_spilled,mean_logprob_entropy",0.6516645119586296,0.5245479786865258,2,0.6871363930187461,0.032762163424573276,2,0.686732385261797,4.643030479203541e-25,2
ars_gsm8k_r1distill8b,3,"epr_spilled,cusum_max_spilled,epr_energy",0.7558985132514544,0.3233412809765447,2,0.74905058177117,0.39270554713680794,2,0.7447074983839689,4.224265344911207e-25,2
ars_gsm8k_r1distill8b,3,"spectral_centroid,epr_energy,cusum_max_energy",0.5543188429217841,0.04094070580300628,2,0.5137564641241111,0.16082452975036154,2,0.5034744667097608,2.12763409594754e-24,2
ars_gsm8k_r1distill8b,3,"trace_length,epr_spilled,mean_top1_logprob",0.5505211700064641,0.7956842530041552,2,0.6063752424046542,0.5089819098060859,2,0.6063752424046542,1.8554293008428882e-24,2
ars_gsm8k_r1distill8b,3,"spectral_entropy,hl_ratio,cusum_max_energy",0.36855607627666453,0.0547661139402782,2,0.3763534259857789,0.20054741516077174,2,0.3763534259857789,1.102484232308576e-24,2
ars_gsm8k_r1distill8b,3,"spectral_entropy,stft_max_high_power,cusum_shift_idx",0.38154492566257275,0.4606741054440028,2,0.35148674854557205,0.032211201451482596,2,0.6352415966386554,5.198028917710227e-25,2
ars_gsm8k_r1distill8b,3,"epr,sw_var_peak,topk_tail_mass",0.7220224628312865,0.5468974345752095,2,0.7220224628312865,0.7548495864134835,2,0.7218002585649645,9.32256170223271e-25,2
ars_gsm8k_r1distill8b,3,"cusum_shift_idx,cusum_max_spilled,min_spilled",0.5932045895281189,0.5042179553105599,2,0.6004363283775048,0.028721908562558525,2,0.6004363283775048,4.1059670685442953e-25,2
ars_gsm8k_r1distill8b,3,"sw_var_peak,hurst_exponent,min_energy",0.6884494182288301,0.34368212258103353,2,0.6884494182288301,0.05223116156179477,2,0.710023432449903,7.611487047401242e-25,2
ars_gsm8k_r1distill8b,3,"sw_var_peak,epr_energy,varentropy",0.7331932773109244,0.3692039405897506,2,0.729961215255333,0.6285512925325145,2,0.7331932773109244,2.0796105319461622e-24,2
ars_gsm8k_r1distill8b,3,"min_spilled,min_energy,cusum_max_energy",0.37875727213962507,0.3222920218041556,2,0.3982304460245637,0.08810127449671032,2,0.396796218487395,1.25259194982936e-24,2
ars_gsm8k_r1distill8b,3,"low_band_power,epr_spilled,min_energy",0.7021452811893989,0.47131450715540263,2,0.7099426308985132,0.03285089708046413,2,0.7099426308985132,4.384245609334865e-25,2
ars_gsm8k_r1distill8b,3,"stft_max_high_power,rpdi,pe_mean",0.590356334841629,0.6902910524039575,2,0.604557207498384,0.010470218790527579,2,0.6027189722042663,2.375440462533652e-25,2
ars_gsm8k_r1distill8b,3,"spectral_entropy,mean_top1_logprob,renyi_entropy_2",0.5602577569489334,0.6676428277126817,2,0.6133645765998708,0.5210867047560506,2,0.6133645765998708,1.8352922083674968e-24,2
ars_gsm8k_r1distill8b,3,"spectral_centroid,epr_spilled,cusum_max_spilled",0.7320216548157725,0.11387513091458235,2,0.7137403038138332,0.1904232083119836,2,0.7266281512605042,2.587077138688583e-25,2
