version,slice,target,method,n_cells,n_subsets,cell_macro_auroc,cell_macro_iu_auroc,cell_macro_delta_pp,equal_subset_delta_pp,equal_subset_ci_low_pp,equal_subset_ci_high_pp,wins,losses,ties,worst_delta_pp
leverage-balanced-processbench-transfer-v1-2026-08-12,confirmation,reasoning_error_present,leverage_balanced,6,4,0.7988575210797868,0.7954624546150469,0.3395066464739841,0.2666935876868559,0.044985723499399444,0.5818262536506053,5,1,0,-0.017521463793146452
leverage-balanced-processbench-transfer-v1-2026-08-12,confirmation,reasoning_error_present,dufs_liu,6,4,0.7976751661403902,0.7954624546150469,0.2212711525343284,0.22723839060292683,0.16379345913066223,0.29068332207519143,6,0,0,0.09594830394639153
leverage-balanced-processbench-transfer-v1-2026-08-12,confirmation,reasoning_error_present,uniform,6,4,0.7952675711257551,0.7954624546150469,-0.019488348929186383,-0.15632630316883694,-0.5668401658877886,0.25418755955011474,3,3,0,-0.5830057554195411
leverage-balanced-processbench-transfer-v1-2026-08-12,confirmation,reasoning_error_present,cardinality,6,4,0.8044138216808155,0.7954624546150469,0.8951367065768601,0.8640413652172816,0.7208399861275958,1.1005287683857028,6,0,0,0.5703345695045159
leverage-balanced-processbench-transfer-v1-2026-08-12,confirmation,reasoning_error_present,reverse,6,4,0.7826197942509779,0.7954624546150469,-1.2842660364069023,-1.2111014961407207,-1.507418259519397,-0.8720311924031915,0,6,0,-1.7521416583296534
leverage-balanced-processbench-transfer-v1-2026-08-12,confirmation,final_answer_incorrect,leverage_balanced,6,4,0.6830658333333334,0.6809933333333333,0.20724999999999585,0.17542499999999434,0.01372499999998944,0.3280499999999978,4,2,0,-0.05250000000001087
leverage-balanced-processbench-transfer-v1-2026-08-12,confirmation,final_answer_incorrect,dufs_liu,6,4,0.6815548333333333,0.6809933333333333,0.056149999999993705,0.08907499999999263,-0.04610000000000586,0.21682499999998994,4,2,0,-0.11919999999999709
leverage-balanced-processbench-transfer-v1-2026-08-12,confirmation,final_answer_incorrect,uniform,6,4,0.6811066666666666,0.6809933333333333,0.011333333333331714,-0.09330000000000033,-0.40719999999999645,0.2205999999999958,4,2,0,-0.5800000000000027
leverage-balanced-processbench-transfer-v1-2026-08-12,confirmation,final_answer_incorrect,cardinality,6,4,0.6859514999999999,0.6809933333333333,0.49581666666666524,0.5471249999999996,0.39319999999999633,0.7107750000000121,6,0,0,0.29360000000000497
leverage-balanced-processbench-transfer-v1-2026-08-12,confirmation,final_answer_incorrect,reverse,6,4,0.6729854999999999,0.6809933333333333,-0.8007833333333344,-0.8185749999999992,-0.9578499999999962,-0.7148500000000002,0,6,0,-1.0363999999999929
