auprc,auroc,candidate
0.8313829053503985,0.7812199501973138,answer_dufs_liu_mixed
0.8305323728890006,0.7799726392887714,answer_dufs_liu_stable
0.8300765850110101,0.7795225562905841,answer_uniform_liu_mixed
0.829843434712602,0.7790880305833968,answer_iu_mixed
0.8295908242857561,0.7789534795626958,answer_uniform_liu_stable
0.8291440522707186,0.7783010630401702,answer_iu_stable
0.8291347442120731,0.778198519152524,answer_deployed_upcr_stable
0.7711604091118864,0.7198328630472015,token_upcr_core__top5mean
0.7711604091118864,0.7198328630472015,token_upcr_full__top5mean
0.7715726583743805,0.7195121705272718,token_uniform_liu_l0p3__top5mean
0.7714304222062247,0.7194707806322336,token_dufs_liu_l0p3__top5mean
0.7714364413810623,0.7193154361144201,token_uniform_liu_l0p1__top5mean
0.7714434096751588,0.7192847152637335,token_uniform_liu_l0p03__top5mean
0.7713845032542075,0.7192592306191594,token_dufs_liu_l0p1__top5mean
0.7714349605667694,0.7192368028802143,token_dufs_liu_l0p03__top5mean
0.7714135661742827,0.7192266634815438,token_iu__top5mean
0.7694181133318378,0.7169222227628904,token_temporal_liu_l0p03__top5mean
0.764668678644636,0.710999882155237,token_temporal_liu_l0p1__top5mean
0.7505134415314181,0.702533449702935,token_upcr_core__max
0.7505134415314181,0.702533449702935,token_upcr_full__max
0.7520139508425467,0.7015509429525867,token_uniform_liu_l0p3__max
0.7522261377041457,0.701548536661097,token_uniform_liu_l0p03__max
0.7521387383749991,0.7015172861647293,token_dufs_liu_l0p03__max
0.7520684727319389,0.701487503636947,token_uniform_liu_l0p1__max
0.7521779414455729,0.7014819647761596,token_iu__max
0.7520130676001859,0.7014292248637511,token_dufs_liu_l0p1__max
0.7518555939391994,0.7013302675274151,token_dufs_liu_l0p3__max
0.7503411053076542,0.6988218889344104,token_temporal_liu_l0p03__max
0.7514938621682596,0.6960021692904603,token_temporal_liu_l0p3__top5mean
0.7473416110403136,0.6953254647302701,token_temporal_liu_l0p1__max
0.7395275717758181,0.6861644220506886,token_temporal_liu_l0p3__max
