auprc,auroc,candidate,component,exact,model,subset,tol1
0.8053399888319551,0.7619583990388226,answer_deployed_upcr_stable,detector,,qwen3_4b,gsm8k,
0.8057205019718452,0.7629596255412882,answer_iu_stable,detector,,qwen3_4b,gsm8k,
0.8077716195987517,0.7651873545092739,answer_dufs_liu_stable,detector,,qwen3_4b,gsm8k,
0.8065539717846874,0.7641110360191236,answer_uniform_liu_stable,detector,,qwen3_4b,gsm8k,
0.8076544902437501,0.7654126304723285,answer_iu_mixed,detector,,qwen3_4b,gsm8k,
0.8094305623370515,0.767665390102876,answer_dufs_liu_mixed,detector,,qwen3_4b,gsm8k,
0.8077974995546204,0.7658131210733148,answer_uniform_liu_mixed,detector,,qwen3_4b,gsm8k,
0.7175206047795395,0.682135616129759,token_upcr_core__max,detector,,qwen3_4b,gsm8k,
0.7390260716042809,0.7013341343145353,token_upcr_core__top5mean,detector,,qwen3_4b,gsm8k,
0.7175206047795395,0.682135616129759,token_upcr_full__max,detector,,qwen3_4b,gsm8k,
0.7390260716042809,0.7013341343145353,token_upcr_full__top5mean,detector,,qwen3_4b,gsm8k,
0.7218624638612274,0.6827113213686766,token_iu__max,detector,,qwen3_4b,gsm8k,
0.7422694642409836,0.7038121699081374,token_iu__top5mean,detector,,qwen3_4b,gsm8k,
0.7219075050203833,0.6827864133563615,token_uniform_liu_l0p03__max,detector,,qwen3_4b,gsm8k,
0.7422473393395246,0.7038121699081374,token_uniform_liu_l0p03__top5mean,detector,,qwen3_4b,gsm8k,
0.7214855870148973,0.6824860454056219,token_uniform_liu_l0p1__max,detector,,qwen3_4b,gsm8k,
0.7421265158915918,0.7036870165953293,token_uniform_liu_l0p1__top5mean,detector,,qwen3_4b,gsm8k,
0.7211567682644258,0.682210708117444,token_uniform_liu_l0p3__max,detector,,qwen3_4b,gsm8k,
0.7420361892791209,0.7036119246076443,token_uniform_liu_l0p3__top5mean,detector,,qwen3_4b,gsm8k,
0.7217414082721101,0.6827363520312384,token_dufs_liu_l0p03__max,detector,,qwen3_4b,gsm8k,
0.7422418537446641,0.7037370779204526,token_dufs_liu_l0p03__top5mean,detector,,qwen3_4b,gsm8k,
0.7214208792371648,0.682410953417937,token_dufs_liu_l0p1__max,detector,,qwen3_4b,gsm8k,
0.7420443057180253,0.7036119246076444,token_dufs_liu_l0p1__top5mean,detector,,qwen3_4b,gsm8k,
0.7209270348681321,0.6819103401667042,token_dufs_liu_l0p3__max,detector,,qwen3_4b,gsm8k,
0.7418435432519358,0.703636955270206,token_dufs_liu_l0p3__top5mean,detector,,qwen3_4b,gsm8k,
0.7198179216239158,0.6806337763760606,token_temporal_liu_l0p03__max,detector,,qwen3_4b,gsm8k,
0.7409387539694658,0.7027859127431103,token_temporal_liu_l0p03__top5mean,detector,,qwen3_4b,gsm8k,
0.7178900982082125,0.6796575805361569,token_temporal_liu_l0p1__max,detector,,qwen3_4b,gsm8k,
0.7377170204052665,0.6990062826963029,token_temporal_liu_l0p1__top5mean,detector,,qwen3_4b,gsm8k,
0.7102627168219783,0.6744261720607744,token_temporal_liu_l0p3__max,detector,,qwen3_4b,gsm8k,
0.7260095296745633,0.6888438336962779,token_temporal_liu_l0p3__top5mean,detector,,qwen3_4b,gsm8k,
,,token_upcr_core,locator,0.30917874396135264,qwen3_4b,gsm8k,0.642512077294686
,,token_upcr_full,locator,0.30917874396135264,qwen3_4b,gsm8k,0.642512077294686
,,token_iu,locator,0.2946859903381642,qwen3_4b,gsm8k,0.6280193236714976
,,token_uniform_liu_l0p03,locator,0.2946859903381642,qwen3_4b,gsm8k,0.6280193236714976
,,token_uniform_liu_l0p1,locator,0.2946859903381642,qwen3_4b,gsm8k,0.6280193236714976
,,token_uniform_liu_l0p3,locator,0.2995169082125604,qwen3_4b,gsm8k,0.6280193236714976
