candidate,exact,tol1
token_temporal_liu_l0p3,0.3021885521885522,0.6190162494510321
token_temporal_liu_l0p03,0.3018957692870736,0.6118796662274923
token_temporal_liu_l0p1,0.3016761821109647,0.6175523349436393
token_upcr_core,0.29600351339481773,0.6108183282096326
token_upcr_full,0.29600351339481773,0.6108183282096326
token_uniform_liu_l0p3,0.294539598887425,0.6060972039232908
token_dufs_liu_l0p3,0.294539598887425,0.6060972039232908
token_iu,0.2921241399502269,0.6060972039232908
token_uniform_liu_l0p03,0.2921241399502269,0.6060972039232908
token_uniform_liu_l0p1,0.2921241399502269,0.6060972039232908
token_dufs_liu_l0p03,0.2921241399502269,0.6060972039232908
token_dufs_liu_l0p1,0.2921241399502269,0.6060972039232908
