acc_correct,acc_correct_sd,acc_erroneous,acc_erroneous_sd,cal_f1,cal_f1_sd,f1,f1_sd,model,n,n_splits,sla,sla_sd,sla_tol1,sla_tol1_sd,split,subset,system,tau,tau_sd
0.6216058898276292,0.10813975395490102,0.24462347053582412,0.040235190447023665,0.366573990496616,0.03456052827416734,0.34365329366830855,0.03364735506602483,qwen3_4b,400,100,0.24462347053582412,0.040235190447023665,0.48278639065890744,0.05250280667192997,development,gsm8k,ours_only,-0.1188681000183664,0.06253018416836292
0.49466797527605266,0.10717543575485766,0.21657165221065366,0.04123621818171798,0.3204971053796413,0.031308995418533034,0.29263009674615503,0.03092139904125723,qwen3_4b,400,100,0.21657165221065366,0.04123621818171798,0.43596881213882555,0.06350449479391446,development,gsm8k,mindgap_control,0.41713860663479274,0.01602254862463672
0.5121965160034034,0.11258347197459688,0.251508831855235,0.04981254104843435,0.3604331139742095,0.03023630630661623,0.32672533248858043,0.0373443897595388,qwen3_4b,400,100,0.251508831855235,0.04981254104843435,0.46232709931798593,0.07657175789121698,development,gsm8k,mindgap_detector_ours_locator,0.419036721650693,0.017224951505016958
0.5912858142357629,0.05769692982087077,0.2205654609532247,0.020933457509844548,0.3329781349213809,0.01785923376379211,0.31942935472516293,0.018337266886526284,qwen3_4b,1000,100,0.2205654609532247,0.020933457509844548,0.46043061858625545,0.0289286039355603,development,math,ours_only,-0.17932798800106575,0.02803406768896006
0.5267662831890604,0.05074414018076552,0.19211343515375365,0.020043944648406673,0.2874065395231511,0.017044474961487664,0.2798690879746035,0.019048208100363714,qwen3_4b,1000,100,0.19211343515375365,0.020043944648406673,0.41957731121161246,0.027175508024689723,development,math,mindgap_control,0.49361447441160544,0.009547508326956191
0.5309784837102809,0.0627864573710628,0.21429339602416064,0.02208732990500437,0.3152655863516765,0.01648888655331684,0.3028850502475542,0.017745049355470468,qwen3_4b,1000,100,0.21429339602416064,0.02208732990500437,0.45948057434816475,0.032223755049487095,development,math,mindgap_detector_ours_locator,0.49421895240196856,0.01106765283047044
0.5575407254204382,0.08408668642128746,0.2082313725092415,0.02267720930733997,0.30825583511036053,0.01808975021783794,0.29983402397951603,0.018566436248301676,qwen3_4b,1000,100,0.2082313725092415,0.02267720930733997,0.4512818746740358,0.030607119573804856,confirmation,olympiadbench,ours_only,-0.21898288714282446,0.035261441769302404
0.3946111730194073,0.04672306010793355,0.15748905512914013,0.018116450725810033,0.2281382952015535,0.015014637973182447,0.2233194348522882,0.017480259098991157,qwen3_4b,1000,100,0.15748905512914013,0.018116450725810033,0.3800243493526494,0.026601882545511633,confirmation,olympiadbench,mindgap_control,0.542327053302068,0.005854661598075462
0.45914775844481265,0.053008151614327495,0.19884202252428856,0.02073200535351822,0.2845082552140127,0.016199133929564048,0.2752758977333967,0.017090957813564584,qwen3_4b,1000,100,0.19884202252428856,0.02073200535351822,0.42494029488528945,0.02810124667568068,confirmation,olympiadbench,mindgap_detector_ours_locator,0.5531447476125845,0.006852546563694268
0.5405902988598588,0.04766851312949955,0.20485622122681663,0.01672566629640534,0.3018999169323333,0.014998942282572241,0.2959198204680666,0.01644612591731247,qwen3_4b,1000,100,0.20485622122681663,0.01672566629640534,0.47802967865823587,0.02217919873627449,confirmation,omnimath,ours_only,-0.2964038444097359,0.028828384780564046
0.49718862300312283,0.08291828592423478,0.18100360616400976,0.017219642735228125,0.2670435556972818,0.015155481542198588,0.26226229937648055,0.0154146942204396,qwen3_4b,1000,100,0.18100360616400976,0.017219642735228125,0.36856559096510877,0.027173357362806273,confirmation,omnimath,mindgap_control,0.5484203678810426,0.015536771347849334
0.4914423412819799,0.09231841200063398,0.1920292377766878,0.017999173976822037,0.28210078717351794,0.014221653791520933,0.27227629683707133,0.01528525736713449,qwen3_4b,1000,100,0.1920292377766878,0.017999173976822037,0.4502713079078595,0.03223211401929276,confirmation,omnimath,mindgap_detector_ours_locator,0.5472631353911899,0.018660618578774917
0.6348727168222389,0.09022979500103238,0.2438288795651824,0.03566848926546085,0.368078086919248,0.03483049196221382,0.34778933784895566,0.03271319011977801,qwen3_8b,400,100,0.2438288795651824,0.03566848926546085,0.43896991987510536,0.045030896963113416,confirmation,gsm8k,ours_only,-0.0974104780313156,0.048245678136628264
0.4995088689357553,0.09811562161705345,0.16415025053617785,0.03647549465817136,0.27320986569483036,0.033737586165874626,0.2409169786666363,0.03703008393939293,qwen3_8b,400,100,0.16415025053617785,0.03647549465817136,0.4061061842055331,0.051830429349356694,confirmation,gsm8k,mindgap_control,0.45207261433170215,0.012148537734819323
0.5328039157582922,0.08626879102317543,0.2454349585590618,0.04019711984261738,0.3528573691257452,0.029989703992871125,0.3300847461146151,0.031844389260657635,qwen3_8b,400,100,0.2454349585590618,0.04019711984261738,0.46212234298151605,0.05159827349641705,confirmation,gsm8k,mindgap_detector_ours_locator,0.45691403272486186,0.008897608320241225
0.6165806126605674,0.060934833832890334,0.23285041403023216,0.024889909576360034,0.34534642258013326,0.020654539985197628,0.3358693880201576,0.02258388527161911,qwen3_8b,1000,100,0.23285041403023216,0.024889909576360034,0.47510231172437145,0.034137545954576166,confirmation,math,ours_only,-0.15204271234433597,0.03447163259756417
0.5795137822273585,0.05832129186794443,0.18423987662499552,0.014869201892198688,0.2880702862665987,0.016243682238732977,0.27822974816546914,0.01723529236921819,qwen3_8b,1000,100,0.18423987662499552,0.014869201892198688,0.3800253547872143,0.023881223789160497,confirmation,math,mindgap_control,0.5180585620329239,0.007954762796839538
0.5874392556953923,0.05539759057013757,0.22651855678515784,0.0219135384263771,0.3366744912153312,0.01777329961247265,0.325055263830093,0.02010653200899525,qwen3_8b,1000,100,0.22651855678515784,0.0219135384263771,0.46375295364523056,0.029254791565073927,confirmation,math,mindgap_detector_ours_locator,0.5208060532780938,0.009605430279919077
0.5241476349327753,0.06433956716216106,0.2082737888499412,0.020346211332489636,0.3033103015538951,0.017408902269533726,0.2959193132015363,0.018374631925806587,qwen3_8b,1000,100,0.2082737888499412,0.020346211332489636,0.48128895388143184,0.02626720723501721,confirmation,olympiadbench,ours_only,-0.21391148322237366,0.028880163444505436
0.4389148111728675,0.06736957818625355,0.14908353449813977,0.014447586755421524,0.22886186233639344,0.014304321201927553,0.22056811595573073,0.014783129127975636,qwen3_8b,1000,100,0.14908353449813977,0.014447586755421524,0.36972874840630576,0.027396800501280367,confirmation,olympiadbench,mindgap_control,0.5600851464247723,0.010951332496569854
