contrast_id,left_variant_id,right_variant_id,metric_id,delta,ci_low,ci_high,statistical_status,wins,ties,losses,worst_unit_delta,worst_unit_id,multiplicity_family_size
pb::P3F1_DYNAMICS_LOCAL_DUFS_LIU::P3F0_DYNAMICS_IU_PARENT::official_macro_f1,P3F1_DYNAMICS_LOCAL_DUFS_LIU,P3F0_DYNAMICS_IU_PARENT,macro_f1,0.00016818860930467583,-0.001466411568946157,0.0018181909401465037,PROMISING_UNCONFIRMED,2,5,1,-0.00163949397495039,processbench_math_qwen3_8b,4
pb::P3F1_DYNAMICS_LOCAL_DUFS_LIU::P3F0_DYNAMICS_IU_PARENT::first_error_exact,P3F1_DYNAMICS_LOCAL_DUFS_LIU,P3F0_DYNAMICS_IU_PARENT,first_error_exact,0.00016469038208166698,-0.0016553258850382502,0.0020029093260958567,PROMISING_UNCONFIRMED,2,5,1,-0.0016835016835016758,processbench_math_qwen3_8b,1
pb::P3F1_DYNAMICS_LOCAL_DUFS_LIU::P3F0_DYNAMICS_IU_PARENT::first_error_within_one,P3F1_DYNAMICS_LOCAL_DUFS_LIU,P3F0_DYNAMICS_IU_PARENT,first_error_within_one,0.00018602067950879153,-0.0016222607731253475,0.002041926559521654,PROMISING_UNCONFIRMED,3,3,2,-0.004830917874396157,processbench_gsm8k_qwen3_4b,1
pb::P3F1_DYNAMICS_LOCAL_DUFS_LIU::P3F0_DYNAMICS_IU_PARENT::clean_abstention_accuracy,P3F1_DYNAMICS_LOCAL_DUFS_LIU,P3F0_DYNAMICS_IU_PARENT,clean_abstention_accuracy,0.0,0.0,0.0,INCONCLUSIVE,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3F1_DYNAMICS_LOCAL_DUFS_LIU::P3F0_DYNAMICS_IU_PARENT::overall_decision_accuracy,P3F1_DYNAMICS_LOCAL_DUFS_LIU,P3F0_DYNAMICS_IU_PARENT,overall_decision_accuracy,0.00012499999999998623,-0.0008125000000000493,0.0011249999999999871,PROMISING_UNCONFIRMED,2,5,1,-0.0010000000000000009,processbench_math_qwen3_8b,1
pb::P3F2_DYNAMICS_CONTEXT_DUFS_LIU::P3F0_DYNAMICS_IU_PARENT::official_macro_f1,P3F2_DYNAMICS_CONTEXT_DUFS_LIU,P3F0_DYNAMICS_IU_PARENT,macro_f1,-5.699117894941708e-06,-0.0015765461162222476,0.0015862347764893454,INCONCLUSIVE,1,6,1,-0.00163949397495039,processbench_math_qwen3_8b,4
pb::P3F2_DYNAMICS_CONTEXT_DUFS_LIU::P3F0_DYNAMICS_IU_PARENT::first_error_exact,P3F2_DYNAMICS_CONTEXT_DUFS_LIU,P3F0_DYNAMICS_IU_PARENT,first_error_exact,-4.5747328356049444e-05,-0.0018382352941176405,0.0017381480528875473,INCONCLUSIVE,1,6,1,-0.0016835016835016758,processbench_math_qwen3_8b,1
pb::P3F2_DYNAMICS_CONTEXT_DUFS_LIU::P3F0_DYNAMICS_IU_PARENT::first_error_within_one,P3F2_DYNAMICS_CONTEXT_DUFS_LIU,P3F0_DYNAMICS_IU_PARENT,first_error_within_one,-2.4417030928924888e-05,-0.0017962501110290019,0.0017857142857142794,INCONCLUSIVE,2,4,2,-0.004830917874396157,processbench_gsm8k_qwen3_4b,1
pb::P3F2_DYNAMICS_CONTEXT_DUFS_LIU::P3F0_DYNAMICS_IU_PARENT::clean_abstention_accuracy,P3F2_DYNAMICS_CONTEXT_DUFS_LIU,P3F0_DYNAMICS_IU_PARENT,clean_abstention_accuracy,0.0,0.0,0.0,INCONCLUSIVE,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3F2_DYNAMICS_CONTEXT_DUFS_LIU::P3F0_DYNAMICS_IU_PARENT::overall_decision_accuracy,P3F2_DYNAMICS_CONTEXT_DUFS_LIU,P3F0_DYNAMICS_IU_PARENT,overall_decision_accuracy,0.0,-0.0009375000000000355,0.00093749999999998,INCONCLUSIVE,1,6,1,-0.0010000000000000009,processbench_math_qwen3_8b,1
pb::P3F2_DYNAMICS_CONTEXT_DUFS_LIU::P3F1_DYNAMICS_LOCAL_DUFS_LIU::official_macro_f1,P3F2_DYNAMICS_CONTEXT_DUFS_LIU,P3F1_DYNAMICS_LOCAL_DUFS_LIU,macro_f1,-0.00017388772719961754,-0.0007256839583754865,0.0,INCONCLUSIVE,0,7,1,-0.0013911018175966072,processbench_math_qwen3_4b,4
pb::P3F2_DYNAMICS_CONTEXT_DUFS_LIU::P3F1_DYNAMICS_LOCAL_DUFS_LIU::first_error_exact,P3F2_DYNAMICS_CONTEXT_DUFS_LIU,P3F1_DYNAMICS_LOCAL_DUFS_LIU,first_error_exact,-0.00021043771043771642,-0.0006533101045296252,0.0,INCONCLUSIVE,0,7,1,-0.0016835016835016758,processbench_math_qwen3_4b,1
pb::P3F2_DYNAMICS_CONTEXT_DUFS_LIU::P3F1_DYNAMICS_LOCAL_DUFS_LIU::first_error_within_one,P3F2_DYNAMICS_CONTEXT_DUFS_LIU,P3F1_DYNAMICS_LOCAL_DUFS_LIU,first_error_within_one,-0.00021043771043771642,-0.0006533101045295697,0.0,INCONCLUSIVE,0,7,1,-0.0016835016835016758,processbench_math_qwen3_4b,1
pb::P3F2_DYNAMICS_CONTEXT_DUFS_LIU::P3F1_DYNAMICS_LOCAL_DUFS_LIU::clean_abstention_accuracy,P3F2_DYNAMICS_CONTEXT_DUFS_LIU,P3F1_DYNAMICS_LOCAL_DUFS_LIU,clean_abstention_accuracy,0.0,0.0,0.0,INCONCLUSIVE,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3F2_DYNAMICS_CONTEXT_DUFS_LIU::P3F1_DYNAMICS_LOCAL_DUFS_LIU::overall_decision_accuracy,P3F2_DYNAMICS_CONTEXT_DUFS_LIU,P3F1_DYNAMICS_LOCAL_DUFS_LIU,overall_decision_accuracy,-0.00012499999999998623,-0.0003750000000000142,0.0,INCONCLUSIVE,0,7,1,-0.0010000000000000009,processbench_math_qwen3_4b,1
pb::P3F2_DYNAMICS_CONTEXT_DUFS_LIU::P3F3_DYNAMICS_CONTEXT_PERM_CONTROL::official_macro_f1,P3F2_DYNAMICS_CONTEXT_DUFS_LIU,P3F3_DYNAMICS_CONTEXT_PERM_CONTROL,macro_f1,2.02142856612908e-05,-0.000986129125377489,0.0010209692349331162,PROMISING_UNCONFIRMED,1,5,2,-0.00163949397495039,processbench_math_qwen3_8b,4
pb::P3F2_DYNAMICS_CONTEXT_DUFS_LIU::P3F3_DYNAMICS_CONTEXT_PERM_CONTROL::first_error_exact,P3F2_DYNAMICS_CONTEXT_DUFS_LIU,P3F3_DYNAMICS_CONTEXT_PERM_CONTROL,first_error_exact,-9.149465671204338e-05,-0.0008690002060228061,0.0006418485237483798,INCONCLUSIVE,1,5,2,-0.0016835016835016758,processbench_math_qwen3_4b,1
pb::P3F2_DYNAMICS_CONTEXT_DUFS_LIU::P3F3_DYNAMICS_CONTEXT_PERM_CONTROL::first_error_within_one,P3F2_DYNAMICS_CONTEXT_DUFS_LIU,P3F3_DYNAMICS_CONTEXT_PERM_CONTROL,first_error_within_one,-0.00028060206972263524,-0.0011398641184671612,0.0004934373049719484,INCONCLUSIVE,1,5,2,-0.0033670033670033517,processbench_math_qwen3_4b,1
pb::P3F2_DYNAMICS_CONTEXT_DUFS_LIU::P3F3_DYNAMICS_CONTEXT_PERM_CONTROL::clean_abstention_accuracy,P3F2_DYNAMICS_CONTEXT_DUFS_LIU,P3F3_DYNAMICS_CONTEXT_PERM_CONTROL,clean_abstention_accuracy,0.0,0.0,0.0,INCONCLUSIVE,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3F2_DYNAMICS_CONTEXT_DUFS_LIU::P3F3_DYNAMICS_CONTEXT_PERM_CONTROL::overall_decision_accuracy,P3F2_DYNAMICS_CONTEXT_DUFS_LIU,P3F3_DYNAMICS_CONTEXT_PERM_CONTROL,overall_decision_accuracy,0.0,-0.0005000000000000004,0.0005000000000000004,INCONCLUSIVE,1,5,2,-0.0010000000000000009,processbench_math_qwen3_4b,1
pb::P3F3_DYNAMICS_CONTEXT_PERM_CONTROL::P3F0_DYNAMICS_IU_PARENT::official_macro_f1,P3F3_DYNAMICS_CONTEXT_PERM_CONTROL,P3F0_DYNAMICS_IU_PARENT,macro_f1,-2.5913403556232506e-05,-0.0012352275848409116,0.0011612637597918903,INCONCLUSIVE,1,6,1,-0.0015984090460461897,processbench_omnimath_qwen3_8b,1
pb::P3F3_DYNAMICS_CONTEXT_PERM_CONTROL::P3F0_DYNAMICS_IU_PARENT::first_error_exact,P3F3_DYNAMICS_CONTEXT_PERM_CONTROL,P3F0_DYNAMICS_IU_PARENT,first_error_exact,4.574732835599393e-05,-0.0017596540105158875,0.0018382399485512148,PROMISING_UNCONFIRMED,1,6,1,-0.0013175230566534746,processbench_omnimath_qwen3_8b,1
pb::P3F3_DYNAMICS_CONTEXT_PERM_CONTROL::P3F0_DYNAMICS_IU_PARENT::first_error_within_one,P3F3_DYNAMICS_CONTEXT_PERM_CONTROL,P3F0_DYNAMICS_IU_PARENT,first_error_within_one,0.00025618503879371035,-0.0016077483471833881,0.002194973687177392,PROMISING_UNCONFIRMED,3,2,3,-0.004830917874396157,processbench_gsm8k_qwen3_4b,1
pb::P3F3_DYNAMICS_CONTEXT_PERM_CONTROL::P3F0_DYNAMICS_IU_PARENT::clean_abstention_accuracy,P3F3_DYNAMICS_CONTEXT_PERM_CONTROL,P3F0_DYNAMICS_IU_PARENT,clean_abstention_accuracy,0.0,0.0,0.0,INCONCLUSIVE,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3F3_DYNAMICS_CONTEXT_PERM_CONTROL::P3F0_DYNAMICS_IU_PARENT::overall_decision_accuracy,P3F3_DYNAMICS_CONTEXT_PERM_CONTROL,P3F0_DYNAMICS_IU_PARENT,overall_decision_accuracy,0.0,-0.0009375000000000355,0.00093749999999998,INCONCLUSIVE,1,6,1,-0.0010000000000000009,processbench_omnimath_qwen3_8b,1
