cell,k,auroc_splithalf_deployed,auroc_random_same_size,auroc_shallow_label_search,random_delta_pp,shallow_delta_pp
ars_gsm8k_r1distill8b,12,0.7418439005756758,0.7463270045890689,0.7724371455165178,0.44831040133930244,3.0593244940841924
epr_triviaqa_mistral24b,13,0.7357147868389499,0.7272619402629243,0.7361604060562904,-0.8452846576025519,0.044561921734054266
internalstates_gsm8k_qwen25_7b,7,0.7246753742975646,0.705102621343469,0.7629749855106831,-1.9572752954095551,3.8299611213118534
lapeigvals_gsm8k_llama3b,13,0.7011174608943244,0.6899656645513066,0.7077004162327694,-1.1151796343017772,0.6582955338444996
lapeigvals_gsm8k_llama8b,8,0.8142220528127183,0.8011248197828101,0.8083196766289534,-1.3097233029908173,-0.5902376183764879
lapeigvals_gsm8k_mistral24b,13,0.842399906229004,0.8340444118712856,0.8453654365860229,-0.8355494357718318,0.2965530357018964
lapeigvals_gsm8k_nemo,9,0.7991519841554632,0.7815353716928797,0.7992500406532318,-1.7616612462583503,0.009805649776861713
lapeigvals_gsm8k_phi35,12,0.8191231979971476,0.7992304148631875,0.8194951528118395,-1.9892783133960146,0.03719548146918772
losnet_hotpotqa_mistral7b,5,0.5611313264141568,0.5525210570492,0.5601378969308886,-0.8610269364956791,-0.09934294832681934
math500_dsmath7b,15,0.7826690366093743,0.770256578541493,0.7919530958975974,-1.2412458067881271,0.9284059288223179
math500_qwenmath7b,5,0.913680799220273,0.8832101353811881,0.9185216377190061,-3.047066383908492,0.4840838498733069
math500_r1distill8b,7,0.8211876319451928,0.7982855673526004,0.8302953180035699,-2.2902064592592475,0.9107686058377085
math500_r1distill8b_mn4096,8,0.834359406524516,0.8063555959463338,0.8324395854433497,-2.800381057818224,-0.1919821081166284
noise_gsm8k_mistral7b,8,0.7780808536645647,0.7549811224307851,0.7843295730078915,-2.309973123377962,0.6248719343326825
noise_gsm8k_phi3mini,13,0.6936308530759424,0.6843536052537591,0.6921224550395035,-0.927724782218331,-0.15083980364388738
sciq_llama8b,15,0.7587241974157835,0.7599719834285764,0.7634682702119172,0.12477860127929619,0.4744072796133758
se_nq_open_llama8b,11,0.7464528292707515,0.7349314867537013,0.7505323414833345,-1.152134251705017,0.40795122125829586
se_squad_v2_llama8b,13,0.8232358227995948,0.8095543382856524,0.8343750669871058,-1.3681484513942466,1.1139244187511
seiclr_triviaqa_opt30b,11,0.8140616826532208,0.8181860870266858,0.8312324575345904,0.41244043734650626,1.7170774881369644
semenergy_triviaqa_qwen3_8b,15,0.8094236257807775,0.7825197940919421,0.8151325845520052,-2.690383168883548,0.5708958771227679
spilled_triviaqa_llama8b,9,0.9300605350668697,0.882585824244432,0.9288023723627781,-4.74747108224377,-0.12581627040916255
trace_gsm8k_llama8b_k10,10,0.8172556473071433,0.8032769133739164,0.8156267452301389,-1.3978733933226906,-0.16289020770043905
trace_math500_qwenmath15b_k10,4,0.6791065709113998,0.6719344747040413,0.6902690854301575,-0.717209620735848,1.1162514518757716
truthfulqa_llama8b,7,0.6668440376661302,0.6379973367883474,0.68380926545707,-2.884670087778285,1.6965227790939785
