cell,auroc_deployed,auroc_oracle_sign,delta_pp,unchanged
ars_gsm8k_r1distill8b,0.7384857789269554,0.7391725921137686,0.06868131868131844,False
epr_triviaqa_mistral24b,0.7457496352822355,0.7457496352822355,0.0,True
internalstates_gsm8k_qwen25_7b,0.708176755121312,0.708176755121312,0.0,True
lapeigvals_gsm8k_llama3b,0.699160313160369,0.699160313160369,0.0,True
lapeigvals_gsm8k_llama8b,0.8108335335094884,0.8108335335094884,0.0,True
lapeigvals_gsm8k_mistral24b,0.8486086890590644,0.8486086890590644,0.0,True
lapeigvals_gsm8k_nemo,0.7972699573430835,0.7972699573430835,0.0,True
lapeigvals_gsm8k_phi35,0.8088448633398303,0.8088448633398303,0.0,True
losnet_hotpotqa_mistral7b,0.5695668496040329,0.5750013407461699,0.543449114213701,False
math500_dsmath7b,0.7865136091256949,0.7865136091256949,0.0,True
math500_qwenmath7b,0.9155045638945232,0.892368154158215,-2.313640973630815,False
math500_r1distill8b,0.8385677026733319,0.8385677026733319,0.0,True
math500_r1distill8b_mn4096,0.8357853439820653,0.8357853439820653,0.0,True
noise_gsm8k_mistral7b,0.7830679315212743,0.7830679315212743,0.0,True
noise_gsm8k_phi3mini,0.6830577313606034,0.6819865657985762,-0.10711655620272431,False
sciq_llama8b,0.738976871368349,0.7434203030648285,0.44434316964795384,False
se_nq_open_llama8b,0.7468965488308481,0.7468965488308481,0.0,True
se_squad_v2_llama8b,0.8102507127768863,0.8102507127768863,0.0,True
seiclr_triviaqa_opt30b,0.811871846772098,0.811871846772098,0.0,True
semenergy_triviaqa_qwen3_8b,0.8102602404150281,0.8102943217930463,0.0034081378018191444,False
spilled_triviaqa_llama8b,0.9299999999999999,0.9299999999999999,0.0,True
trace_gsm8k_llama8b_k10,0.8113494318181818,0.8097622282608696,-0.15872035573121224,False
trace_math500_qwenmath15b_k10,0.6860695600152698,0.6860695600152698,0.0,True
truthfulqa_llama8b,0.6633585817234888,0.6633585817234888,0.0,True
