cell,auroc_splithalf_deployed,auroc_splithalf_best_angle,delta_pp,n_splits
ars_gsm8k_r1distill8b,0.7215564097693379,0.7472885732792134,2.5732163509875505,5
epr_triviaqa_mistral24b,0.7291322339108841,0.7254839927131357,-0.3648241197748425,5
internalstates_gsm8k_qwen25_7b,0.71380258234686,0.7177458203962166,0.394323804935659,5
lapeigvals_gsm8k_llama3b,0.691312343613818,0.6937711771999077,0.24588335860896704,5
lapeigvals_gsm8k_llama8b,0.8064111851125599,0.8150819647312524,0.8670779618692448,5
lapeigvals_gsm8k_mistral24b,0.8607693203564285,0.8573528010182759,-0.3416519338152568,5
lapeigvals_gsm8k_nemo,0.8016108339118935,0.8002505063089238,-0.13603276029696687,5
lapeigvals_gsm8k_phi35,0.8085984836689771,0.8076377439116014,-0.09607397573757614,5
losnet_hotpotqa_mistral7b,0.5617726163940686,0.5582517653687333,-0.3520851025335281,5
math500_dsmath7b,0.7910953062004544,0.788531442995059,-0.2563863205395478,5
math500_qwenmath7b,0.9206206639154073,0.9220569097331879,0.14362458177805681,5
math500_r1distill8b,0.8257818258235519,0.8166282610103291,-0.9153564813222714,5
math500_r1distill8b_mn4096,0.8315804547217572,0.8315532660061024,-0.0027188715654880014,5
noise_gsm8k_mistral7b,0.7890382439820198,0.7880644222371541,-0.09738217448657105,5
noise_gsm8k_phi3mini,0.669577563697768,0.66906945535932,-0.050810833844794345,5
sciq_llama8b,0.7496375615676814,0.7438898273946688,-0.5747734173012553,5
se_nq_open_llama8b,0.751138630688015,0.757001945520576,0.5863314832560973,5
se_squad_v2_llama8b,0.810717244389555,0.8118473544338698,0.11301100443148471,5
seiclr_triviaqa_opt30b,0.8113033493267041,0.8262827518238579,1.4979402497153793,5
semenergy_triviaqa_qwen3_8b,0.8135027194040048,0.8173001107270972,0.3797391323092425,5
spilled_triviaqa_llama8b,0.9475907882482432,0.9439875624417915,-0.3603225806451671,5
trace_gsm8k_llama8b_k10,0.8105361796689163,0.8125435647102426,0.20073850413262484,5
trace_math500_qwenmath15b_k10,0.6902058473765356,0.6878191268061313,-0.23867205704042327,5
truthfulqa_llama8b,0.6644711439007629,0.6786764425705347,1.4205298669771826,5
