cell,k,overlap_with_rho_topk,random_overlap_baseline,auroc_deployed,auroc_rho_top6,delta_rho_top6_pp,auroc_rho_top8,delta_rho_top8_pp,auroc_rho_top10,delta_rho_top10_pp,auroc_rho_top12,delta_rho_top12_pp,auroc_rho_top14,delta_rho_top14_pp,auroc_rho_top16,delta_rho_top16_pp
ars_gsm8k_r1distill8b,12,0.25,0.39758333333333334,0.7384857789269554,0.7478991596638656,0.9413380736910115,0.7206690368455075,-1.78167420814479,0.6984082094376213,-4.007756948933416,0.7091346153846154,-2.935116354234002,0.7294158047834519,-0.9069974143503523,0.7298198125404008,-0.8665966386554591
epr_triviaqa_mistral24b,13,0.46153846153846156,0.4698461538461539,0.7457496352822355,0.7433649422062618,-0.2384693075973665,0.7429861968353719,-0.2763438446863553,0.7470822578835148,0.13326226012793096,0.7463949051733811,0.06452698911456611,0.7478116934126361,0.20620581304006125,0.7458478285265402,0.009819324430471177
internalstates_gsm8k_qwen25_7b,7,0.14285714285714285,0.24299999999999994,0.708176755121312,0.6822377676282978,-2.5938987493014154,0.6843190534003969,-2.385770172091506,0.664450482742672,-4.372627237863991,0.6670520899577962,-4.112466516351576,0.6866315931471739,-2.1545161974138027,0.6931452467672621,-1.5031508354049872
lapeigvals_gsm8k_llama3b,13,0.5384615384615384,0.4353846153846155,0.699160313160369,0.7086416994814795,0.9481386321110508,0.7082926057288612,0.913229256849224,0.7099100734493257,1.074976028895669,0.7128215153461614,1.3661202185792476,0.7122094376332374,1.3049124472868434,0.7022579383919345,0.3097625231565537
lapeigvals_gsm8k_llama8b,8,0.125,0.2861875,0.8108335335094884,0.7831491712707183,-2.7684362238770133,0.7925174153254865,-1.8316118184001917,0.7993834574425495,-1.145007606693893,0.8079309792617504,-0.29025542477379984,0.8121947313635999,0.13611978541114844,0.8153575146128593,0.4523981103370933
lapeigvals_gsm8k_mistral24b,13,0.6153846153846154,0.4338076923076924,0.8486086890590644,0.847334900295701,-0.12737887633633704,0.8548639017362953,0.6255212677230948,0.8536204412768216,0.5011752217757182,0.8527485025399955,0.4139813480931065,0.8423004018500264,-0.6308287209037977,0.8485480324512851,-0.006065660777931914
lapeigvals_gsm8k_nemo,9,0.2222222222222222,0.3133333333333333,0.7972699573430835,0.7828397318708105,-1.4430225472273017,0.7770952671135486,-2.0174690229534886,0.7696689010765793,-2.760105626650422,0.7795206175096486,-1.7749339833434852,0.7795409303270364,-1.772902701604706,0.791176112126752,-0.6093845216331495
lapeigvals_gsm8k_phi35,12,0.4166666666666667,0.41158333333333336,0.8088448633398303,0.8038964390925515,-0.49484242472788154,0.7900613213004744,-1.878354203935595,0.7908489751599782,-1.7995888179852093,0.786999706298561,-2.1845157041269325,0.7961400510862503,-1.270481225358,0.8028996342082075,-0.5945229131622765
losnet_hotpotqa_mistral7b,5,0.0,0.1759,0.5695668496040329,0.5637390729187151,-0.5827776685317865,0.5682797332808953,-0.12871163231376048,0.5688160317488693,-0.07508178551636213,0.5659736498686069,-0.3593199735426045,0.570764582849175,0.11977332451420519,0.570228284381201,0.06614347771680684
math500_dsmath7b,15,0.6,0.4985,0.7865136091256949,0.7752508844126778,-1.1262724713017147,0.7647101292325464,-2.180347989314846,0.7821817919283806,-0.4331817197314347,0.791711789762472,0.5198180636777128,0.794888455707169,0.8374846581474138,0.7939498953144177,0.7436286188722829
