cell_id,model_id,family,fold,alpha_c8,held_h2_reliability_median,held_c8_reliability_median,n_held_rows
processbench_gsm8k_qwen3_4b,qwen3_4b,gsm8k,0,0.48654244306418226,0.8999999999999998,0.8499999999999999,75
processbench_gsm8k_qwen3_4b,qwen3_4b,gsm8k,1,0.49117341640706125,0.8999999999999998,0.8285714285714287,94
processbench_gsm8k_qwen3_4b,qwen3_4b,gsm8k,2,0.48971193415637854,0.8857142857142859,0.8,85
processbench_gsm8k_qwen3_4b,qwen3_4b,gsm8k,3,0.4841050449205253,0.8660714285714287,0.8499999999999999,76
processbench_gsm8k_qwen3_4b,qwen3_4b,gsm8k,4,0.4813278008298756,0.8535714285714285,0.880357142857143,70
processbench_math_qwen3_4b,qwen3_4b,math,0,0.49790794979079495,0.8395604395604396,0.8285714285714287,185
processbench_math_qwen3_4b,qwen3_4b,math,1,0.4985955056179776,0.875,0.8571428571428572,209
processbench_math_qwen3_4b,qwen3_4b,math,2,0.4974619289340101,0.8639705882352942,0.8571428571428572,173
processbench_math_qwen3_4b,qwen3_4b,math,3,0.49790794979079483,0.8351648351648353,0.8424242424242423,219
processbench_math_qwen3_4b,qwen3_4b,math,4,0.49790794979079495,0.8571428571428572,0.8499999999999999,214
processbench_olympiadbench_qwen3_4b,qwen3_4b,olympiadbench,0,0.4955613577023499,0.8928571428571429,0.882934712346477,220
processbench_olympiadbench_qwen3_4b,qwen3_4b,olympiadbench,1,0.4986522911051213,0.8674908424908425,0.8571428571428572,206
processbench_olympiadbench_qwen3_4b,qwen3_4b,olympiadbench,2,0.4973495478640474,0.8798701298701299,0.860643587578572,178
processbench_olympiadbench_qwen3_4b,qwen3_4b,olympiadbench,3,0.4962432915921288,0.8928571428571429,0.8883116883116884,188
processbench_olympiadbench_qwen3_4b,qwen3_4b,olympiadbench,4,0.4969574036511156,0.8833333333333333,0.8689923337756156,208
processbench_omnimath_qwen3_4b,qwen3_4b,omnimath,0,0.49497548263373,0.8912587412587413,0.8839743589743589,206
processbench_omnimath_qwen3_4b,qwen3_4b,omnimath,1,0.49570559126329555,0.8999999999999998,0.8750000000000001,209
processbench_omnimath_qwen3_4b,qwen3_4b,omnimath,2,0.49504754358161646,0.8768939393939394,0.8571428571428572,202
processbench_omnimath_qwen3_4b,qwen3_4b,omnimath,3,0.49528301886792453,0.8750000000000001,0.8690476190476191,203
processbench_omnimath_qwen3_4b,qwen3_4b,omnimath,4,0.4969574036511156,0.8928571428571429,0.8698384948384948,180
processbench_gsm8k_qwen3_8b,qwen3_8b,gsm8k,0,0.49180327868852464,0.8422619047619049,0.8,88
processbench_gsm8k_qwen3_8b,qwen3_8b,gsm8k,1,0.4927536231884057,0.8750000000000001,0.8606060606060604,73
processbench_gsm8k_qwen3_8b,qwen3_8b,gsm8k,2,0.4948453608247423,0.8750000000000001,0.8535714285714285,70
processbench_gsm8k_qwen3_8b,qwen3_8b,gsm8k,3,0.49740932642487046,0.8857142857142858,0.8535714285714285,88
processbench_gsm8k_qwen3_8b,qwen3_8b,gsm8k,4,0.4947368421052632,0.8916666666666666,0.8690476190476191,81
processbench_math_qwen3_8b,qwen3_8b,math,0,0.49790794979079495,0.861904761904762,0.8440226440226439,194
processbench_math_qwen3_8b,qwen3_8b,math,1,0.49790794979079495,0.8571428571428572,0.8571428571428572,190
processbench_math_qwen3_8b,qwen3_8b,math,2,0.49481865284974086,0.880952380952381,0.8666666666666667,223
processbench_math_qwen3_8b,qwen3_8b,math,3,0.5,0.8499999999999999,0.8285714285714287,206
processbench_math_qwen3_8b,qwen3_8b,math,4,0.49924127465857354,0.8545454545454544,0.8392857142857144,187
processbench_olympiadbench_qwen3_8b,qwen3_8b,olympiadbench,0,0.49689474152504665,0.8833333333333333,0.8791125541125542,180
processbench_olympiadbench_qwen3_8b,qwen3_8b,olympiadbench,1,0.4978498180615282,0.8845238095238095,0.8591117216117217,216
processbench_olympiadbench_qwen3_8b,qwen3_8b,olympiadbench,2,0.49630723781388475,0.8857142857142858,0.880952380952381,218
processbench_olympiadbench_qwen3_8b,qwen3_8b,olympiadbench,3,0.4969574036511156,0.8848484848484848,0.8690476190476191,195
processbench_olympiadbench_qwen3_8b,qwen3_8b,olympiadbench,4,0.49581228285134027,0.8951048951048951,0.8794117647058824,191
processbench_omnimath_qwen3_8b,qwen3_8b,omnimath,0,0.4980372914622178,0.8999999999999998,0.8818181818181821,205
processbench_omnimath_qwen3_8b,qwen3_8b,omnimath,1,0.49705142627849147,0.8928571428571429,0.8821428571428571,204
processbench_omnimath_qwen3_8b,qwen3_8b,omnimath,2,0.4966595970307529,0.8909090909090909,0.8776223776223777,193
processbench_omnimath_qwen3_8b,qwen3_8b,omnimath,3,0.4952830188679246,0.884090909090909,0.8836335491134253,198
processbench_omnimath_qwen3_8b,qwen3_8b,omnimath,4,0.49705342342892295,0.8857142857142858,0.8680902430902432,200
