method,stratum,n,sla_micro_descriptive,longest_step_agreement,mae
evidence30__all__seed__equal,steps_2_to_5,1312,0.4169207317073171,0.5983231707317073,0.9070121951219512
evidence30__all__seed__equal,steps_6_to_10,2308,0.29982668977469673,0.44150779896013864,1.8838821490467939
evidence30__all__seed__equal,steps_11_plus,822,0.18369829683698297,0.36009732360097324,4.583941605839416
evidence30__all__seed__equal,error_relative_quarter_1,1314,0.3455098934550989,0.4573820395738204,2.39117199391172
evidence30__all__seed__equal,error_relative_quarter_2,1290,0.27054263565891473,0.45968992248062013,1.8674418604651162
evidence30__all__seed__equal,error_relative_quarter_3,1122,0.3092691622103387,0.4714795008912656,1.679144385026738
evidence30__all__seed__equal,error_relative_quarter_4,716,0.33519553072625696,0.526536312849162,2.613128491620112
evidence30__all__plain__equal,steps_2_to_5,1312,0.44664634146341464,0.6516768292682927,0.8384146341463414
evidence30__all__plain__equal,steps_6_to_10,2308,0.3050259965337955,0.5524263431542461,1.8253899480069324
evidence30__all__plain__equal,steps_11_plus,822,0.19099756690997566,0.44038929440389296,4.457420924574209
evidence30__all__plain__equal,error_relative_quarter_1,1314,0.258751902587519,0.5395738203957382,2.8789954337899544
evidence30__all__plain__equal,error_relative_quarter_2,1290,0.29767441860465116,0.5542635658914729,1.817829457364341
evidence30__all__plain__equal,error_relative_quarter_3,1122,0.39126559714795006,0.5793226381461676,1.2709447415329769
evidence30__all__plain__equal,error_relative_quarter_4,716,0.39664804469273746,0.5837988826815642,1.9874301675977655
evidence30__all__position__equal,steps_2_to_5,1312,0.39939024390243905,0.5754573170731707,0.9596036585365854
evidence30__all__position__equal,steps_6_to_10,2308,0.28466204506065856,0.4731369150779896,2.032928942807626
evidence30__all__position__equal,steps_11_plus,822,0.18004866180048662,0.36253041362530414,4.815085158150851
evidence30__all__position__equal,error_relative_quarter_1,1314,0.2207001522070015,0.4726027397260274,3.580669710806697
evidence30__all__position__equal,error_relative_quarter_2,1290,0.2682170542635659,0.48992248062015503,2.131782945736434
evidence30__all__position__equal,error_relative_quarter_3,1122,0.3235294117647059,0.4839572192513369,1.358288770053476
evidence30__all__position__equal,error_relative_quarter_4,716,0.46089385474860334,0.48743016759776536,1.2988826815642458
evidence30__all__plain2__equal,steps_2_to_5,1312,0.43597560975609756,0.649390243902439,0.8658536585365854
evidence30__all__plain2__equal,steps_6_to_10,2308,0.298526863084922,0.5463604852686309,1.8119584055459272
evidence30__all__plain2__equal,steps_11_plus,822,0.17396593673965938,0.4416058394160584,4.47323600973236
evidence30__all__plain2__equal,error_relative_quarter_1,1314,0.2465753424657534,0.530441400304414,2.8942161339421615
evidence30__all__plain2__equal,error_relative_quarter_2,1290,0.289922480620155,0.5472868217054263,1.8007751937984495
evidence30__all__plain2__equal,error_relative_quarter_3,1122,0.3850267379679144,0.5811051693404634,1.2736185383244207
evidence30__all__plain2__equal,error_relative_quarter_4,716,0.38268156424581007,0.5879888268156425,2.011173184357542
evidence30__all__position2__equal,steps_2_to_5,1312,0.40015243902439024,0.5762195121951219,0.9557926829268293
evidence30__all__position2__equal,steps_6_to_10,2308,0.274263431542461,0.48353552859618715,2.0246967071057194
evidence30__all__position2__equal,steps_11_plus,822,0.14841849148418493,0.3686131386861314,4.985401459854015
evidence30__all__position2__equal,error_relative_quarter_1,1314,0.18797564687975646,0.4657534246575342,3.645357686453577
evidence30__all__position2__equal,error_relative_quarter_2,1290,0.26589147286821707,0.49534883720930234,2.1348837209302327
evidence30__all__position2__equal,error_relative_quarter_3,1122,0.32976827094474154,0.5062388591800356,1.3449197860962567
evidence30__all__position2__equal,error_relative_quarter_4,716,0.44692737430167595,0.4972067039106145,1.3575418994413408
evidence30__all__randomseed__equal,steps_2_to_5,1312,0.25,0.3201219512195122,1.1852134146341464
evidence30__all__randomseed__equal,steps_6_to_10,2308,0.1278162911611785,0.20060658578856153,2.185008665511265
evidence30__all__randomseed__equal,steps_11_plus,822,0.058394160583941604,0.10340632603406326,4.642335766423358
evidence30__all__randomseed__equal,error_relative_quarter_1,1314,0.13318112633181126,0.20471841704718416,3.213850837138508
evidence30__all__randomseed__equal,error_relative_quarter_2,1290,0.14108527131782947,0.22868217054263565,1.9651162790697674
evidence30__all__randomseed__equal,error_relative_quarter_3,1122,0.18270944741532977,0.24064171122994651,1.6577540106951871
evidence30__all__randomseed__equal,error_relative_quarter_4,716,0.15223463687150837,0.1871508379888268,2.5083798882681565
evidence30__all__randomseed_position__equal,steps_2_to_5,1312,0.20198170731707318,0.23551829268292682,1.4039634146341464
evidence30__all__randomseed_position__equal,steps_6_to_10,2308,0.1048526863084922,0.14558058925476602,2.668544194107452
evidence30__all__randomseed_position__equal,steps_11_plus,822,0.0364963503649635,0.11678832116788321,5.87956204379562
evidence30__all__randomseed_position__equal,error_relative_quarter_1,1314,0.1156773211567732,0.1780821917808219,4.0867579908675795
evidence30__all__randomseed_position__equal,error_relative_quarter_2,1290,0.07131782945736434,0.17054263565891473,2.6914728682170543
evidence30__all__randomseed_position__equal,error_relative_quarter_3,1122,0.0944741532976827,0.15240641711229946,2.1336898395721926
evidence30__all__randomseed_position__equal,error_relative_quarter_4,716,0.2611731843575419,0.16201117318435754,2.2318435754189943
