task,fold,roster,population,arm,status,orientation,small_groups,converged,selected_start,selected_iterations,start_likelihood_spread,job_seconds
pb_q4,0,evidence30,all,plain__equal_std,ok,1.0,[],,,,,4.4601944999885745
pb_q4,0,evidence30,all,plain__spectral,ok,1.0,[],,,,,4.4601944999885745
pb_q4,0,evidence30,all,plain__continuous_lsml,ok,1.0,"[0, 3]",,,,,4.4601944999885745
pb_q4,0,evidence30,all,position__equal_std,ok,1.0,[],,,,,4.4601944999885745
pb_q4,0,evidence30,all,position__spectral,ok,1.0,[],,,,,4.4601944999885745
pb_q4,0,evidence30,all,position__continuous_lsml,ok,1.0,"[0, 3]",,,,,4.4601944999885745
pb_q4,0,evidence30,all,seed__equal,ok,1.0,[],,,,,4.4601944999885745
pb_q4,0,evidence30,all,plain__equal,ok,1.0,[],,,,,4.4601944999885745
pb_q4,0,evidence30,all,position__equal,ok,1.0,[],,,,,4.4601944999885745
pb_q4,0,evidence30,all,plain2__equal,ok,1.0,[],,,,,4.4601944999885745
pb_q4,0,evidence30,all,position2__equal,ok,1.0,[],,,,,4.4601944999885745
pb_q4,0,evidence30,all,randomseed__equal,ok,1.0,[],,,,,4.4601944999885745
pb_q4,0,evidence30,all,randomseed_position__equal,ok,1.0,[],,,,,4.4601944999885745
pb_q4,0,evidence30,all,prioronly__equal,ok,1.0,[],,,,,4.4601944999885745
pb_q4,0,evidence30,all,ceiling__equal,ok,1.0,[],,,,,4.4601944999885745
pb_q4,0,evidence30,all,ceiling_position__equal,ok,1.0,[],,,,,4.4601944999885745
pb_q4,0,evidence,all,plain__equal_std,ok,1.0,[],,,,,5.358002299966756
pb_q4,0,evidence,all,plain__spectral,ok,1.0,[],,,,,5.358002299966756
pb_q4,0,evidence,all,plain__continuous_lsml,ok,1.0,[2],,,,,5.358002299966756
pb_q4,0,evidence,all,position__equal_std,ok,1.0,[],,,,,5.358002299966756
pb_q4,0,evidence,all,position__spectral,ok,1.0,[],,,,,5.358002299966756
pb_q4,0,evidence,all,position__continuous_lsml,ok,1.0,[2],,,,,5.358002299966756
pb_q4,0,evidence,all,seed__equal,ok,1.0,[],,,,,5.358002299966756
pb_q4,0,evidence,all,plain__equal,ok,1.0,[],,,,,5.358002299966756
pb_q4,0,evidence,all,position__equal,ok,1.0,[],,,,,5.358002299966756
pb_q4,0,evidence,all,plain2__equal,ok,1.0,[],,,,,5.358002299966756
pb_q4,0,evidence,all,position2__equal,ok,1.0,[],,,,,5.358002299966756
pb_q4,0,evidence,all,randomseed__equal,ok,1.0,[],,,,,5.358002299966756
pb_q4,0,evidence,all,randomseed_position__equal,ok,1.0,[],,,,,5.358002299966756
pb_q4,0,evidence,all,prioronly__equal,ok,1.0,[],,,,,5.358002299966756
pb_q4,0,evidence,all,ceiling__equal,ok,1.0,[],,,,,5.358002299966756
pb_q4,0,evidence,all,ceiling_position__equal,ok,1.0,[],,,,,5.358002299966756
pb_q4,1,evidence30,all,plain__equal_std,ok,1.0,[],,,,,4.739947599999141
pb_q4,1,evidence30,all,plain__spectral,ok,1.0,[],,,,,4.739947599999141
pb_q4,1,evidence30,all,plain__continuous_lsml,ok,1.0,"[0, 3]",,,,,4.739947599999141
pb_q4,1,evidence30,all,position__equal_std,ok,1.0,[],,,,,4.739947599999141
pb_q4,1,evidence30,all,position__spectral,ok,1.0,[],,,,,4.739947599999141
pb_q4,1,evidence30,all,position__continuous_lsml,ok,1.0,"[0, 3]",,,,,4.739947599999141
pb_q4,1,evidence30,all,seed__equal,ok,1.0,[],,,,,4.739947599999141
pb_q4,1,evidence30,all,plain__equal,ok,1.0,[],,,,,4.739947599999141
pb_q4,1,evidence30,all,position__equal,ok,1.0,[],,,,,4.739947599999141
pb_q4,1,evidence30,all,plain2__equal,ok,1.0,[],,,,,4.739947599999141
pb_q4,1,evidence30,all,position2__equal,ok,1.0,[],,,,,4.739947599999141
pb_q4,1,evidence30,all,randomseed__equal,ok,1.0,[],,,,,4.739947599999141
pb_q4,1,evidence30,all,randomseed_position__equal,ok,1.0,[],,,,,4.739947599999141
pb_q4,1,evidence30,all,prioronly__equal,ok,1.0,[],,,,,4.739947599999141
pb_q4,1,evidence30,all,ceiling__equal,ok,1.0,[],,,,,4.739947599999141
pb_q4,1,evidence30,all,ceiling_position__equal,ok,1.0,[],,,,,4.739947599999141
pb_q4,1,evidence,all,plain__equal_std,ok,1.0,[],,,,,4.8787694000056945
pb_q4,1,evidence,all,plain__spectral,ok,1.0,[],,,,,4.8787694000056945
pb_q4,1,evidence,all,plain__continuous_lsml,ok,1.0,[2],,,,,4.8787694000056945
pb_q4,1,evidence,all,position__equal_std,ok,1.0,[],,,,,4.8787694000056945
pb_q4,1,evidence,all,position__spectral,ok,1.0,[],,,,,4.8787694000056945
pb_q4,1,evidence,all,position__continuous_lsml,ok,1.0,[2],,,,,4.8787694000056945
pb_q4,1,evidence,all,seed__equal,ok,1.0,[],,,,,4.8787694000056945
pb_q4,1,evidence,all,plain__equal,ok,1.0,[],,,,,4.8787694000056945
pb_q4,1,evidence,all,position__equal,ok,1.0,[],,,,,4.8787694000056945
