cell,feature,hand_sign,derived_sign,rho,match
internalstates_gsm8k_qwen25_7b,sw_var_peak_energy,-1,-1,0.03727114966492763,1
internalstates_gsm8k_qwen25_7b,cusum_max_energy,-1,-1,0.13795178572404693,1
internalstates_gsm8k_qwen25_7b,mean_top1_logprob,1,1,-0.2541933317544276,1
internalstates_gsm8k_qwen25_7b,logprob_margin,1,1,-0.19247146558973738,1
internalstates_gsm8k_qwen25_7b,mean_logprob_entropy,-1,-1,0.19275540802804325,1
internalstates_gsm8k_qwen25_7b,varentropy,-1,-1,0.19534804751144838,1
internalstates_gsm8k_qwen25_7b,renyi_entropy_2,-1,-1,0.18967413450886167,1
internalstates_gsm8k_qwen25_7b,topk_tail_mass,-1,-1,0.20951783752930322,1
lapeigvals_gsm8k_llama3b,epr,-1,1,0.2127687815249024,0
lapeigvals_gsm8k_llama3b,trace_length,1,1,0.15694398503079052,1
lapeigvals_gsm8k_llama3b,spectral_entropy,-1,1,0.035094098366018824,0
lapeigvals_gsm8k_llama3b,low_band_power,-1,1,0.12399110010197234,0
lapeigvals_gsm8k_llama3b,high_band_power,-1,-1,-0.07673914200061427,1
lapeigvals_gsm8k_llama3b,hl_ratio,-1,-1,-0.08859867319994616,1
lapeigvals_gsm8k_llama3b,dominant_freq,-1,-1,-0.03998718448246568,1
lapeigvals_gsm8k_llama3b,spectral_centroid,-1,-1,-0.1613812794863088,1
lapeigvals_gsm8k_llama3b,stft_max_high_power,-1,1,0.0556181063890083,0
lapeigvals_gsm8k_llama3b,stft_spectral_entropy,-1,-1,-0.06311187425847817,1
lapeigvals_gsm8k_llama3b,rpdi,-1,1,0.12423273515031497,0
lapeigvals_gsm8k_llama3b,sw_var_peak,-1,1,0.19804271017036676,0
lapeigvals_gsm8k_llama3b,pe_mean,-1,-1,-0.004063413897049846,1
lapeigvals_gsm8k_llama3b,hurst_exponent,1,1,0.07752672569981156,1
lapeigvals_gsm8k_llama3b,cusum_max,-1,1,0.20771459293975977,0
lapeigvals_gsm8k_llama3b,cusum_shift_idx,1,1,0.08255845141960547,1
lapeigvals_gsm8k_llama3b,epr_spilled,1,1,0.21433129835728343,1
lapeigvals_gsm8k_llama3b,sw_var_peak_spilled,1,1,0.15767285348457952,1
lapeigvals_gsm8k_llama3b,cusum_max_spilled,1,1,0.21462297529951024,1
lapeigvals_gsm8k_llama3b,min_spilled,1,1,0.06786070449723594,1
lapeigvals_gsm8k_llama3b,epr_energy,-1,-1,-0.23555580522482344,1
lapeigvals_gsm8k_llama3b,min_energy,-1,-1,-0.19202283003109724,1
lapeigvals_gsm8k_llama3b,sw_var_peak_energy,-1,1,0.003767065727139994,0
lapeigvals_gsm8k_llama3b,cusum_max_energy,-1,1,0.21350006086648926,0
lapeigvals_gsm8k_llama3b,mean_top1_logprob,1,-1,-0.2690237029384735,0
lapeigvals_gsm8k_llama3b,logprob_margin,1,-1,-0.21739081108241215,0
lapeigvals_gsm8k_llama3b,mean_logprob_entropy,-1,1,0.2167734996784964,0
lapeigvals_gsm8k_llama3b,varentropy,-1,1,0.20965028404450464,0
lapeigvals_gsm8k_llama3b,renyi_entropy_2,-1,1,0.21657780636887827,0
lapeigvals_gsm8k_llama3b,topk_tail_mass,-1,1,0.22238381944340851,0
lapeigvals_gsm8k_llama8b,epr,-1,-1,0.19419018372154256,1
lapeigvals_gsm8k_llama8b,trace_length,1,-1,0.18391539315656827,0
lapeigvals_gsm8k_llama8b,spectral_entropy,-1,-1,0.0330047962250162,1
lapeigvals_gsm8k_llama8b,low_band_power,-1,-1,0.09530101825894025,1
lapeigvals_gsm8k_llama8b,high_band_power,-1,1,-0.06933433170987639,0
lapeigvals_gsm8k_llama8b,hl_ratio,-1,1,-0.06939362838224448,0
lapeigvals_gsm8k_llama8b,dominant_freq,-1,1,-0.02061015278057787,0
lapeigvals_gsm8k_llama8b,spectral_centroid,-1,1,-0.13937484646286752,0
lapeigvals_gsm8k_llama8b,stft_max_high_power,-1,-1,0.04672451446466684,1
lapeigvals_gsm8k_llama8b,stft_spectral_entropy,-1,1,-0.07600931704946494,0
lapeigvals_gsm8k_llama8b,rpdi,-1,-1,0.09002998305591997,1
lapeigvals_gsm8k_llama8b,sw_var_peak,-1,-1,0.13953111122362433,1
lapeigvals_gsm8k_llama8b,pe_mean,-1,1,-0.0212454726710171,0
lapeigvals_gsm8k_llama8b,hurst_exponent,1,-1,0.06549743110391233,0
lapeigvals_gsm8k_llama8b,cusum_max,-1,-1,0.20216592961519758,1
lapeigvals_gsm8k_llama8b,cusum_shift_idx,1,-1,0.017507125507283984,0
lapeigvals_gsm8k_llama8b,epr_spilled,1,-1,0.19737913921610034,0
lapeigvals_gsm8k_llama8b,sw_var_peak_spilled,1,-1,0.11300472657988613,0
lapeigvals_gsm8k_llama8b,cusum_max_spilled,1,-1,0.20076288177617674,0
lapeigvals_gsm8k_llama8b,epr_energy,-1,1,-0.2155831352044468,0
lapeigvals_gsm8k_llama8b,min_energy,-1,1,-0.20402668953704592,0
lapeigvals_gsm8k_llama8b,sw_var_peak_energy,-1,-1,0.013534682574614659,1
lapeigvals_gsm8k_llama8b,cusum_max_energy,-1,-1,0.20455374069973728,1
lapeigvals_gsm8k_llama8b,mean_top1_logprob,1,1,-0.2610458748848723,1
lapeigvals_gsm8k_llama8b,logprob_margin,1,1,-0.19686999248937662,1
lapeigvals_gsm8k_llama8b,mean_logprob_entropy,-1,-1,0.2002893108689125,1
lapeigvals_gsm8k_llama8b,varentropy,-1,-1,0.18095014566495918,1
lapeigvals_gsm8k_llama8b,renyi_entropy_2,-1,-1,0.20240769494967048,1
lapeigvals_gsm8k_llama8b,topk_tail_mass,-1,-1,0.212681173632144,1
lapeigvals_gsm8k_mistral24b,epr,-1,1,0.21825489603119286,0
lapeigvals_gsm8k_mistral24b,trace_length,1,1,0.11267972838773002,1
lapeigvals_gsm8k_mistral24b,spectral_entropy,-1,-1,-0.03792101533652394,1
lapeigvals_gsm8k_mistral24b,low_band_power,-1,1,0.1258777750537252,0
lapeigvals_gsm8k_mistral24b,high_band_power,-1,-1,-0.08636815428454639,1
