feature,n_cells,oriented_auroc,n_cells_below_half
epr_spilled,25,0.2768053518550957,25
cusum_max_spilled,25,0.2804568222228719,25
epr_energy,25,0.3103261948908104,22
trace_length,20,0.3115439553933458,20
min_energy,25,0.3128090762331748,24
sw_var_peak_spilled,25,0.33508701396947793,25
spectral_centroid,25,0.3481206511173241,25
hl_ratio,25,0.35639459052720207,23
dominant_freq,23,0.38214227500006814,22
high_band_power,25,0.3899908035897026,22
hurst_exponent,25,0.39077912625813804,25
min_spilled,11,0.4288689229485905,8
stft_spectral_entropy,20,0.46199746059670926,12
cusum_shift_idx,25,0.47076647035032204,18
pe_mean,25,0.49935409532183966,13
sw_var_peak_energy,25,0.547827763613821,8
stft_max_high_power,20,0.5567928495647377,1
rpdi,25,0.5978908662590748,5
spectral_entropy,25,0.6086003637177775,4
low_band_power,25,0.6420758998625502,1
cusum_max_energy,25,0.672331011620406,0
varentropy,25,0.7090987722960034,1
cusum_max,25,0.7191143457977706,0
sw_var_peak,25,0.7268178077789789,0
logprob_margin,24,0.7285043560166559,0
mean_top1_logprob,25,0.7288628737213717,0
renyi_entropy_2,25,0.7308998147409576,0
epr,25,0.7335644832090206,0
mean_logprob_entropy,25,0.7347412876523955,0
topk_tail_mass,25,0.7453328244723291,0
