suite,method,display_name,pb_all8,pb_q4,pb_q8,prm_within,prm_pooled,prmscore_q08,valid_answers,prm_within_n,coverage,pb_all8_conditional
variance,b12_variance_separate_logit,"Gaussian fusion, separate state variances, 12 features, logit",0.21091989330855065,0.20669991014382627,0.2151398764732751,0.6985964155873232,0.6775332403185567,0.5894630090104976,13769,6030,1.0,0.21091989330855065
variance,b12_variance_separate_posterior,"Gaussian fusion, separate state variances, 12 features, posterior",0.35439761228724453,0.3618785704668197,0.34691665410766936,0.7375118019834517,0.7150645444384164,0.6330786258240821,13769,6030,1.0,0.35439761228724453
variance,b12_variance_shared_logit,"Gaussian fusion, shared state variance, 12 features, logit",0.3618171619289084,0.3687964875080008,0.35483783634981597,0.747255519484499,0.7060758281224455,0.6177751510634185,13769,6030,1.0,0.3618171619289084
variance,b12_variance_shared_posterior,"Gaussian fusion, shared state variance, 12 features, posterior",0.3681062471884333,0.3784424113616961,0.3577700830151705,0.7393573694074181,0.7105224815050455,0.628348946818236,13769,6030,1.0,0.3681062471884333
variance,b6_variance_separate_logit,"Gaussian fusion, separate state variances, 6 features, logit",0.18755568236605719,0.18990899659943522,0.18520236813267912,0.6581089262144957,0.6386793642216156,0.5469971289181329,13769,6030,1.0,0.18755568236605719
variance,b6_variance_separate_posterior,"Gaussian fusion, separate state variances, 6 features, posterior",0.3608335489551655,0.3669855059212051,0.35468159198912586,0.737465680576831,0.7000049478360639,0.624875062451754,13769,6030,1.0,0.3608335489551655
variance,b6_variance_shared_logit,"Gaussian fusion, shared state variance, 6 features, logit",0.3564245282114417,0.3656660574360605,0.3471829989868228,0.7407324940111745,0.701221860483078,0.6165512463274511,13769,6030,1.0,0.3564245282114417
variance,b6_variance_shared_posterior,"Gaussian fusion, shared state variance, 6 features, posterior",0.3580809638147995,0.3688449836804627,0.34731694394913626,0.7322993054177874,0.7044242554943232,0.6250923253127447,13769,6030,1.0,0.3580809638147995
variance,diagonal__old,"RBM6 with shared diagonal variance, previous experiment",0.35806949103323005,0.36788322126251166,0.3482557608039484,0.7330448590587003,0.7047273028297086,0.6253013416428403,13769,6030,1.0,0.35806949103323005
variance,entropy__old,"Token entropy, saved reference",0.35444376642134146,0.3639529013997512,0.3449346314429317,0.7301113611124386,0.7026639408146143,0.625425539209566,13769,6030,1.0,0.35444376642134146
variance,initial12__old,"RBM12, before training, posterior",0.3629459417341435,0.3714627820322608,0.3544291014360264,0.7463248825565488,0.6901095815877019,0.6053132074697835,13769,6030,1.0,0.3629459417341435
