label,classification,panel,pb_all8_pct,pb_all8_conditional_pct,coverage,prm_within,prm_pooled,prmscore_q08,valid_answers,source,sha256
Token entropy (retained reference),simple reference,answer_local,35.444376642134145,35.444376642134145,1.0,0.7301113611124386,0.7026639408146143,0.625425539209566,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-logit-readout-v1\results\rbm_logit_readout_v1\METRICS.json,31f07f242e5a3d858ed1fd108083664a4aa20dcf6bb47558eb8572f32de8bcd5
Varentropy15 raw,simple reference,answer_local,35.960987290405434,35.960987290405434,1.0,0.7377863024015934,0.710137783099181,0.6257812284738609,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-logit-readout-v1\results\rbm_logit_readout_v1\METRICS.json,31f07f242e5a3d858ed1fd108083664a4aa20dcf6bb47558eb8572f32de8bcd5
Varentropy50 raw,simple reference,answer_local,35.67552412698325,35.67552412698325,1.0,0.742464548435578,0.7157833866814454,0.6327768738968429,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-logit-readout-v1\results\rbm_logit_readout_v1\METRICS.json,31f07f242e5a3d858ed1fd108083664a4aa20dcf6bb47558eb8572f32de8bcd5
"Varentropy15 contributions, equal",fixed fusion,answer_local,35.598043643273556,35.598043643273556,1.0,0.746980350290861,0.6999879034964627,0.6128118227013558,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-logit-readout-v1\results\rbm_logit_readout_v1\METRICS.json,31f07f242e5a3d858ed1fd108083664a4aa20dcf6bb47558eb8572f32de8bcd5
"Varentropy15 contributions, IU-PCR",learned fusion,answer_local,35.34983585022531,35.34983585022531,1.0,0.74682374405604,0.710261309641098,0.6226885909285921,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-logit-readout-v1\results\rbm_logit_readout_v1\METRICS.json,31f07f242e5a3d858ed1fd108083664a4aa20dcf6bb47558eb8572f32de8bcd5
Longest-step control,simple control,simple_control,33.69435830708854,33.69435830708854,1.0,0.6181358410980654,0.5861989132220188,0.5278777173269932,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-logit-readout-v1\results\rbm_logit_readout_v1\METRICS.json,31f07f242e5a3d858ed1fd108083664a4aa20dcf6bb47558eb8572f32de8bcd5
Random-step control,simple control,simple_control,20.275017613612,20.275017613612,1.0,0.49847952604800216,0.5015348181277717,0.4979413313988752,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-logit-readout-v1\results\rbm_logit_readout_v1\METRICS.json,31f07f242e5a3d858ed1fd108083664a4aa20dcf6bb47558eb8572f32de8bcd5
"RBM6 (order-3 bank), posterior",learned fusion,answer_local,36.20168449360268,36.20168449360268,1.0,0.7359819427631672,0.7081098773075334,0.6307492926682718,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-logit-readout-v1\results\rbm_logit_readout_v1\METRICS.json,31f07f242e5a3d858ed1fd108083664a4aa20dcf6bb47558eb8572f32de8bcd5
RBM6 before training,fixed fusion,answer_local,35.966210065316105,35.966210065316105,1.0,0.744067528910734,0.6950464031735148,0.6130847986432351,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-logit-readout-v1\results\rbm_logit_readout_v1\METRICS.json,31f07f242e5a3d858ed1fd108083664a4aa20dcf6bb47558eb8572f32de8bcd5
"RBM12 (order-6 bank), logit",learned fusion,answer_local,36.27123083012945,36.27123083012945,1.0,0.7452044991713739,0.7058494397346221,0.622215135338216,13769,C:\Users\omris\TAU\hallucination_detection\.worktrees\rbm-logit-readout-v1\results\rbm_logit_readout_v1\METRICS.json,31f07f242e5a3d858ed1fd108083664a4aa20dcf6bb47558eb8572f32de8bcd5
