version,domain,method,delta_vs_family_nrm_pp,ci_low_pp,ci_high_pp
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,atomic_projector_invabs,-0.9438119294216939,-1.6543317091762857,-0.17358721732452342
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,atomic_projector_equal,-1.3281844212287994,-2.0734486423170067,-0.4600290767902063
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,atomic_closest_one,-1.273177162585598,-2.0146339084609552,-0.4158682735619744
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,learned_partition,-1.0176810850433844,-1.8216306568687997,-0.18760951320811933
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,refined_partition,-0.24375230458038277,-0.5961445622031989,0.07758183377015047
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,coarsened_partition,-1.216589886373145,-2.474911722499159,-0.24518534878423676
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,random_partition_mean,-0.45935643154581973,-0.880805441960564,-0.04027083398914694
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,atomic_projector_invabs,-2.686288074384749,-3.213912995890716,-2.1586631528787814
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,atomic_projector_equal,-2.7480167263832564,-3.214947835806514,-2.281085616959999
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,atomic_closest_one,-2.854892234989376,-3.247025040604956,-2.4627594293737953
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,learned_partition,-2.6979003305834084,-3.1676520960674166,-2.354922494295228
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,refined_partition,-1.5033861329223601,-1.9767316622613635,-0.9884075399868297
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,coarsened_partition,-1.2458121913683617,-2.2613175961374967,-0.23134418819663605
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,random_partition_mean,-1.4438562698977142,-1.8357450183853459,-1.0599227428619018
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,atomic_projector_invabs,-1.8619155775873808,-2.6645201735560966,-0.877858818942008
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,atomic_projector_equal,-2.0557171872036246,-2.7179154213795504,-1.1269533501474553
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,atomic_closest_one,-2.2850817494147204,-2.7346373318400286,-1.4431453791194218
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,learned_partition,-1.910562079812246,-2.341331264288829,-1.4005057254892344
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,refined_partition,-0.8063948516880872,-1.0253831437609773,-0.5629335581504178
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,coarsened_partition,-0.8097349365910278,-1.7423089464060544,-0.05669692725103481
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_qwen,random_partition_mean,-0.5785831828068827,-0.6690204071721884,-0.45427356829732257
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,atomic_projector_invabs,-5.52597190626638,-9.005248845886305,-2.0466949666464562
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,atomic_projector_equal,-5.650026881414261,-9.255043318788337,-2.045010444040185
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,atomic_closest_one,-5.637310269735707,-9.296148738379816,-1.978471801091597
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,learned_partition,-3.54381304280314,-5.553025991272998,-1.5346000943332827
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,refined_partition,-1.0184455896513678,-1.425409473218231,-0.6114817060845046
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,coarsened_partition,-3.4624256974048198,-5.354455195092633,-1.5703961997170057
atomic-nrm-retrospective-controls-v1-2026-08-13,semgrad,random_partition_mean,-1.9839144528856656,-3.2520331372920985,-0.7157957684792327
