version,domain,random_partition,equal_group_delta_pp,beats_iu,matches_or_beats_family_nrm
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,31,0.006506067675433609,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,32,0.008925152464961318,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,33,0.18988578718749516,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,34,-0.37667953128222853,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,35,-0.10662398019795744,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,36,0.5137689697122437,True,True
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,37,-0.07570851672054532,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,38,-0.23293553741076173,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,39,-0.05588463111251964,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,40,0.008042904158590825,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,41,0.1488245983667467,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,42,-0.13222518985164863,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,43,-0.33689043624894877,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,44,-0.32192460901883074,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,45,0.0633228503221049,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,46,-0.2839947512433235,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,47,-0.4521344141986057,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,48,-0.6808988478951922,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,original_23,49,0.0995167139246846,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,0,-0.0029256773169422656,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,1,0.9325250735634394,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,2,0.21501120871885993,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,3,0.4110040133599724,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,4,0.5260768216557299,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,5,-0.15743483571894756,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,6,0.26615721237927825,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,7,0.2423601533560249,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,8,0.4003439089570987,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,9,0.35549291218697765,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,10,-1.3736977198004348,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,11,-0.6046104017149556,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,12,-1.8066171929093489,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,13,0.23159872482303723,True,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,14,-0.6495365254310687,False,False
atomic-nrm-retrospective-controls-v1-2026-08-13,processbench_llama,15,0.7504207766822368,True,False
