size,grouping_on,grouping_off,difference_pp,test_sets_better_without_grouping,test_sets_total,wilcoxon_p
3,0.6937772663449132,0.7029759918856108,0.9198725540697561,22,25,1.9669532775878906e-06
4,0.7108084233156882,0.7173691014445062,0.6560678128817998,19,25,2.664327621459961e-05
5,0.7149917218315416,0.7203594359064237,0.5367714074882124,18,25,0.002025127410888672
6,0.7228665251413989,0.7272442740510737,0.43777489096747946,21,25,0.00012022256851196289
8,0.7346971403544541,0.7377434465688134,0.30463062143593067,20,25,0.002255260944366455
10,0.7350864546090626,0.7388455098592306,0.3759055250167953,19,25,0.0010271072387695312
12,0.7374543497813059,0.7435181897705525,0.6063839989246644,20,25,0.001625359058380127
15,0.7397069279460748,0.7446528279909017,0.49459000448268675,17,25,0.04215019941329956
18,0.7428262521308959,0.7498108890829142,0.698463695201823,17,25,0.023649930953979492
21,0.7441949516799171,0.7504697916154545,0.6274839935537346,17,25,0.04215019941329956
24,0.7472299813956279,0.7518933708321586,0.4663389436530663,16,25,0.029898791101543674
27,0.7435264953218863,0.7530244910025652,0.9497995680678883,17,25,0.017312347888946533
30,0.7349380157019123,0.7468092213254823,1.1871205623570025,5,6,0.15625
