bootstrap_draws,bootstrap_seed,ci_high,ci_low,delta,effect_id,evidence_status,losses,metric_id,n_groups,status,ties,wins,worst_unit_delta
20000,2026082901,-0.006984802202460412,-0.06666876234842496,-0.036155118557780114,P0_S1_VS_S0_POOLING_REGISTEREDGLOBAL,RETROSPECTIVE,4,macro_f1,635,COMPLETE,0,0,-0.09208456432490503
20000,2026082901,-0.016556735251304504,-0.08132301238037459,-0.04886162153449389,P0_S1_VS_S0_POOLING_REGISTEREDGLOBAL,RETROSPECTIVE,4,exact_error,635,COMPLETE,0,0,-0.15000000000000002
20000,2026082901,0.07775861615966252,0.027614535282538023,0.051808058058058076,P0_S1_VS_S0_POOLING_REGISTEREDGLOBAL,RETROSPECTIVE,1,clean_abstention,635,COMPLETE,0,3,-0.05405405405405406
20000,2026082901,-0.025843186908727615,-0.08438032339305286,-0.05475208646751199,P0_S1_VS_S0_POOLING_REGISTEREDGLOBAL,RETROSPECTIVE,4,within_one,635,COMPLETE,0,0,-0.099290780141844
20000,2026082901,0.00525866350827324,-0.00871467835648367,-0.0014822458503372382,P0_S2A_VS_S1_DETECTOR_STEP_MAX,RETROSPECTIVE,2,macro_f1,635,COMPLETE,1,1,-0.013490784822629609
20000,2026082901,0.008263692295577873,-0.0012565871537979023,0.003201339637509855,P0_S2A_VS_S1_DETECTOR_STEP_MAX,RETROSPECTIVE,0,exact_error,635,COMPLETE,2,2,0.0
20000,2026082901,-0.02171650406760252,-0.06541774191302986,-0.042446613279946616,P0_S2A_VS_S1_DETECTOR_STEP_MAX,RETROSPECTIVE,2,clean_abstention,635,COMPLETE,1,1,-0.15555555555555556
20000,2026082901,0.02127993059645836,0.005292749484365179,0.012837148076509777,P0_S2A_VS_S1_DETECTOR_STEP_MAX,RETROSPECTIVE,0,within_one,635,COMPLETE,1,3,0.0
20000,2026082901,0.06502150221851657,0.006021442571549963,0.03468920934168793,P0_S2I_VS_S2A_ADJACENT_POOLING,RETROSPECTIVE,0,macro_f1,635,COMPLETE,0,4,-0.016844126374585378
20000,2026082901,0.07659004682255385,0.011452981243539752,0.04363739343792536,P0_S2I_VS_S2A_ADJACENT_POOLING,RETROSPECTIVE,0,exact_error,635,COMPLETE,0,4,0.009090909090909094
20000,2026082901,0.009346671871508769,-0.03620172455240797,-0.01315899232565898,P0_S2I_VS_S2A_ADJACENT_POOLING,RETROSPECTIVE,2,clean_abstention,635,COMPLETE,0,2,-0.2222222222222222
20000,2026082901,0.0720146689587956,0.013218731812494658,0.042185820975714605,P0_S2I_VS_S2A_ADJACENT_POOLING,RETROSPECTIVE,0,within_one,635,COMPLETE,0,4,0.009090909090909094
20000,2026082901,0.0021306149918468758,-0.008574230907836676,-0.0029481550664294254,P0_S2I_VS_S0_DETECTOR_TOP5,RETROSPECTIVE,3,macro_f1,635,COMPLETE,0,1,-0.014787586714961054
20000,2026082901,0.0022292285334097966,-0.0065186373122772985,-0.0020228884590586735,P0_S2I_VS_S0_DETECTOR_TOP5,RETROSPECTIVE,2,exact_error,635,COMPLETE,2,0,-0.0092592592592593
20000,2026082901,0.009471715283114043,-0.017294606970250582,-0.0037975475475475196,P0_S2I_VS_S0_DETECTOR_TOP5,RETROSPECTIVE,2,clean_abstention,635,COMPLETE,0,2,-0.03703703703703709
20000,2026082901,0.006682271080368909,-0.0059304383002034364,0.0002708825847123897,P0_S2I_VS_S0_DETECTOR_TOP5,RETROSPECTIVE,1,within_one,635,COMPLETE,2,1,-0.009259259259259245
20000,2026082901,-0.008925654074190756,-0.06776496164514063,-0.03763736440811735,P0_S2A_VS_S0_CUMULATIVE_ANCHOR,RETROSPECTIVE,4,macro_f1,635,COMPLETE,0,0,-0.09208456432490503
20000,2026082901,-0.013260845965044765,-0.07835946486131963,-0.04566028189698403,P0_S2A_VS_S0_CUMULATIVE_ANCHOR,RETROSPECTIVE,4,exact_error,635,COMPLETE,0,0,-0.15000000000000002
20000,2026082901,0.031103801437336286,-0.011316857014105414,0.00936144477811146,P0_S2A_VS_S0_CUMULATIVE_ANCHOR,RETROSPECTIVE,3,clean_abstention,635,COMPLETE,0,1,-0.06666666666666671
20000,2026082901,-0.012673193940285935,-0.07187750157117534,-0.041914938391002216,P0_S2A_VS_S0_CUMULATIVE_ANCHOR,RETROSPECTIVE,4,within_one,635,COMPLETE,0,0,-0.07500000000000007
20000,2026082901,0.009486362221551274,-0.006818578872870391,0.0014659092160921872,P0_REDUCER_X_DETECTOR_INTERACTION,RETROSPECTIVE,1,macro_f1,635,COMPLETE,0,3,-0.0130343022473709
20000,2026082901,0.011145341706724573,-9.405841479793522e-05,0.0052242280965685214,P0_REDUCER_X_DETECTOR_INTERACTION,RETROSPECTIVE,0,exact_error,635,COMPLETE,1,3,0.0
20000,2026082901,-0.01333277000703658,-0.06670798047512988,-0.038649065732399096,P0_REDUCER_X_DETECTOR_INTERACTION,RETROSPECTIVE,3,clean_abstention,635,COMPLETE,0,1,-0.15555555555555556
20000,2026082901,0.02132550113252238,0.004402549166610509,0.012566265491797388,P0_REDUCER_X_DETECTOR_INTERACTION,RETROSPECTIVE,0,within_one,635,COMPLETE,1,3,0.0
