cell,n_splits,m,k,n_keep_deployed_halfA,auroc_deployed,auroc_greedy,lsml_K,lsml_degenerate,n_distinct_cluster_size,dufs_n_open,lsml_K_eigen,lsml_degenerate_eigen,lsml_K_complete,lsml_degenerate_complete,auroc_dufs_gate_prune,overlap_dufs_gate_prune,frac_inside_dufs_gate,cond_null_dufs_gate_prune,auroc_pc_leverage_prune,overlap_pc_leverage_prune,frac_inside_pc_leverage,cond_null_pc_leverage_prune,auroc_redundancy_prune,overlap_redundancy_prune,frac_inside_redundancy,cond_null_redundancy_prune,auroc_cluster_size_prune,overlap_cluster_size_prune,frac_inside_cluster_size,cond_null_cluster_size_prune,auroc_pairfit_resid_prune,overlap_pairfit_resid_prune,frac_inside_pairfit_resid,cond_null_pairfit_resid_prune,auroc_cluster_rr_prune,overlap_cluster_rr_prune,frac_inside_cluster_rr,cond_null_cluster_rr_prune,auroc_rho_prune,overlap_rho_prune,frac_inside_rho,cond_null_rho_prune,auroc_truecorr_prune,overlap_truecorr_prune,frac_inside_truecorr,cond_null_truecorr_prune,auroc_cluster_size_eigen_prune,auroc_cluster_size_complete_prune,auroc_cluster_rr_eigen_prune,auroc_cluster_rr_complete_prune,n_distinct_null_compositions,auroc_random_prune,n_random_prune_failed
ars_gsm8k_r1distill8b,5,30.0,11.4,16.6,0.7273944340148285,0.781263424668899,7.2,0.0,4.8,12.0,5.4,0.0,5.4,0.0,0.6719945619323069,0.38272727272727275,1.0,0.37794090909090905,0.6679793975973751,0.39939393939393947,1.0,0.37794090909090905,0.7395690728823732,0.4542424242424243,1.0,0.37794090909090905,0.7331056529033403,0.39606060606060606,1.0,0.37794090909090905,0.7374840136391614,0.39939393939393947,1.0,0.37794090909090905,0.7314666410013941,0.37787878787878787,1.0,0.37794090909090905,0.695126896610108,0.27636363636363637,1.0,0.37794090909090905,0.6731218672271717,0.3478787878787879,1.0,0.37794090909090905,0.7358972774156338,0.7358972774156338,0.7203226859767885,0.7203226859767885,1.0,0.7113472343793796,0.0
epr_triviaqa_mistral24b,5,28.0,14.8,21.8,0.7248066116360725,0.720436425974734,7.8,0.0,4.8,19.2,3.6,0.0,5.0,0.0,0.7231846411476696,0.5938345864661654,1.0,0.6433414661654134,0.7236596333663178,0.6028822055137845,1.0,0.6433414661654134,0.6991819113670541,0.6634085213032581,1.0,0.6433414661654134,0.7006820747241626,0.6234085213032581,1.0,0.6433414661654134,0.7173106882207294,0.6195488721804511,1.0,0.6433414661654134,0.7231387889685672,0.6410275689223057,1.0,0.6433414661654134,0.7255901569639903,0.5995488721804512,1.0,0.6433414661654134,0.7250800453303551,0.6643609022556392,1.0,0.6433414661654134,0.7134713555395703,0.7059134763763394,0.7173549293422056,0.7203879135008411,1.0,0.7213547778248319,0.0
internalstates_gsm8k_qwen25_7b,5,29.0,7.8,21.0,0.7097291380399277,0.7513393891858036,7.4,0.0,5.6,14.8,6.6,0.0,5.6,0.0,0.6334208263112847,0.14246031746031745,1.0,0.28530694444444443,0.6250448557172901,0.09523809523809523,1.0,0.28530694444444443,0.720920204917128,0.47738095238095235,1.0,0.28530694444444443,0.6832556823959683,0.3396825396825397,1.0,0.28530694444444443,0.7270967022526589,0.2702380952380952,1.0,0.28530694444444443,0.6940797391821703,0.2119047619047619,1.0,0.28530694444444443,0.6491339254019899,0.073015873015873,1.0,0.28530694444444443,0.7167976487491896,0.5817460317460318,1.0,0.28530694444444443,0.7010946603284758,0.6884088830524112,0.688391180253023,0.6870298426871908,1.0,0.6957126814225052,0.0
lapeigvals_gsm8k_llama3b,5,30.0,14.6,22.0,0.6905998613693145,0.7052819150948595,6.6,0.0,4.8,16.8,2.8,0.0,4.0,0.0,0.7042457441231075,0.7305693815987934,1.0,0.6452797605580693,0.7038724354740895,0.7302828054298642,1.0,0.6452797605580693,0.6548629217791617,0.5925867269984917,1.0,0.6452797605580693,0.6566140039275324,0.6204374057315234,1.0,0.6452797605580693,0.6633779614242481,0.6342194570135746,1.0,0.6452797605580693,0.6724997229862032,0.6584200603318251,1.0,0.6452797605580693,0.7018801020739017,0.6893514328808447,1.0,0.6452797605580693,0.7035540597514667,0.7302828054298642,1.0,0.6452797605580693,0.6842618974986394,0.6774997515188341,0.6961922411800736,0.6963751602553672,1.0,0.6891890577864528,0.0
lapeigvals_gsm8k_llama8b,5,29.0,14.2,22.4,0.81419494988486,0.8148361892707385,8.0,0.0,5.4,20.0,2.8,0.0,6.0,0.0,0.801107102791914,0.5165336134453782,1.0,0.5613650210084035,0.8021042722808177,0.5140126050420168,1.0,0.5613650210084035,0.810953798678953,0.6358193277310924,1.0,0.5613650210084035,0.8087260853599669,0.6383403361344537,1.0,0.5613650210084035,0.8166254112909301,0.7068697478991596,1.0,0.5613650210084035,0.8146644063603393,0.6051050420168067,1.0,0.5613650210084035,0.8120172255438742,0.5447268907563025,1.0,0.5613650210084035,0.810893981957317,0.5197268907563025,1.0,0.5613650210084035,0.810229493374041,0.8076415591235293,0.8075287327454079,0.8127582575438355,1.0,0.8127087916977566,0.0
lapeigvals_gsm8k_mistral24b,5,30.0,13.4,21.0,0.8536765081421077,0.8627113653565882,7.4,0.0,5.0,20.0,2.0,0.0,6.8,0.0,0.8534763534802845,0.5967032967032967,1.0,0.5243791208791209,0.8525646889900489,0.5956043956043956,1.0,0.5243791208791209,0.8179502413575603,0.4153846153846154,1.0,0.5243791208791209,0.8266637714167088,0.49010989010989015,1.0,0.5243791208791209,0.8269242804124989,0.3549450549450549,1.0,0.5243791208791209,0.8461450515516764,0.5043956043956045,1.0,0.5243791208791209,0.850183605716313,0.5813186813186814,1.0,0.5243791208791209,0.8602370397788366,0.6406593406593406,1.0,0.5243791208791209,0.855994995245117,0.8292872521913195,0.8534763534802845,0.8447400594780697,1.0,0.8468716232367323,0.0
lapeigvals_gsm8k_nemo,5,29.0,11.6,20.6,0.799855688030962,0.8222193392008712,6.6,0.0,4.4,14.2,3.8,0.0,3.6,0.0,0.7818685042022364,0.39468531468531476,1.0,0.37862804195804195,0.7837411796405019,0.3593006993006993,1.0,0.37862804195804195,0.7454956288083816,0.39188811188811185,1.0,0.37862804195804195,0.7497494838156574,0.33832167832167837,1.0,0.37862804195804195,0.7835114467352616,0.37006993006993005,1.0,0.37862804195804195,0.7823713824508471,0.301958041958042,1.0,0.37862804195804195,0.7812594919890195,0.37006993006993005,1.0,0.37862804195804195,0.7849269272794283,0.4100699300699301,1.0,0.37862804195804195,0.7603790771931476,0.7674795725007597,0.7798892409058003,0.7841840792791058,1.0,0.7903049497377113,0.0
lapeigvals_gsm8k_phi35,5,29.0,14.8,18.8,0.7978689222192112,0.7995482070722026,7.0,0.0,4.8,15.0,6.0,0.0,5.4,0.0,0.7862285650959364,0.5854792266556973,1.0,0.6046947398190045,0.7897759908274006,0.6097439325380501,1.0,0.6046947398190045,0.7830620415049411,0.5904257507198684,1.0,0.6046947398190045,0.7855464118062819,0.6155131633072809,1.0,0.6046947398190045,0.7804137138533627,0.5847439325380501,1.0,0.6046947398190045,0.796329565757528,0.6469302756067462,1.0,0.6046947398190045,0.7869391238277188,0.590826820238585,1.0,0.6046947398190045,0.7867583707903191,0.6368932538050185,1.0,0.6046947398190045,0.7855320075138028,0.7855320075138028,0.7964220201490239,0.7953466742278721,1.0,0.7952585902836037,0.0
losnet_hotpotqa_mistral7b,5,29.0,9.6,22.0,0.5621505358986759,0.5650261205418546,7.6,0.0,5.0,12.4,4.4,0.0,4.2,0.0,0.5572076491473748,0.3796078431372549,1.0,0.39359627450980395,0.5529846913354689,0.3145098039215687,1.0,0.39359627450980395,0.5427014912363177,0.516078431372549,1.0,0.39359627450980395,0.5801200402527972,0.39294117647058824,1.0,0.39359627450980395,0.5762548943053932,0.3427450980392157,1.0,0.39359627450980395,0.5637059827406947,0.41803921568627445,1.0,0.39359627450980395,0.5611534304151451,0.28941176470588237,1.0,0.39359627450980395,0.5677626542497585,0.5580392156862746,1.0,0.39359627450980395,0.5309356266577108,0.5348281589191874,0.5489721204535305,0.5489721204535305,1.0,0.5540809636180339,0.0
math500_dsmath7b,5,30.0,14.0,23.4,0.786844680909791,0.7900295111712322,7.2,0.0,5.4,15.2,4.6,0.0,4.6,0.0,0.7920637576488226,0.5382309941520468,1.0,0.45832192982456144,0.7867023575370331,0.46245614035087723,1.0,0.45832192982456144,0.7337541150154733,0.46548245614035083,1.0,0.45832192982456144,0.7234655681805988,0.4529824561403508,1.0,0.45832192982456144,0.7762887028262677,0.3863157894736842,1.0,0.45832192982456144,0.7739959066606372,0.5021783625730993,1.0,0.45832192982456144,0.7952357684365906,0.39801169590643276,1.0,0.45832192982456144,0.7845716734114861,0.5519005847953217,1.0,0.45832192982456144,0.6867279340476375,0.6867279340476375,0.7852517781019038,0.7852517781019038,1.0,0.7760645556848178,0.0
