method,cell,answers,clean,erroneous,clean_accuracy,error_exact_accuracy,f1,valid_decisions
top10,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.3719806763285024,0.45648612808445355,400.0
top10,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.3961352657004831,0.4075721780750468,400.0
top10,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.2356902356902357,0.3328853509769461,1000.0
top10,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.25252525252525254,0.3268201098671859,1000.0
top10,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.2586989409984871,0.34789685163521694,1000.0
top10,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.2586989409984871,0.33346824637574507,1000.0
top10,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.25823451910408435,0.3420055208318435,1000.0
top10,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.2951251646903821,0.3545640805639178,1000.0
baseline,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.19806763285024154,0.296658309796579,400.0
baseline,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.16908212560386474,0.2410509310432786,400.0
baseline,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.1734006734006734,0.2655264013270716,1000.0
baseline,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.17845117845117844,0.2576208082322827,1000.0
baseline,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.07564296520423601,0.1324210990951225,1000.0
baseline,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.07110438729198185,0.12348800317271465,1000.0
baseline,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.09090909090909091,0.15413771320277952,1000.0
baseline,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.09090909090909091,0.15091678420310295,1000.0
pooled,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.19806763285024154,0.296658309796579,400.0
pooled,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.16908212560386474,0.2410509310432786,400.0
pooled,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.1734006734006734,0.2655264013270716,1000.0
pooled,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.17845117845117844,0.2576208082322827,1000.0
pooled,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.07564296520423601,0.1324210990951225,1000.0
pooled,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.07261724659606657,0.12576315594334728,1000.0
pooled,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.0922266139657444,0.1560273321884021,1000.0
pooled,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.09090909090909091,0.15091678420310295,1000.0
sliding_window,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.3188405797101449,0.4141347424042272,400.0
sliding_window,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.32367149758454106,0.3654791568455788,400.0
sliding_window,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.26262626262626265,0.3588789533697414,1000.0
sliding_window,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.2777777777777778,0.347247875877355,1000.0
sliding_window,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.25416036308623297,0.34376918354818914,1000.0
sliding_window,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.2723146747352496,0.34457226446101885,1000.0
sliding_window,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.2490118577075099,0.3338183239592608,1000.0
sliding_window,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.27009222661396576,0.3358648884533525,1000.0
graph_local,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.21739130434782608,0.31781432952327854,400.0
graph_local,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.178743961352657,0.25071105905972896,400.0
graph_local,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.18013468013468015,0.2733502904555098,1000.0
graph_local,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.1835016835016835,0.2628426304785603,1000.0
graph_local,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.0832072617246596,0.1438692098092643,1000.0
graph_local,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.07564296520423601,0.13027554506796452,1000.0
graph_local,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.09486166007905138,0.15978171896316506,1000.0
graph_local,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.09354413702239789,0.15452992148407305,1000.0
graph_local_shuffled,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.34782608695652173,0.43783005280844933,400.0
graph_local_shuffled,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.3719806763285024,0.3943973694195017,400.0
graph_local_shuffled,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.23737373737373738,0.334560985422921,1000.0
graph_local_shuffled,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.2558922558922559,0.32962672449591657,1000.0
