candidate,model,family,cell_id,n,f1,exact_error,clean_abstention,within_one
H0DET_H3LOC,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,76,0.5274725274725275,0.375,0.8888888888888888,0.5
H0DET_H3LOC,qwen3_8b,math,processbench_math_qwen3_8b,182,0.3682148852825965,0.25925925925925924,0.6351351351351351,0.4351851851851852
H0DET_H3LOC,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,191,0.3225806451612903,0.22727272727272727,0.5555555555555556,0.4909090909090909
H0DET_H3LOC,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,186,0.3517528223410576,0.2624113475177305,0.5333333333333333,0.48226950354609927
H0DET_H3LOC,llama31_8b,gsm8k,processbench_gsm8k_llama31_8b,76,0.3962264150943397,0.3,0.5833333333333334,0.525
H0DET_H3LOC,llama31_8b,math,processbench_math_llama31_8b,182,0.3953867028493894,0.28703703703703703,0.6351351351351351,0.5185185185185185
H0DET_H3LOC,llama31_8b,olympiadbench,processbench_olympiadbench_llama31_8b,191,0.32709186658864836,0.23636363636363636,0.5308641975308642,0.43636363636363634
H0DET_H3LOC,llama31_8b,omnimath,processbench_omnimath_llama31_8b,186,0.29258098223615464,0.19858156028368795,0.5555555555555556,0.41843971631205673
H0DET_HISTLOC,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,76,0.5517241379310346,0.4,0.8888888888888888,0.525
H0DET_HISTLOC,qwen3_8b,math,processbench_math_qwen3_8b,182,0.3682148852825965,0.25925925925925924,0.6351351351351351,0.4722222222222222
H0DET_HISTLOC,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,191,0.3225806451612903,0.22727272727272727,0.5555555555555556,0.4636363636363636
H0DET_HISTLOC,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,186,0.3321123321123321,0.24113475177304963,0.5333333333333333,0.48226950354609927
H0DET_HISTLOC,llama31_8b,gsm8k,processbench_gsm8k_llama31_8b,76,0.4375,0.35,0.5833333333333334,0.575
H0DET_HISTLOC,llama31_8b,math,processbench_math_llama31_8b,182,0.3953867028493894,0.28703703703703703,0.6351351351351351,0.5462962962962963
H0DET_HISTLOC,llama31_8b,olympiadbench,processbench_olympiadbench_llama31_8b,191,0.32709186658864836,0.23636363636363636,0.5308641975308642,0.44545454545454544
H0DET_HISTLOC,llama31_8b,omnimath,processbench_omnimath_llama31_8b,186,0.3002070393374741,0.20567375886524822,0.5555555555555556,0.4326241134751773
HISTDET_H0LOC,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,76,0.5263157894736842,0.5,0.5555555555555556,0.675
HISTDET_H0LOC,qwen3_8b,math,processbench_math_qwen3_8b,182,0.3750351419735733,0.26851851851851855,0.6216216216216216,0.4444444444444444
HISTDET_H0LOC,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,191,0.2808272430415176,0.19090909090909092,0.5308641975308642,0.41818181818181815
HISTDET_H0LOC,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,186,0.3363006923837784,0.24113475177304963,0.5555555555555556,0.4397163120567376
HISTDET_H0LOC,llama31_8b,gsm8k,processbench_gsm8k_llama31_8b,76,0.38449848024316113,0.275,0.6388888888888888,0.45
HISTDET_H0LOC,llama31_8b,math,processbench_math_llama31_8b,182,0.37045203969129,0.25925925925925924,0.6486486486486487,0.4444444444444444
HISTDET_H0LOC,llama31_8b,olympiadbench,processbench_olympiadbench_llama31_8b,191,0.32406671961874506,0.21818181818181817,0.6296296296296297,0.39090909090909093
HISTDET_H0LOC,llama31_8b,omnimath,processbench_omnimath_llama31_8b,186,0.29227557411273486,0.2127659574468085,0.4666666666666667,0.41134751773049644
HISTDET_H2LOC,qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,76,0.5263157894736842,0.5,0.5555555555555556,0.675
HISTDET_H2LOC,qwen3_8b,math,processbench_math_qwen3_8b,182,0.3839732888146911,0.2777777777777778,0.6216216216216216,0.4444444444444444
HISTDET_H2LOC,qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,191,0.3092598142043752,0.21818181818181817,0.5308641975308642,0.42727272727272725
HISTDET_H2LOC,qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,186,0.3498542274052478,0.2553191489361702,0.5555555555555556,0.46808510638297873
HISTDET_H2LOC,llama31_8b,gsm8k,processbench_gsm8k_llama31_8b,76,0.38449848024316113,0.275,0.6388888888888888,0.45
HISTDET_H2LOC,llama31_8b,math,processbench_math_llama31_8b,182,0.35115362971299946,0.24074074074074073,0.6486486486486487,0.46296296296296297
HISTDET_H2LOC,llama31_8b,olympiadbench,processbench_olympiadbench_llama31_8b,191,0.343701399688958,0.23636363636363636,0.6296296296296297,0.42727272727272725
