model,family,threshold,calibration_f1,n_calibration,n_audit
qwen3_8b,gsm8k,0.725303170939487,0.4222732214035511,171,76
qwen3_8b,math,0.5343499175772999,0.39490215340071866,409,182
qwen3_8b,olympiadbench,0.4504213959272031,0.3670775570066697,396,191
qwen3_8b,omnimath,0.36806409788659067,0.35513178015651703,403,186
llama31_8b,gsm8k,0.528747671973967,0.41208534496184396,171,76
llama31_8b,math,0.5267250544718325,0.3676470588235294,409,182
llama31_8b,olympiadbench,0.5256168903142737,0.3401874388026297,396,191
llama31_8b,omnimath,0.42395359517253794,0.3166484793851117,403,186
