contrast_id,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell,worst_cell_delta,bootstrap_draws,bootstrap_seed,interval,estimand
DETECTOR_X_LOCALIZER__f1,f1,-0.0036186715429665783,-0.012158626232524308,0.004362676172183829,2,2,4,processbench_gsm8k_qwen3_8b,-0.0242516104585071,2000,20260816,paired historical source-question grouped bootstrap,(H0DET_H3LOC-H0DET_HISTLOC)-(HISTDET_H3LOC-HISTDET_HISTLOC)
DETECTOR_X_LOCALIZER__exact_error,exact_error,-0.003990481051651229,-0.013226045505756833,0.0035386468608803803,1,4,3,processbench_gsm8k_qwen3_8b,-0.025000000000000022,2000,20260816,paired historical source-question grouped bootstrap,(H0DET_H3LOC-H0DET_HISTLOC)-(HISTDET_H3LOC-HISTDET_HISTLOC)
DETECTOR_X_LOCALIZER__clean_abstention,clean_abstention,0.0,0.0,0.0,0,8,0,processbench_gsm8k_llama31_8b,0.0,2000,20260816,paired historical source-question grouped bootstrap,(H0DET_H3LOC-H0DET_HISTLOC)-(HISTDET_H3LOC-HISTDET_HISTLOC)
DETECTOR_X_LOCALIZER__within_one,within_one,-0.005710697399527176,-0.014360099753801333,0.001359913229527842,2,2,4,processbench_gsm8k_qwen3_8b,-0.025000000000000022,2000,20260816,paired historical source-question grouped bootstrap,(H0DET_H3LOC-H0DET_HISTLOC)-(HISTDET_H3LOC-HISTDET_HISTLOC)
