delta,family,metric_id,n_groups
-0.05788478058490509,gsm8k,macro_f1,76
-0.0625,gsm8k,exact_error,76
-0.04166666666666674,gsm8k,clean_abstention,76
-0.0875,gsm8k,within_one,76
-0.019543496405916794,math,macro_f1,182
-0.013888888888888895,math,exact_error,182
-0.03378378378378383,math,clean_abstention,182
-2.7755575615628914e-17,math,within_one,182
-0.0019343030477266543,olympiadbench,macro_f1,191
0.004545454545454547,olympiadbench,exact_error,191
-0.06172839506172839,olympiadbench,clean_abstention,191
-0.009090909090909122,olympiadbench,within_one,191
-0.009008493841639056,omnimath,macro_f1,186
-0.010638297872340427,omnimath,exact_error,186
0.0333333333333333,omnimath,clean_abstention,186
0.0,omnimath,within_one,186
