calibration_threshold_uses_labels,family,head,labels_seen_during_curve_fit,locator_mismatches_vs_s2a,model,n_fit_traces,operator,representation,same_curve_as_locator
True,gsm8k,family6_level_curve_max,False,0,qwen3_8b,171,level,family6,True
True,math,family6_level_curve_max,False,0,qwen3_8b,409,level,family6,True
True,olympiadbench,family6_level_curve_max,False,0,qwen3_8b,396,level,family6,True
True,omnimath,family6_level_curve_max,False,0,qwen3_8b,403,level,family6,True
True,gsm8k,family6_level_curve_max,False,0,llama31_8b,171,level,family6,True
True,math,family6_level_curve_max,False,0,llama31_8b,409,level,family6,True
True,olympiadbench,family6_level_curve_max,False,0,llama31_8b,396,level,family6,True
True,omnimath,family6_level_curve_max,False,0,llama31_8b,403,level,family6,True
