contrast_id,primary,endpoint,delta,ci95_lo,ci95_hi,ci_adj_lo,ci_adj_hi,family_K,B,paired_groups
B20_lsml - B20_equal,True,prm_within_auc,0.007096486949523251,0.005068708445880058,0.009153099774370704,0.004352845307494737,0.009859986320042289,6.0,100000,707
B20_lsml - B20_equal,True,prmscore_answer_z_q80,0.003304509504597153,0.0011805403630575806,0.005447419192408222,0.00045806443304148846,0.006192454212667553,6.0,100000,707
B20_lsml - B11_lsml,True,prm_within_auc,-0.004212822175400532,-0.006825511091346437,-0.0016179751058897553,-0.007776400990056107,-0.0007187457502082935,6.0,100000,707
B20_lsml - B11_lsml,True,prmscore_answer_z_q80,-0.0026274802478124526,-0.0054103913428908855,0.00015456764948904305,-0.0063172487895308774,0.0011243848561027002,6.0,100000,707
B20_lsml - ct7,True,prm_within_auc,-0.012100193030298967,-0.014871931278633796,-0.009319999274763568,-0.015819883706794928,-0.008368646516007364,6.0,100000,707
B20_lsml - ct7,True,prmscore_answer_z_q80,-0.007272974724321202,-0.010460021324246598,-0.004109811528568408,-0.01158187791795111,-0.0030098544927191604,6.0,100000,707
B15_lsml - B11_lsml,False,prm_within_auc,-0.00428375070137077,-0.006343225527677035,-0.0022358836615936776,,,,100000,707
B15_lsml - B11_lsml,False,prmscore_answer_z_q80,-0.0024020594139799734,-0.004694247327085965,-0.00012393249322993462,,,,100000,707
B19_lsml - B15_lsml,False,prm_within_auc,-0.005929282693971749,-0.008898318564734364,-0.00295393272253561,,,,100000,707
B19_lsml - B15_lsml,False,prmscore_answer_z_q80,-0.008644973279863133,-0.011769499802285152,-0.005543941118171559,,,,100000,707
B20_lsml - B19_lsml,False,prm_within_auc,0.006000211219941987,0.003545703661570729,0.008457362713778865,,,,100000,707
B20_lsml - B19_lsml,False,prmscore_answer_z_q80,0.008419552446030654,0.005642569885652271,0.01123240499702972,,,,100000,707
B20_lsml - B20_group_equal,False,prm_within_auc,0.01082018165985188,0.008373338814953937,0.013245584311468356,,,,100000,707
B20_lsml - B20_group_equal,False,prmscore_answer_z_q80,0.006700943004430804,0.004019193501674867,0.009403987329073172,,,,100000,707
B11_lsml_replay4 - ct7,False,prm_within_auc,-0.0078655144252191,-0.011277173804702324,-0.0043952376594051995,,,,100000,707
B11_lsml_replay4 - ct7,False,prmscore_answer_z_q80,-0.0045495953952335855,-0.008267664699196566,-0.0008539296268359005,,,,100000,707
B11_lsml - ct7,False,prm_within_auc,-0.007887370854898434,-0.011305631926208136,-0.00441228317894779,,,,100000,707
B11_lsml - ct7,False,prmscore_answer_z_q80,-0.004645494476508749,-0.008349772232592437,-0.0009671843422133597,,,,100000,707
B15_lsml - ct7,False,prm_within_auc,-0.012171121556269204,-0.015045525438732207,-0.00929119982237268,,,,100000,707
B15_lsml - ct7,False,prmscore_answer_z_q80,-0.0070475538904887225,-0.010180004591461029,-0.003943046050040617,,,,100000,707
B20_lsml - B11_lsml_replay4,False,prm_within_auc,-0.004234678605079867,-0.00685041979891354,-0.0016402751803012297,,,,100000,707
B20_lsml - B11_lsml_replay4,False,prmscore_answer_z_q80,-0.0027233793290876163,-0.00551035546287903,6.130064283655647e-05,,,,100000,707
B11_lsml - B11_equal,False,prm_within_auc,0.014865255594541438,0.011827386763026995,0.017899480623656108,,,,100000,707
B11_lsml - B11_equal,False,prmscore_answer_z_q80,0.007908243023007522,0.004975820053623264,0.010843360138330867,,,,100000,707
B15_lsml - B15_equal,False,prm_within_auc,0.007350943231162921,0.005477683362794539,0.009236742216591492,,,,100000,707
B15_lsml - B15_equal,False,prmscore_answer_z_q80,0.0056712481065916975,0.0036002042189398234,0.007752137357343073,,,,100000,707
B19_lsml - B19_equal,False,prm_within_auc,0.00030107249520994195,-0.002881966157902857,0.003476557745113998,,,,100000,707
B19_lsml - B19_equal,False,prmscore_answer_z_q80,-0.006338403814504345,-0.009509842476897106,-0.0031823979089220986,,,,100000,707
B11_lsml - B11_group_equal,False,prm_within_auc,0.011425108457203903,0.008351076775914543,0.014505649271628182,,,,100000,707
B11_lsml - B11_group_equal,False,prmscore_answer_z_q80,0.0038122250554804005,0.0009023238155808106,0.006761008567255929,,,,100000,707
B15_lsml - B15_group_equal,False,prm_within_auc,0.009416561096084464,0.007077229812565331,0.011772378774233793,,,,100000,707
B15_lsml - B15_group_equal,False,prmscore_answer_z_q80,0.006455357535171347,0.003819381031155955,0.009132581531797697,,,,100000,707
B19_lsml - B19_group_equal,False,prm_within_auc,0.0043696601250159395,0.0006479195769278995,0.00811041609264263,,,,100000,707
B19_lsml - B19_group_equal,False,prmscore_answer_z_q80,-0.004237609127998421,-0.007856768348378512,-0.0006307108685936078,,,,100000,707
B15_equal - B11_equal,False,prm_within_auc,0.003230561662007747,0.001501404226476158,0.004925757440356146,,,,100000,707
B15_equal - B11_equal,False,prmscore_answer_z_q80,-0.0001650644975641491,-0.0021267129631100056,0.0018029460196771784,,,,100000,707
B19_equal - B11_equal,False,prm_within_auc,0.004351149703988977,0.001949368886208694,0.006720779098081591,,,,100000,707
B19_equal - B11_equal,False,prmscore_answer_z_q80,0.003199614143668761,0.000496692238574742,0.005909311343505569,,,,100000,707
B20_equal - B11_equal,False,prm_within_auc,0.0035559464696176546,0.0012333755743946073,0.0058486267250909985,,,,100000,707
B20_equal - B11_equal,False,prmscore_answer_z_q80,0.0019762532705979163,-0.000641305387366925,0.004597738170575016,,,,100000,707
